,Metric,Type
Gene_0,0.0729499392399551,UCEC
Gene_1,0.0703737421467776,UCEC
Gene_2,-0.0704444116662825,UCEC
Gene_3,0.0733495375185325,UCEC
Gene_4,-0.3309246795063846,UCEC
Gene_5,-0.0589224079354657,UCEC
Gene_6,-0.3240040578613795,UCEC
Gene_7,0.1433013142170563,UCEC
Gene_8,-0.0515445800218027,UCEC
Gene_9,-0.0091625312646647,UCEC
Gene_10,-0.0438434499275772,UCEC
Gene_11,-0.1187422317197738,UCEC
Gene_12,-0.0437783647811534,UCEC
Gene_13,-0.0886449302473988,UCEC
Gene_14,-0.2626153223463573,UCEC
Gene_15,-0.3463567098020003,UCEC
Gene_16,0.0318035923298152,UCEC
Gene_17,-0.1943547836120154,UCEC
Gene_18,0.0557417674989715,UCEC
Gene_19,-0.3911746113211873,UCEC
Gene_20,0.0538235103721965,UCEC
Gene_21,-0.1168211510665311,UCEC
Gene_22,-0.2179324048168724,UCEC
Gene_23,0.1829733176816683,UCEC
Gene_24,0.1961145597408143,UCEC
Gene_25,-0.1992933521427754,UCEC
Gene_26,-0.0965359184322715,UCEC
Gene_27,-0.3022587248025956,UCEC
Gene_28,-0.363533992566049,UCEC
Gene_29,0.0200666993476009,UCEC
Gene_30,0.0553204714500347,UCEC
Gene_31,0.0823863644751074,UCEC
Gene_32,-0.1488430376163208,UCEC
Gene_33,-0.009483694779027,UCEC
Gene_34,-0.1530137849948061,UCEC
Gene_35,0.0342936234156417,UCEC
Gene_36,0.2790822162615429,UCEC
Gene_37,0.1556725836029953,UCEC
Gene_38,-0.145159874988781,UCEC
Gene_39,0.233932383342155,UCEC
Gene_40,0.0169082387736063,UCEC
Gene_41,0.0253917270799217,UCEC
Gene_42,-0.3784256869175629,UCEC
Gene_43,-0.1402569723000162,UCEC
Gene_44,-0.0050506211421125,UCEC
Gene_45,0.1746515927142286,UCEC
Gene_46,0.0900452882557992,UCEC
Gene_47,-0.1010808424335273,UCEC
Gene_48,-0.0511854221338411,UCEC
Gene_49,-0.0127946444337177,UCEC
Gene_50,-0.1454089853068882,UCEC
Gene_51,-0.1252972980004904,UCEC
Gene_52,0.1258207112072357,UCEC
Gene_53,0.2430740683977351,UCEC
Gene_54,-0.5058712358576613,UCEC
Gene_55,0.110378346199887,UCEC
Gene_56,-0.1752091098655567,UCEC
Gene_57,0.0539106195257986,UCEC
Gene_58,0.0125141277621093,UCEC
Gene_59,-0.4250982987128739,UCEC
Gene_60,-0.3449254226567344,UCEC
Gene_61,-0.3917063814079006,UCEC
Gene_62,0.1410897457321144,UCEC
Gene_63,-0.1596948099379995,UCEC
Gene_64,0.1875896728456662,UCEC
Gene_65,0.0251620456201397,UCEC
Gene_66,0.1653757574146737,UCEC
Gene_67,-0.0957046958049418,UCEC
Gene_68,0.1940621964757644,UCEC
Gene_69,-0.2083198699451585,UCEC
Gene_70,0.1984606827072736,UCEC
Gene_71,-0.0984105015339296,UCEC
Gene_72,0.0705897776337482,UCEC
Gene_73,-0.0741054725003538,UCEC
Gene_74,0.2823497223657476,UCEC
Gene_75,-0.4352496752445695,UCEC
Gene_76,-0.1649052712533431,UCEC
Gene_77,-0.405535716703125,UCEC
Gene_78,0.1360077207105902,UCEC
