,Metric
Gene_1,0.11149209408773555
Gene_2,0.1099759220204963
Gene_3,-0.1404742489706953
Gene_4,-0.0006897595419114208
Gene_5,-0.3470163218030181
Gene_6,-0.32141925971120233
Gene_7,-0.3146758718257786
Gene_8,-0.05365003879425175
Gene_9,0.1186189160552759
Gene_10,-0.12924676021251313
Gene_11,-0.05352775053037421
Gene_12,-0.049844412770817186
Gene_13,-0.045623286766296636
Gene_14,-0.08115467058336562
Gene_15,-0.10138723424254711
Gene_16,-0.21089498225822761
Gene_17,-0.06795653881310486
Gene_18,-0.3681599600285911
Gene_19,0.0327629547779837
Gene_20,-0.3645436608933806
Gene_21,-0.001978845502123672
Gene_22,-0.10514953574677692
Gene_23,-0.31600329216916817
Gene_24,0.13510801404207165
Gene_25,0.14524705856087367
Gene_26,-0.2339548701266661
Gene_27,-0.269708896281107
Gene_28,-0.34768860322826745
Gene_29,-0.3632201524551058
Gene_30,-0.1542789197398801
Gene_31,0.06824355757299735
Gene_32,0.1237659097307201
Gene_33,-0.24960740737860906
Gene_34,-0.17032864212375415
Gene_35,-0.09257388262566017
Gene_36,-0.07137552907407739
Gene_37,0.17441112170508802
Gene_38,-0.01035950678260866
Gene_39,-0.11754267274109578
Gene_40,0.13611249658899557
Gene_41,-0.01577968813967613
Gene_42,0.06996923532819706
Gene_43,-0.4308665757338256
Gene_44,-0.2660202860698845
Gene_45,-0.0012339211353883592
Gene_46,-0.047044201485860825
Gene_47,0.19660864057834265
Gene_48,-0.11831123818226814
Gene_49,-0.07982773773678045
Gene_50,-0.2929053393903617
Gene_51,-0.08119250715482243
Gene_52,-0.0447578624469364
Gene_53,0.06436753064401837
Gene_54,0.11148516214473594
Gene_55,-0.4615272866004595
Gene_56,0.13259811078350742
Gene_57,0.04689283629729263
Gene_58,-0.028773270110567573
Gene_59,0.08192690305941396
Gene_60,-0.24416890643369765
Gene_61,-0.3063118919428864
Gene_62,-0.46172363381093956
Gene_63,0.21223494527063633
Gene_64,-0.18762284868856952
Gene_65,0.1144527744953027
Gene_66,0.22036068004408055
Gene_67,-0.13588254885367784
Gene_68,-0.05962091441752796
Gene_69,0.12198343270873158
Gene_70,-0.1662413830800756
Gene_71,0.1983848906465718
Gene_72,0.005244554336947525
Gene_73,0.17418583697329265
Gene_74,-0.08147792232939326
Gene_75,0.047989804950710084
Gene_76,-0.40195149979659356
Gene_77,-0.1434271169760812
Gene_78,-0.3392782286900061
Gene_79,0.1346820315683238
Gene_80,0.27877890828410384
Gene_81,-0.11043731961304633
Gene_82,-0.07722455256261682
Gene_83,0.07531047380273811
Gene_84,0.1279632733254527
Gene_85,-0.09696761456521653
Gene_86,-0.112378828572908
Gene_87,0.1360989347995059
Gene_88,-0.23887908134271454
Gene_89,0.09251826911376644
Gene_90,-0.04179764054025786
Gene_91,-0.1503728982878118
Gene_92,-0.017408769033422825
Gene_93,0.0732333000944077
Gene_94,-0.05091811421716195
Gene_95,-0.00588007386165302
Gene_96,-0.20609760145982614
Gene_97,0.02896062316202936
Gene_98,0.005716537234391752
Gene_99,-0.06424271624994772
Gene_100,0.15873959510048963
Gene_101,-0.1517418232547595
Gene_102,-0.12890759952569997
Gene_103,-0.18325206629360752
Gene_104,0.042638612307521785
Gene_105,-0.23088125502949838
Gene_106,-0.13118474055415014
Gene_107,0.04276796505852621
Gene_108,-0.33253583594202146
Gene_109,0.11957981371637154
Gene_110,-0.19747470741900225
Gene_111,0.04672134473069708
Gene_112,-0.012544412830810125
Gene_113,-0.04924107861037583
Gene_114,0.000516565017602133
Gene_115,-0.3623322308417799
Gene_116,-0.04678255733440791
Gene_117,-0.1121462500288513
Gene_118,0.07869408175374679
Gene_119,0.15185917054902837
Gene_120,-0.1624038372002895
Gene_121,0.08395987366929872
Gene_122,0.05724732630005436
Gene_123,0.09750957984732975
Gene_124,0.005188722463369454
Gene_125,-0.028747130580971354
Gene_126,0.16968361589574363
Gene_127,-0.011001680386773289
Gene_128,-0.16871384419837915
Gene_129,-0.44927154786387363
Gene_130,-0.18587043211735804
Gene_131,-0.1308604650146185
Gene_132,-0.23424641100175733
Gene_133,0.03732397925059554
Gene_134,-0.21917761183220308
Gene_135,-0.17307128434596566
Gene_136,0.19136173716385235
Gene_137,0.022110938877526187
Gene_138,-0.10395610695511097
Gene_139,0.0765167400772805
Gene_140,0.11903293625109146
Gene_141,0.14202786110151547
Gene_142,0.00038215968163778384
Gene_143,-0.4119960340201814
Gene_144,-0.2808363492111447
Gene_145,0.12018522458221712
Gene_146,0.19663820699883047
Gene_147,-0.380651090232341
Gene_148,-0.20248712837087118
Gene_149,0.03185825595637913
Gene_150,0.10857606380473928
Gene_151,-0.12821890386334922
Gene_152,0.1529549945453405
Gene_153,0.0184285995303776
Gene_154,-0.180995140491135
Gene_155,-0.08812041738438303
Gene_156,-0.011848489153903175
Gene_157,0.09171852665302802
Gene_158,-0.014885283448777714
