ENSEMBL_ID,Metric,Type,Metric type
Gene_61,-0.4617236338109395,Mean,Mean correlation
Gene_54,-0.4615272866004596,Mean,Mean correlation
Gene_128,-0.4492715478638736,Mean,Mean correlation
Gene_42,-0.4308665757338256,Mean,Mean correlation
Gene_142,-0.4119960340201814,Mean,Mean correlation
Gene_75,-0.4019514997965936,Mean,Mean correlation
Gene_146,-0.380651090232341,Mean,Mean correlation
Gene_17,-0.3681599600285911,Mean,Mean correlation
Gene_19,-0.3645436608933806,Mean,Mean correlation
Gene_28,-0.3632201524551058,Mean,Mean correlation
Gene_114,-0.3623322308417799,Mean,Mean correlation
Gene_27,-0.3476886032282674,Mean,Mean correlation
Gene_4,-0.3470163218030181,Mean,Mean correlation
Gene_77,-0.3392782286900061,Mean,Mean correlation
Gene_107,-0.3325358359420214,Mean,Mean correlation
Gene_5,-0.3214192597112024,Mean,Mean correlation
Gene_22,-0.3160032921691682,Mean,Mean correlation
Gene_6,-0.3146758718257786,Mean,Mean correlation
Gene_60,-0.3063118919428864,Mean,Mean correlation
Gene_49,-0.2929053393903617,Mean,Mean correlation
Gene_143,-0.2808363492111447,Mean,Mean correlation
Gene_26,-0.269708896281107,Mean,Mean correlation
Gene_43,-0.2660202860698845,Mean,Mean correlation
Gene_32,-0.249607407378609,Mean,Mean correlation
Gene_59,-0.2441689064336976,Mean,Mean correlation
Gene_87,-0.2388790813427145,Mean,Mean correlation
Gene_131,-0.2342464110017573,Mean,Mean correlation
Gene_25,-0.2339548701266661,Mean,Mean correlation
Gene_104,-0.2308812550294984,Mean,Mean correlation
Gene_133,-0.219177611832203,Mean,Mean correlation
Gene_15,-0.2108949822582276,Mean,Mean correlation
Gene_95,-0.2060976014598261,Mean,Mean correlation
Gene_147,-0.2024871283708711,Mean,Mean correlation
Gene_109,-0.1974747074190022,Mean,Mean correlation
Gene_63,-0.1876228486885695,Mean,Mean correlation
Gene_129,-0.185870432117358,Mean,Mean correlation
Gene_102,-0.1832520662936075,Mean,Mean correlation
Gene_153,-0.180995140491135,Mean,Mean correlation
Gene_134,-0.1730712843459657,Mean,Mean correlation
Gene_33,-0.1703286421237541,Mean,Mean correlation
Gene_127,-0.1687138441983791,Mean,Mean correlation
Gene_69,-0.1662413830800756,Mean,Mean correlation
Gene_119,-0.1624038372002895,Mean,Mean correlation
