	index
0	TCGA-61-1907-01
1	TCGA-BJ-A2P4-01
2	TCGA-CC-A9FU-01
3	TCGA-B5-A5OE-01
4	TCGA-ZF-A9RL-01
5	TCGA-2F-A9KP-01
6	TCGA-T3-A92M-01
7	TCGA-P5-A5EV-01
8	TCGA-KK-A8IG-01
9	TCGA-MI-A75H-01
10	TCGA-CS-5394-01
11	TCGA-AZ-5407-01
12	TCGA-99-7458-01
13	TCGA-B4-5844-01
14	TCGA-97-7547-01
15	TCGA-A3-A8OX-01
16	TCGA-B6-A0WT-01
17	TCGA-A8-A07L-01
18	TCGA-97-7552-01
19	TCGA-F7-A61S-01
20	TCGA-CU-A3YL-01
21	TCGA-D8-A1Y3-01
22	TCGA-DE-A4M8-01
23	TCGA-A7-A4SD-01
24	TCGA-AQ-A7U7-01
25	TCGA-43-A474-01
26	TCGA-A2-A4S0-01
27	TCGA-4A-A93Y-01
28	TCGA-DD-A39Z-01
29	TCGA-VQ-A8DU-01
30	TCGA-DD-AADW-01
31	TCGA-AC-A62V-01
32	TCGA-VS-A9U7-01
33	TCGA-XQ-A8TA-01
34	TCGA-VS-A9UY-01
35	TCGA-FD-A5BR-01
36	TCGA-QU-A6IO-01
37	TCGA-XK-AAIR-01
38	TCGA-55-A491-01
39	TCGA-09-0364-01
40	TCGA-E2-A14N-01
41	TCGA-75-5147-01
42	TCGA-BP-4795-01
43	TCGA-60-2726-01
44	TCGA-XX-A899-01
45	TCGA-CF-A9FL-01
46	TCGA-DK-A3IT-01
47	TCGA-BH-A0H5-01
48	TCGA-BB-A5HU-01
49	TCGA-68-8250-01
50	TCGA-HC-7821-01
51	TCGA-BP-4961-01
52	TCGA-YD-A9TA-06
53	TCGA-AJ-A3IA-01
54	TCGA-38-4626-01
55	TCGA-CZ-5451-01
56	TCGA-3C-AALI-01
57	TCGA-A2-A0SY-01
58	TCGA-NH-A6GA-01
59	TCGA-29-1768-01
60	TCGA-EK-A2RK-01
61	TCGA-2H-A9GQ-01
62	TCGA-5P-A9KE-01
63	TCGA-DJ-A4UL-01
64	TCGA-V1-A8MF-01
65	TCGA-A8-A07Z-01
66	TCGA-S9-A7R3-01
67	TCGA-DI-A1C3-01
68	TCGA-DJ-A3US-01
69	TCGA-BH-A0GY-01
70	TCGA-IN-AB1V-01
71	TCGA-HP-A5N0-01
72	TCGA-AO-A0J5-01
73	TCGA-EM-A3AJ-01
74	TCGA-G3-A25Z-01
75	TCGA-C5-A8XJ-01
76	TCGA-3A-A9I5-01
77	TCGA-BP-5175-01
78	TCGA-TM-A7CA-01
79	TCGA-AP-A5FX-01
80	TCGA-OL-A5RU-01
81	TCGA-4P-AA8J-01
82	TCGA-95-7944-01
83	TCGA-A2-A0T0-01
84	TCGA-20-0987-01
85	TCGA-VR-A8ET-01
86	TCGA-QH-A6CU-01
87	TCGA-A8-A08B-01
88	TCGA-C8-A1HM-01
89	TCGA-EL-A3ZQ-01
90	TCGA-EJ-A46B-01
91	TCGA-FB-AAPP-01
92	TCGA-63-A5MJ-01
93	TCGA-EL-A3T8-01
94	TCGA-13-0724-01
95	TCGA-ED-A7PY-01
96	TCGA-D3-A3C3-06
97	TCGA-YL-A8SH-01
98	TCGA-AN-A0AJ-01
99	TCGA-EI-6508-01
100	TCGA-ET-A3BQ-01
101	TCGA-18-3409-01
102	TCGA-J8-A4HY-01
103	TCGA-P5-A5F1-01
104	TCGA-IN-A7NT-01
105	TCGA-CR-7379-01
106	TCGA-EE-A2MF-06
107	TCGA-DH-A66D-01
108	TCGA-DK-A1AF-01
