"","EPCAM"
"GSK074",0.661374826512972
"GSK005",0.58001543379445
"GSK087",0.812670254142256
"GSK089",0.561989612997057
"GSK204",0.53968904317917
"GSK226",0.512240717708937
"GSK076",0.641051849175793
"GSK254",0.560713048564883
"GSK261",0.423477405666571
"GSK224",0.600014221272435
"GSK018",0.714833365106518
"GSK057",0.53294180528471
"GSK095",0.635299434994836
"GSK028",0.622108045154893
"GSK029",0.419855481838589
"GSK237",0.347247669731513
"GSK015",0.700716309196864
"GSK037",0.552639951760831
"GSK218",0.787672649068092
"GSK064",0.456625418990659
"GSK235",0.416562606569113
"GSK238",0.354300467792978
"GSK265",0.193173689732846
"GSK011",0.448870399406555
"GSK012",0.27062211167497
"GSK033",0.367807688036257
"GSK021",0.580990885456148
"GSK090",0.525259305092668
"GSK236",0.623002630512741
"GSK240",0.534318607114884
"GSK306",0.67518154556084
"GSK312",0.368463110883573
"GSK067",0.379147077611571
"GSK243",0.684595353833302
"GSK248",0.544783468812475
"GSK307",0.404779193844795
"GSK006",0.48127244044375
"GSK203",0.879330658938257
"GSK222",0.582185668069887
"GSK229",0.618914655394972
"GSK252",0.558237408477948
"GSK032",0.420748984110531
"GSK079",0.2231192762024
"GSK099",0.511050714402946
"GSK205",0.565710629826171
"GSK207",0.68961173292135
"GSK251",0.499682360539792
"GSK262",0.480764219069453
"GSK003",0.504130989434337
"GSK025",0.540248184017803
"GSK094",0.597525093493022
"GSK259",0.548963174994297
"GSK317",0.29830454682332
"GSK038",0.566439924316777
"GSK209",0.757254325043419
"GSK247",0.61811089189203
"GSK257",0.375467054874598
"GSK272",0.578449954387097
"GSK034",0.446379972568569
"GSK040",0.640725747452068
"GSK075",0.741921205102776
"GSK225",0.674522983431193
"GSK244",0.52329127321928
"GSK299",0.820685581022896
"GSK009",0.737020645248622
"GSK013",0.170837024460896
"GSK027",0.0790779459720421
"GSK085",0.389810586984616
"GSK230",0.680923316779183
"GSK250",0.633645872357582
"GSK301",0.783093943487399
"GSK316",0.285530524840121
"GSK058",0.836308485229729
"GSK081",0.520145402015201
"GSK213",0.686773802527992
"GSK232",0.496582205425515
"GSK242",0.574042339117347
"GSK305",0.348632047927279
"GSK311",0.344622707444479
"GSK077",0.785643309714571
"GSK078",0.620838259432577
"GSK088",0.566258209620029
"GSK100",0.417323701866482
"GSK216",0.626076305381149
"GSK245",0.466331609931118
"GSK287",0.459080585369026
"GSK296",0.459972446147323
"GSK297",0.43050704536154
"GSK008",0.548768918338674
"GSK073",0.487885529519253
"GSK080",0.406945390563991
"GSK234",0.352651272039868
"GSK283",0.570545577845559
"GSK084",0.773951694856468
"GSK096",0.298030981841099
"GSK279",0.540491543173059
"GSK284",0.746840783797113
"GSK285",0.721235572312007
"GSK002",0.505659916290444
"GSK016",0.575803665236649
"GSK019",0.575326362272544
"GSK036",0.279100700552253
"GSK098",0.379425126793563
"GSK228",0.717495122620836
"GSK281",0.766853101499471
"GSK288",0.559094913505715
"GSK030",0.34907350420853
"GSK062",0.723001037873878
"GSK303",0.634157240119528
"GSK304",0.758339535848022
"GSK308",0.406888171457805
"GSK017",0.476925129771382
"GSK051",0.404772237065646
"GSK065",0.904348729182918
"GSK277",0.713024970752177
"GSK313",0.423615310865465
"GSK022",0.799836920143286
"GSK052",0.395908594449671
"GSK083",0.350918344754977
"GSK086",0.525764131993458
"GSK092",0.795132732439048
"GSK214",0.601771879461185
"GSK239",0.580560506154366
"GSK268",0.318394038170227
"GSK269",0.200863185407079
"GSK286",0.643114423506994
"GSK294",0.966471145840071
"GSK035",0.557341586018661
"GSK091",0.361761177524212
"GSK246",0.595141913189509
"GSK292",0.332632582339495
"GSK039",0.313670864468943
"GSK082",0.389736046521091
"GSK097",0.608428337573136
"GSK231",0.477219119530686
"GSK258",0.579130916324991
"GSK273",0.522076371930095
"GSK280",0.591197861081416
"GSK302",0.701314765504386
"GSK315",0.461858317970335
"GSK020",0.744038719799586
"GSK093",0.40840703314725
"GSK211",0.763625828249068
"GSK212",0.662446750002298
"GSK309",0.533865071858629
"GSK310",0.287085459781929
"GSK061",0.840534579749057
"GSK227",0.500806815289158
"GSK278",0.806705047912345
"GSK001",0.499838248916619
"GSK202",0.77872469377148
"GSK282",0.591109262056202
"GSK293",0.512538050083144
"GSK031",0.55865876063364
"GSK050",0.810033999195128
"GSK233",0.63062795599179
"GSK026",0.603719879828695
"GSK053",0.437177866299494
"GSK055",0.359360911495096
"GSK249",0.609676287795224
"GSK314",0.766398735206191
"GSK024",0.482030352192636
"GSK060",0.683520254104276
"GSK210",0.600315357237479
"GSK023",0.319071148785831
"GSK206",0.386831919666123
"GSK318",0.568598059492127
"GSK004",0.404126211043628
"GSK054",0.304318839497528
"GSK014",0.42793771063063
"GSK066",0.796371073599802
"GSK010",0.600986807765196
