samples	theta2	titanCNA	abscnseq.gsk	PurBayes.gsk	Average
GSK001	0.819	0.645	1	0.612	0.77
GSK002	0.448	0.981	0.59	1	0.75
GSK003	0.527	0.989	0.55	0.803	0.72
GSK004	0.794	0.463	1	0.679	0.73
GSK005	0.394	0.397	0.66	0.643	0.52
GSK006	0.241	0.361	0.61	0.402	0.4
GSK008	0.445	0.504	0.53	0.946	0.61
GSK009	0.411	0.606	0.81	0.602	0.61
GSK010	0.177	0.441	0.51	0.429	0.39
GSK011	0.556	0.636	0.52	0.674	0.6
GSK012	0.437	0.385	0.37	0.366	0.39
GSK013	0.387	0.275	0.28	0.263	0.3
GSK014	0.985	0.415	0.63	0.234	0.57
GSK015	0.937	0.59	0.71	0.999	0.81
GSK016	0.423	0.476	0.63	0.795	0.58
GSK017	NA	0.464	0.67	0.279	0.47
GSK018	0.796	0.782	0.43	0.996	0.75
GSK019	0.373	0.323	0.57	0.768	0.51
GSK020	0.343	0.564	0.88	0.994	0.7
GSK021	0.281	0.352	0.31	0.302	0.31
GSK022	0.44	0.851	0.4	0.878	0.64
GSK023	0.239	0.323	0.37	0.26	0.3
GSK024	0.324	0.369	1	0.347	0.51
GSK025	0.35	0.338	0.64	0.346	0.42
GSK026	0.237	0.357	0.51	0.38	0.37
GSK027	0.271	0.263	0.42	0.238	0.3
GSK028	0.568	0.358	0.43	0.454	0.45
GSK029	0.426	0.353	0.31	0.397	0.37
GSK030	0.424	0.318	0.52	0.536	0.45
GSK031	0.426	0.548	0.48	0.408	0.47
GSK032	NA	0.372	0.31	0.971	0.55
GSK033	NA	0.319	0.39	0.414	0.37
GSK034	0.581	0.497	0.39	0.644	0.53
GSK035	0.545	0.508	0.45	0.661	0.54
GSK036	0.589	0.382	0.35	0.264	0.4
GSK037	0.548	0.434	0.4	0.355	0.43
GSK038	0.533	0.465	0.32	0.55	0.47
GSK039	0.418	0.374	0.53	0.411	0.43
GSK040	0.488	0.365	0.43	0.359	0.41
GSK042	0.41	0.299	0.47	0.339	0.38
GSK045	0.132	0.291	0.51	0.284	0.3
GSK046	0.429	0.664	0.58	1	0.67
GSK047	0.725	0.703	0.51	1	0.73
GSK048	0.705	0.731	0.61	1	0.76
GSK049	0.65	0.494	0.36	0.95	0.61
GSK050	0.67	0.64	0.44	0.834	0.65
GSK051	0.376	0.432	0.45	0.269	0.38
GSK052	0.26	0.565	0.38	0.342	0.39
GSK053	0.722	0.409	0.4	0.249	0.45
GSK054	0.194	0.393	0.55	0.288	0.36
GSK055	NA	0.307	0.39	0.307	0.33
GSK056	0.348	0.374	0.53	0.29	0.39
GSK057	0.406	0.513	0.43	0.393	0.44
GSK058	0.514	0.519	0.61	0.467	0.53
GSK059	0.376	0.36	0.47	0.399	0.4
GSK060	0.429	0.609	0.46	0.456	0.49
GSK061	0.775	0.619	0.52	0.43	0.59
GSK062	NA	0.361	0.52	0.375	0.42
GSK063	0.375	0.532	0.4	0.35	0.41
GSK064	0.19	0.524	0.41	0.354	0.37
GSK065	0.86	0.841	0.53	1	0.81
GSK066	0.271	0.501	0.32	0.38	0.37
GSK067	0.679	0.43	0.66	0.424	0.55
GSK068	0.799	0.589	0.62	0.404	0.6
GSK069	0.329	0.434	0.48	0.433	0.42
GSK070	NA	0.514	0.24	0.3	0.35
GSK071	0.277	0.497	0.7	0.468	0.49
GSK072	0.343	0.484	0.42	0.343	0.4
GSK073	0.215	0.461	0.33	0.304	0.33
GSK074	0.552	0.383	0.66	0.326	0.48
GSK075	0.624	0.509	0.34	0.987	0.62
GSK076	0.386	0.39	0.53	0.453	0.44
GSK077	0.952	0.747	0.64	1	0.83
GSK078	0.649	0.698	0.54	0.712	0.65
GSK079	0.424	0.415	0.49	0.22	0.39
GSK080	0.418	0.375	0.55	0.282	0.41
GSK081	0.332	0.476	1	0.302	0.53
GSK082	0.478	0.322	0.36	0.307	0.37
GSK083	1	0.44	0.41	0.246	0.52
GSK084	0.777	0.524	0.35	0.346	0.5
GSK085	0.142	0.404	0.2	0.338	0.27
GSK086	0.246	0.35	0.3	0.33	0.31
