"","DeconRNASeq"
"GSK074",0.390588803206086
"GSK005",0.320211146834702
"GSK087",0.475130757005968
"GSK089",0.324251784212856
"GSK204",0.351754546252211
"GSK226",0.313112193692269
"GSK076",0.380989134343847
"GSK254",0.322555681227586
"GSK261",0.29705753668361
"GSK224",0.378252707946468
"GSK018",0.388115241791464
"GSK057",0.320380390045312
"GSK095",0.376493652940485
"GSK028",0.372998627842825
"GSK029",0.284059661218137
"GSK237",0.269766103064959
"GSK015",0.378881338088004
"GSK037",0.337515145158359
"GSK218",0.4127168429604
"GSK064",0.295778037128296
"GSK235",0.298431754615436
"GSK238",0.243424796957877
"GSK265",0.152301105294456
"GSK011",0.285722750239158
"GSK012",0.189433221945705
"GSK033",0.262458130327842
"GSK021",0.406473762895927
"GSK090",0.358928346702826
"GSK236",0.37318135188026
"GSK240",0.322901004462225
"GSK306",0.411975488977157
"GSK312",0.264722092850943
"GSK067",0.302246997523999
"GSK243",0.423609872428562
"GSK248",0.31718530969912
"GSK307",0.261368352836611
"GSK006",0.296279512693044
"GSK203",0.421662436851807
"GSK222",0.389690218386159
"GSK229",0.328073410393583
"GSK252",0.322222796109351
"GSK032",0.260588980130977
"GSK079",0.200121491608556
"GSK099",0.291536653200709
"GSK205",0.358876805686614
"GSK207",0.40888683328629
"GSK251",0.294677299808219
"GSK262",0.289777313126873
"GSK003",0.357734345235005
"GSK025",0.329752889588954
"GSK094",0.383142385387269
"GSK259",0.336594853360887
"GSK317",0.205442984084064
"GSK038",0.315367504268504
"GSK209",0.432855799254592
"GSK247",0.378395795213012
"GSK257",0.282731874114319
"GSK272",0.36844059041923
"GSK034",0.273930343508221
"GSK040",0.34319187083085
"GSK075",0.364814241949221
"GSK225",0.400827341705326
"GSK244",0.330332210369826
"GSK299",0.441828444641213
"GSK009",0.442386780023589
"GSK013",0.157089773177747
"GSK027",0.101852262784126
"GSK085",0.261541195928074
"GSK230",0.370087434893401
"GSK250",0.413313956388578
"GSK301",0.426721940851952
"GSK316",0.230196336650428
"GSK058",0.504081529913406
"GSK081",0.372559751747043
"GSK213",0.411096471418172
"GSK232",0.312973682603023
"GSK242",0.36765454840071
"GSK305",0.231765542016043
"GSK311",0.261269377942492
"GSK077",0.477973420591283
"GSK078",0.412660375431321
"GSK088",0.338568312182284
"GSK100",0.287056353880057
"GSK216",0.38936605679475
"GSK245",0.301923683536733
"GSK287",0.336122949281216
"GSK296",0.302896821871668
"GSK297",0.324145923077249
"GSK008",0.270738211136683
"GSK073",0.297114158042572
"GSK080",0.267163389045568
"GSK234",0.2477760931707
"GSK283",0.38167778905533
"GSK084",0.387533435244584
"GSK096",0.244315670537427
"GSK279",0.413548885764909
"GSK284",0.460613349645642
"GSK285",0.388705240838077
"GSK002",0.341250255695318
"GSK016",0.382051914459042
"GSK019",0.318195912558655
"GSK036",0.218336009927088
"GSK098",0.288368471835216
"GSK228",0.400893614667439
"GSK281",0.401004729647687
"GSK288",0.35696066171741
"GSK030",0.253090803285707
"GSK062",0.447320839207235
"GSK303",0.383889622089486
"GSK304",0.469858718229811
"GSK308",0.27406696385535
"GSK017",0.293910807083519
"GSK051",0.248656483030705
"GSK065",0.444347064351478
"GSK277",0.381186518527224
"GSK313",0.265207634572621
"GSK022",0.476775615129205
"GSK052",0.318440337955744
"GSK083",0.264820368969579
"GSK086",0.348277420512341
"GSK092",0.468573921994639
"GSK214",0.394940528128499
"GSK239",0.338706214714947
"GSK268",0.26017901238978
"GSK269",0.199964898016684
"GSK286",0.374718923693932
"GSK294",0.464459054207384
"GSK035",0.336499261896514
"GSK091",0.240790155992722
"GSK246",0.371094087683613
"GSK292",0.255514931248557
"GSK039",0.239511532847972
"GSK082",0.302118927930014
"GSK097",0.366889386289051
"GSK231",0.346667504888043
"GSK258",0.383440584964261
"GSK273",0.34337128210661
"GSK280",0.367754447142296
"GSK302",0.376723252577921
"GSK315",0.307870166166804
"GSK020",0.426982393891796
"GSK093",0.300252542534209
"GSK211",0.444494660050903
"GSK212",0.405664012308547
"GSK309",0.328711390103337
"GSK310",0.201210340086843
"GSK061",0.513060444822203
"GSK227",0.31077068684399
"GSK278",0.438457958161014
"GSK001",0.273114026778192
"GSK202",0.430582868655066
"GSK282",0.364355567924731
"GSK293",0.306155804029773
"GSK031",0.395451051823044
"GSK050",0.502605024313673
"GSK233",0.380407617410058
"GSK026",0.375173086864296
"GSK053",0.273052294962839
"GSK055",0.281398895256688
"GSK249",0.392365238619841
"GSK314",0.42851270995177
"GSK024",0.332799084944973
"GSK060",0.386046403942113
"GSK210",0.367049313994452
"GSK023",0.220055055153968
"GSK206",0.297362076031553
"GSK318",0.385584986026599
"GSK004",0.337984685546203
"GSK054",0.257270844555911
"GSK014",0.348223737402428
"GSK066",0.485898245331724
"GSK010",0.381789789318534
