"","Cell type 1","Cell type 2"
"GSK074",0.167108740178894,0.529169876112319
"GSK005",0.179123760488642,0.66596360340035
"GSK087",0.0520602818526949,0.424847066113667
"GSK089",0.282500006710823,0.593167073942371
"GSK204",0.0642876632272465,0.805504787883531
"GSK226",0.252681825617585,0.69607935993701
"GSK076",0.085558233481397,0.740096771371207
"GSK254",0.118937222960731,0.918332866584198
"GSK261",0.188106218322105,0.816738680952325
"GSK224",0.0930530787257633,0.743280418676599
"GSK018",0.0480001279706095,0.705811595386808
"GSK057",0.311805569870534,0.595579049151292
"GSK095",0.250878264181541,0.473200731773048
"GSK028",0.125876500303794,0.841844924901761
"GSK029",0.700647341448672,0.424882403629856
"GSK237",0.207714245823413,1.05007537131753
"GSK015",0.0744245751692522,0.826428062385089
"GSK037",0.19729631720103,0.784206082724719
"GSK218",0.0904229069683607,0.398555834827244
"GSK064",0.79657303892483,0.111335490220553
"GSK235",0.351008219547043,0.703411320737937
"GSK238",0.218335907362603,1.0110190247031
"GSK265",0.234762194667853,1.280259392759
"GSK011",0.123759767616906,1.02258576137835
"GSK012",0.468571309276237,0.758500928366267
"GSK033",1.0198279064299,0.131164600700189
"GSK021",0.152076262305579,0.790606882118762
"GSK090",0.208704673213463,0.858838500786386
"GSK236",0.166682838678639,0.783345698594004
"GSK240",0.236881763840988,0.736624227867786
"GSK306",0.17758320876653,0.406990431301976
"GSK312",0.230431138364799,0.990715828054984
"GSK067",0.773084797499729,0.276314381862217
"GSK243",0.129364703658273,0.545605525173753
"GSK248",0.402177542166235,0.542970460702139
"GSK307",0.430435529767593,0.658710562605974
"GSK006",0.21282800732564,0.804189394489043
"GSK203",0.0698151773316277,0.459420291201855
"GSK222",0.0664725709302002,0.73219988427348
"GSK229",0.145994714295132,0.662022527043283
"GSK252",0.0802831718952256,0.530207047342609
"GSK032",0.507906673363691,0.464890172235905
"GSK079",0.456899191963136,0.918680422572247
"GSK099",0.284781359884837,0.663180694079299
"GSK205",0.183183312223111,0.547744251971101
"GSK207",0.0870476156743298,0.658695446418975
"GSK251",0.257243025810204,0.629067836895821
"GSK262",0.157752930245775,1.11211772554764
"GSK003",0.12860638244319,0.584708417346708
"GSK025",0.0930659242346138,0.597702714925669
"GSK094",0.254014269234139,0.57008744034635
"GSK259",0.0822690202891364,0.759689110372127
"GSK317",0.3406976742876,0.967528689403612
"GSK038",0.239193072981371,0.81309234366202
"GSK209",0.144606032629627,0.614080102970971
"GSK247",0.191890974762686,0.51108820426741
"GSK257",0.0587856228669177,1.06238619805796
"GSK272",0.0615051948789817,0.82775220484256
"GSK034",0.110988286314334,1.0585303201049
"GSK040",0.318178049004342,0.578403954864887
"GSK075",0.0899449119096211,0.585207129892639
"GSK225",0.0923653587134854,0.735612961912878
"GSK244",0.529453135014784,0.402477388412785
"GSK299",0.0977496210930535,0.423030099150344
"GSK009",0.101864423574337,0.420685009290376
"GSK013",0.349417815196247,1.21770982299321
"GSK027",0.312639357601962,1.83335038765384
"GSK085",0.592887660373565,0.543318318895711
"GSK230",0.147419767138171,0.707040240131007
"GSK250",0.0901946198514157,0.762251169757585
"GSK301",0.146827654866331,0.394121572274659
"GSK316",0.326159094361955,0.894139587657923
"GSK058",0.0557902055962546,0.599536296968085
"GSK081",0.170403614926462,0.858137915682398
"GSK213",0.0942383045648741,0.606416849108196
"GSK232",0.379080828107446,0.580410934762969
"GSK242",0.134844420272205,0.543030061862956
