	purity
GSK074	0.5171713751993208
GSK005	0.33815668147480965
GSK087	0.4769517288161406
GSK089	0.29716990932255105
GSK204	0.33241331943706426
GSK226	0.30534434563751883
GSK076	0.5292125989042225
GSK254	0.39389701869159327
GSK261	0.2690877112669373
GSK224	0.5803334251050486
GSK018	0.5351982785955587
GSK057	0.38610934994450824
GSK095	0.4516126239211736
GSK028	0.3828212551315649
GSK029	0.42406030592096366
GSK237	0.17482857646322603
GSK015	0.5620895892139844
GSK037	0.441398771721738
GSK218	0.6194275634085809
GSK064	0.38459807456357964
GSK235	0.26649399801699936
GSK238	0.3314825039429615
GSK265	0.3119251282426119
GSK011	0.2680928697133106
GSK012	0.2361295662851276
GSK033	0.3062611210823698
GSK021	0.3871337691679889
GSK090	0.308002353372098
GSK236	0.34239056831181
GSK240	0.29386732605711313
GSK306	0.5384097030751723
GSK312	0.23338254453624085
GSK067	0.2787796367776222
GSK243	0.4464414731826193
GSK248	0.2613460358157843
GSK307	0.2732132702994092
GSK006	0.337907010823915
GSK203	0.6238189493849755
GSK222	0.46085253523155173
GSK229	0.3796803992753516
GSK252	0.6538330909183584
GSK032	0.34013564279588754
GSK079	0.21621198581242584
GSK099	0.5022224307837635
GSK205	0.3026021847577063
GSK207	0.4628743759153281
GSK251	0.3554706250888772
GSK262	0.3002894954150802
GSK003	0.4567908363163036
GSK025	0.4016010346696925
GSK094	0.4720500138295875
GSK259	0.5040790251049645
GSK317	0.17082073002110754
GSK038	0.3971997595849246
GSK209	0.3962033081936135
GSK247	0.509622335708827
GSK257	0.3423629927766559
GSK272	0.4397267823853904
GSK034	0.3260333625039764
GSK040	0.3282415947847518
GSK075	0.5396150075209694
GSK225	0.4200926480745434
GSK244	0.31615989622735097
GSK299	0.7299681838131944
GSK009	0.44709559994612236
GSK013	0.20622501335754806
GSK027	0.23187144726004993
GSK085	0.27519815676189474
GSK230	0.4075075611865569
GSK250	0.33058664364003815
GSK301	0.6285500527835524
GSK316	0.23796328425604352
GSK058	0.5385890361880642
GSK081	0.3719510336707474
GSK213	0.3927657127118726
GSK232	0.2776744111049724
GSK242	0.40552864950860606
GSK305	0.18919230811163623
GSK311	0.2862049738578353
GSK077	0.6631609627920125
GSK078	0.5198352181325154
GSK088	0.41502555871181257
GSK100	0.2752620043215277
GSK216	0.48904859018188696
GSK245	0.340894158571018
GSK287	0.3675100957677287
GSK296	0.4141655259306773
GSK297	0.4573216153143725
GSK008	0.38762398608375126
GSK073	0.29948680601936495
GSK080	0.237771879192764
GSK234	0.2991862106796256
GSK283	0.4077822442534553
GSK084	0.39087412272236277
GSK096	0.30277441199740857
GSK279	0.464246301217259
GSK284	0.4925418515323319
GSK285	0.5922739453151422
GSK002	0.20312666992950834
GSK016	0.42230677641288167
GSK019	0.45186626405256464
GSK036	0.14803854656970317
GSK098	0.20598001134796629
GSK228	0.4715694978900245
GSK281	0.5083222170441966
GSK288	0.31166966028882476
GSK030	0.2726319283162537
GSK062	0.48895196588551515
GSK303	0.3546990859259162
GSK304	0.5246176725289482
GSK308	0.2807531328616004
GSK017	0.25324550424517456
GSK051	0.21185558470235077
GSK065	0.6490475641379051
GSK277	0.40959875330288614
GSK313	0.3425051511080229
GSK022	0.66355963204571
GSK052	0.18654327731348053
GSK083	0.3103189609795732
GSK086	0.20199273369430304
GSK092	0.7017682682543063
GSK214	0.43231587007594185
GSK239	0.561601850847151
GSK268	0.34576289531090076
GSK269	0.32627258752238575
GSK286	0.43112376494427407
GSK294	0.5656460771833989
GSK035	0.3482502193609967
GSK091	0.26101493064322123
GSK246	0.4443153497853085
GSK292	0.3273076727988992
GSK039	0.31207062261507257
GSK082	0.30481701133287675
GSK097	0.49588810691348056
GSK231	0.40291586250083083
GSK258	0.4045962713618208
GSK273	0.3478228284482907
GSK280	0.4227464947052248
GSK302	0.5569631058613544
GSK315	0.32925935464749284
GSK020	0.636325736309212
GSK093	0.23182397156967982
GSK211	0.5181479231300323
GSK212	0.41656439412269913
GSK309	0.28964146018835324
GSK310	0.21443613418070906
GSK061	0.5492017565793654
GSK227	0.33032044224465623
GSK278	0.5128097900498386
GSK001	0.39134614175166754
GSK202	0.6323270198862867
GSK282	0.4221433246264233
GSK293	0.36089286567671525
GSK031	0.41622976371650156
GSK050	0.6704438580162819
GSK233	0.4167671711950814
GSK026	0.3657209064094036
GSK053	0.4002791131388604
GSK055	0.2958737837610868
GSK249	0.36211578939780087
GSK314	0.6189306034146657
GSK024	0.23582745875988842
GSK060	0.6177436461885344
GSK210	0.5066831175713733
GSK023	0.2452270390364082
GSK206	0.3396041747413735
GSK318	0.3905157761704252
GSK004	0.38317747136320346
GSK054	0.2090209358616727
GSK014	0.22464277485876927
GSK066	0.5681896237337345
GSK010	0.2861848153924597
