"","CibersortX"
"A477-IM135",0.574098297627907
"A471-IM124",0.385278986030703
"A469-IM122",0.558188980579088
"A468-IM121",0.521407979016001
"A466-IM118",0.509370511805957
"A465-IM117",0.623871925689383
"A464-IM114",0.659466986606849
"A464-IM113",0.595979541203363
"A463-IM112",0.570846599100113
"A459-IM107",0.329849573339982
"A458-IM105",0.538426690119192
"A457-IM104",0.481538599008393
"A457-IM103",0.635178815541658
"A457-IM102",0.530869273732718
"A456-IM100",0.463340626844494
"A455-IM97",0.622752195161083
"A453-IM95",0.61237093094918
"A452-IM93",0.598369555114251
"A451-IM92",0.602032410642453
"A450-IM91",0.758079390204389
"A449-IM86",0.648902831054296
"A443-IM78",0.481787481379642
"A443-IM77",0.626895747374874
"A442-IM76",0.468309452957396
"A441-IM75",0.557576980234504
"A441-IM74",0.573852956299926
"A440-IM73",0.414613845878864
"A438-IM71",0.53576078111111
"A438-IM70",0.640804995309625
"A256-IM89",0.450368138319184
"A256-IM88",0.384023697485056
"A180-IM126",0.536245477433185
"A152-T-S42",0.397811320752229
"A152-T-S37",0.444369693319704
"A152-T-S33",0.37544609546109
"A152-T-S31",0.381036355182794
"A152-T-S27",0.366499798201396
"A151-IM116",0.621788895681609
"A097-IM35",0.469384204134742
"A096-IM34",0.408265543262555
"A096-IM138",0.479371715291708
"A093-IM33",0.618928127755315
"A092-IM31",0.382864348876934
"A089-IM14",0.476482462952457
"A085-IM07",0.484054962109921
"A079-IM01",0.737533753654522
"A058-IM29",0.528081650022432
"A056-IM27",0.412360699142467
"A055-IM26",0.607084615482745
"A048-IM22",0.455895835551905
"A047-IM21",0.442930070293728
"A047-IM20",0.588596724117579
"A044-IM12",0.498572928936739
"A041-IM02",0.610139504028277
"A040-IM141",0.620454242827735
"A040-IM10",0.55405124844255
"A040-IM09",0.613185453549197
"A040-IM08",0.478878970251837
"A038-IM140",0.5420267046747
"A018-IM110",0.647121557662652
"A003-T-B10",0.578978485197058
"A003-T-B09",0.645181770303261
"A003-T-B03",0.614414157799451
"A003-IM18",0.667303418451966
