"","DeconRNASeq"
"A477-IM135",0.319640653805715
"A471-IM124",0.112888354070102
"A469-IM122",0.344537309847074
"A468-IM121",0.35728261826958
"A466-IM118",0.221644401336191
"A465-IM117",0.389766381092361
"A464-IM114",0.527535741007974
"A464-IM113",0.468707123046768
"A463-IM112",0.367847704831415
"A459-IM107",0.156239176306028
"A458-IM105",0.260689260608204
"A457-IM104",0.373810902667393
"A457-IM103",0.403974197106093
"A457-IM102",0.406716607121425
"A456-IM100",0.259233604990805
"A455-IM97",0.361888957065022
"A453-IM95",0.618597536470793
"A452-IM93",0.427557980173459
"A451-IM92",0.465988887167806
"A450-IM91",0.456000159930229
"A449-IM86",0.453838762028865
"A443-IM78",0.249661695299312
"A443-IM77",0.353724321526142
"A442-IM76",0.412878281423401
"A441-IM75",0.325358292285082
"A441-IM74",0.377624230390031
"A440-IM73",0.227017158206828
"A438-IM71",0.384919256871152
"A438-IM70",0.516964884680051
"A256-IM89",0.32469629179832
"A256-IM88",0.163872208660764
"A180-IM126",0.377481765088952
"A152-T-S42",0.29851083902868
"A152-T-S37",0.329262188140712
"A152-T-S33",0.231062242622586
"A152-T-S31",0.221452935808958
"A152-T-S27",0.145220307924074
"A151-IM116",0.49732227556503
"A097-IM35",0.273433860614655
"A096-IM34",0.321820502688526
"A096-IM138",0.348637955862876
"A093-IM33",0.510699095937542
"A092-IM31",0.203404590173335
"A089-IM14",0.254552319013295
"A085-IM07",0.26479855153235
"A079-IM01",0.445103434339062
"A058-IM29",0.340748312409786
"A056-IM27",0.220228388460945
"A055-IM26",0.393166346658839
"A048-IM22",0.211896768077416
"A047-IM21",0.111088179483685
"A047-IM20",0.238332544580576
"A044-IM12",0.369883132248218
"A041-IM02",0.55113280362544
"A040-IM141",0.335023844401748
"A040-IM10",0.2068457875745
"A040-IM09",0.273494393734537
"A040-IM08",0.256345443366275
"A038-IM140",0.295635181908629
"A018-IM110",0.624120023957741
"A003-T-B10",0.399445705286258
"A003-T-B09",0.429317483921973
"A003-T-B03",0.361894446582991
"A003-IM18",0.374923376491185
