"","EPIC"
"A477-IM135",0.536386801009136
"A471-IM124",0.527115343402169
"A469-IM122",0.737948148480281
"A468-IM121",0.648678834767399
"A466-IM118",0.621344380434963
"A465-IM117",0.717070012162169
"A464-IM114",0.772147188096696
"A464-IM113",0.719393859156659
"A463-IM112",0.72892141357986
"A459-IM107",0.486661786076343
"A458-IM105",0.666172832225044
"A457-IM104",0.443466119910963
"A457-IM103",0.635551140157627
"A457-IM102",0.597733883434933
"A456-IM100",0.67093311971237
"A455-IM97",0.726946406609839
"A453-IM95",0.652450559574488
"A452-IM93",0.67136022000562
"A451-IM92",0.698152431376246
"A450-IM91",0.692053842893539
"A449-IM86",0.729418208406842
"A443-IM78",0.740323724803921
"A443-IM77",0.779180248638762
"A442-IM76",0.41294694026359
"A441-IM75",0.759363402261
"A441-IM74",0.696627850776708
"A440-IM73",0.532589463846689
"A438-IM71",0.671189726125763
"A438-IM70",0.711883088548714
"A256-IM89",0.636550030167278
"A256-IM88",0.421211465552552
"A180-IM126",0.63365732264738
"A152-T-S42",0.539460184484204
"A152-T-S37",0.601404102533585
"A152-T-S33",0.498013423459194
"A152-T-S31",0.571944293125035
"A152-T-S27",0.561637104939031
"A151-IM116",0.686226385808154
"A097-IM35",0.56193286454419
"A096-IM34",0.624077187780267
"A096-IM138",0.663843064740544
"A093-IM33",0.718555281862435
"A092-IM31",0.67952719803356
"A089-IM14",0.535944229476332
"A085-IM07",0.649704283044143
"A079-IM01",0.74934852936618
"A058-IM29",0.681847703686164
"A056-IM27",0.49139637232221
"A055-IM26",0.714188544406463
"A048-IM22",0.604410335131099
"A047-IM21",0.540636585619038
"A047-IM20",0.710655887453362
"A044-IM12",0.464899867363901
"A041-IM02",0.703527061520192
"A040-IM141",0.757777616969961
"A040-IM10",0.663422318197457
"A040-IM09",0.716434448659546
"A040-IM08",0.648886578642666
"A038-IM140",0.799330095283162
"A018-IM110",0.717728278398969
"A003-T-B10",0.747545927639344
"A003-T-B09",0.806407010749371
"A003-T-B03",0.762853306028726
"A003-IM18",0.770466368278373
