"","Cell type 1","Cell type 2"
"A477-IM135",1.20406692876345,7.50209924273394e-06
"A471-IM124",0.636700332601278,0.329414239742952
"A469-IM122",0.491026170664324,0.434948794581886
"A468-IM121",0.760654797943302,0.166323672153688
"A466-IM118",0.233708558541434,0.708222550871954
"A465-IM117",0.304100540584541,0.529770770424944
"A464-IM114",0.543856473705494,0.281112392312886
"A464-IM113",0.469525559141604,0.392436628922773
"A463-IM112",0.493757227272999,0.415691227284931
"A459-IM107",0.482593949429867,0.66928325733731
"A458-IM105",0.398646830653076,0.623238798661225
"A457-IM104",0.6805630781506,0.373945341808107
"A457-IM103",0.954187265305489,0.020207014081358
"A457-IM102",0.446331864111818,0.390732272130348
"A456-IM100",0.26722142984815,0.827747459406792
"A455-IM97",0.830243191289061,0.175615717230391
"A453-IM95",0.380351000284681,0.493396227195346
"A452-IM93",0.461260725238749,0.350202217936912
"A451-IM92",0.280346344714019,0.665485146943258
"A450-IM91",0.179047748234707,0.669495755489751
"A449-IM86",0.679357860160867,0.439521778152624
"A443-IM78",0.714793174267902,0.265979465433228
"A443-IM77",0.66978628433798,0.315610381904322
"A442-IM76",0.678059646353461,0.403005231303969
"A441-IM75",0.550752746585909,0.475581460115512
"A441-IM74",1.00554424323463,0.190679733945782
"A440-IM73",0.367374622577405,0.729831178432018
"A438-IM71",0.62917302008622,0.326850350565815
"A438-IM70",0.460280152893993,0.324523256433989
"A256-IM89",0.426992083777044,0.631109464013357
"A256-IM88",0.415824678565192,0.790458393531111
"A180-IM126",0.438754748478836,0.476334991694176
"A152-T-S42",0.479555631139896,0.490800961367755
"A152-T-S37",0.422066771658281,0.500365410247324
"A152-T-S33",0.480848151534505,0.544738423156972
"A152-T-S31",0.377300359971754,0.686252411858681
"A152-T-S27",0.431064947660096,0.636579826060169
"A151-IM116",0.492265467952776,0.295553579364766
"A097-IM35",0.483816402064371,0.657584191106899
"A096-IM34",0.406875308343737,0.650201051159168
"A096-IM138",0.67178542851,0.386196005791075
"A093-IM33",0.456927946696451,0.39926355761372
"A092-IM31",5.15533191169066e-06,1.14326162038665
"A089-IM14",0.114165282154304,0.916428104551863
"A085-IM07",0.336091934920373,0.595029615906332
"A079-IM01",0.251703050492394,0.654381459602377
"A058-IM29",0.14854838570855,0.86603823726119
"A056-IM27",0.269412330216219,0.906814622772328
"A055-IM26",0.140733133857574,0.854465316244424
"A048-IM22",0.340059356508006,0.593475500389334
"A047-IM21",0.419200870870933,0.619301804820294
"A047-IM20",0.284841209963749,0.633876267771642
"A044-IM12",0.248647946726201,0.726293930229274
"A041-IM02",0.284493191516329,0.649156444456799
"A040-IM141",0.39942768900135,0.465165411688996
"A040-IM10",0.344593004879574,0.622359932727663
"A040-IM09",0.59406562684143,0.450608809429347
"A040-IM08",0.392127533590504,0.752991900955023
"A038-IM140",0.639322561833575,0.475135372494956
"A018-IM110",0.281341960759793,0.51331391508653
"A003-T-B10",0.254099068912124,0.754085272115628
"A003-T-B09",0.168139605038392,0.823383890473851
"A003-T-B03",0.260848757351274,0.731300136383315
"A003-IM18",0.182373818438633,0.781713350172124
