	purity
A477-IM135	0.38251561700169995
A471-IM124	0.4837833766702549
A469-IM122	0.5880528161050825
A468-IM121	0.5260467640407482
A466-IM118	0.5254457070744518
A465-IM117	0.8188121323183616
A464-IM114	0.7780953259894698
A464-IM113	0.7650598916612309
A463-IM112	0.6991508184493681
A459-IM107	0.29386598479767895
A458-IM105	0.5501379836985743
A457-IM104	0.375403989214749
A457-IM103	0.6763693456539878
A457-IM102	0.5564415251318455
A456-IM100	0.5235697941654855
A455-IM97	0.6304000017887791
A453-IM95	0.5899044594262304
A452-IM93	0.6607564128871106
A451-IM92	0.6946797458325678
A450-IM91	0.681331840394882
A449-IM86	0.650467029847997
A443-IM78	0.5006632276417221
A443-IM77	0.6373017666215067
A442-IM76	0.31875206581738474
A441-IM75	0.515176501803069
A441-IM74	0.5153040639018536
A440-IM73	0.43873488714518766
A438-IM71	0.5768947951106815
A438-IM70	0.7057389723399778
A256-IM89	0.6136181925365516
A256-IM88	0.38273396057165926
A180-IM126	0.5404193809127296
A152-T-S42	0.3423429193737976
A152-T-S37	0.36539244986383285
A152-T-S33	0.4077707278027169
A152-T-S31	0.39014273864706556
A152-T-S27	0.3728576051793458
A151-IM116	0.6172006985629795
A097-IM35	0.3292088340588174
A096-IM34	0.5119305508616567
A096-IM138	0.528953365651915
A093-IM33	0.48255613901225164
A092-IM31	0.6403205187478002
A089-IM14	0.35776788008748583
A085-IM07	0.46535934709967036
A079-IM01	0.5882395161820881
A058-IM29	0.4982571132485691
A056-IM27	0.3577044079893338
A055-IM26	0.6065556661709293
A048-IM22	0.49847583491805597
A047-IM21	0.44627987576968897
A047-IM20	0.6154749282130505
A044-IM12	0.48887319190881456
A041-IM02	0.5445201676605973
A040-IM141	0.6167573714107768
A040-IM10	0.5673702087713097
A040-IM09	0.5955075519534341
A040-IM08	0.3823350184854309
A038-IM140	0.7322545841978957
A018-IM110	0.6471741711461123
A003-T-B10	0.668756790142516
A003-T-B09	0.7641886891611525
A003-T-B03	0.5907715602129948
A003-IM18	0.6253005047566756
