"","DeconRNASeq"
"NCC-CRC-1504-1",0.142948329937707
"NCC-CRC-1603-1",0.329282061527393
"NCC-CRC-1324-1",0.430769465795546
"NCC-CRC-834-1",0.427383232582935
"NCC-CRC-47-1",0.314416156369795
"NCC-CRC-1477-1",0.343111562767978
"NCC-CRC-1298-1",0.281237879690841
"NCC-CRC-1037-1",0.43896604491912
"NCC-CRC-1631-1",0.287817805409277
"NCC-CRC-1677-1",0.205897601811927
"NCC-CRC-948-1",0.271153493802493
"NCC-CRC-1662-1",0.410200529924889
"NCC-CRC-973-1",0.399072780488658
"NCC-CRC-1176-1",0.0667233668227085
"NCC-CRC-1592-1",0.251020612812054
"NCC-CRC-1457-1",0.38100462428078
"NCC-CRC-1399-1",0.300462108451952
"NCC-CRC-1177-1",0.373134245495291
"NCC-CRC-1533-1",0.0477178134339736
"NCC-CRC-1554-1",0.439322054455767
"NCC-CRC-936-1",0.437908227479824
"NCC-CRC-1317-1",0.239629112006802
"NCC-CRC-326-1",0.178650932447014
"NCC-CRC-1162-1",0.392498090516971
"NCC-CRC-939-1",0.434303295616704
"NCC-CRC-1079-1",0.0598592523611231
"NCC-CRC-974-2",0.142780111515642
"NCC-CRC-934-1A",0.344519692299897
"NCC-CRC-890-1",0.403886944815512
"NCC-CRC-470-1",0.286662665886017
"NCC-CRC-1341-1",0.0764628969046095
"NCC-CRC-814-1",0.330805128538439
"NCC-CRC-363-1",0.135333417822375
"NCC-CRC-1180-1",0.106608057855523
"NCC-CRC-1152-1",0.20215463658921
"NCC-CRC-1627-1",0.139195109958012
"NCC-CRC-665-1",0.21054716115071
"NCC-CRC-1470-2",0.0489729505442932
"NCC-CRC-1602-1",0.39252161125098
"NCC-CRC-1634-1",0.412680251779354
"NCC-CRC-1226-1",0.439950021276831
"NCC-CRC-1604-1",0.437444820400989
"NCC-CRC-1539-1",0.383416928669102
"NCC-CRC-1643-1",0.369509293871852
"NCC-CRC-698-1",0.170450570801994
"NCC-CRC-1424-1",0.339625474519329
"NCC-CRC-1196-1",0.44716569166794
"NCC-CRC-976-2",0.354231076315772
"NCC-CRC-1586-1",0.406589985135906
"NCC-CRC-1672-1",0.048201638761509
"NCC-CRC-1312-1",0.381540740848841
"NCC-CRC-1386-1",0.425820411763244
"NCC-CRC-269-1",0
"NCC-CRC-1610-1",0.379062661534223
"NCC-CRC-927-2",0.112189119779095
"NCC-CRC-928-1A",0.34244415046231
"NCC-CRC-1145-1",0.15795800525058
"NCC-CRC-1146-1",0.355274021290835
"NCC-CRC-1280-1",0.445952439613968
"NCC-CRC-1105-1",0.411681459757424
"NCC-CRC-506-1",0.17008892710717
"NCC-CRC-1409-2",0.124527026364066
"NCC-CRC-1649-1",0.411244835009152
"NCC-CRC-1144-1",0.35989545662908
"NCC-CRC-1656-1",0.265581095332389
"NCC-CRC-1388-1",0.44595299281916
"NCC-CRC-1272-1",0.230244769492407
"NCC-CRC-786-1",0.182825273733763
"NCC-CRC-1253-1",0.208644227059352
"NCC-CRC-1528-1",0.130606106863453
"NCC-CRC-1128-1",0.29763656783858
"NCC-CRC-883-1",0.135504191717952
"NCC-CRC-1138-1",0.396622288044199
"NCC-CRC-1277-1",0.279290949182358
"NCC-CRC-95-1",0.247465086523585
"NCC-CRC-1311-1",0.270118781247257
"NCC-CRC-1647-1",0.222635191806347
"NCC-CRC-1158-1",0.120918606117509
"NCC-CRC-1425-1",0.378424767329506
"NCC-CRC-1538-1",0.390058658415784
"NCC-CRC-998-1",0.122550166615943
"NCC-CRC-1190-1",0.230639943888214
"NCC-CRC-1489-1",0.389991607659935
"NCC-CRC-1151-1",0.255774481476635
"NCC-CRC-785-1",0.406189844898111
"NCC-CRC-765-1",0.348848279362714
"NCC-CRC-980-1",0.169964713355545
"NCC-CRC-1236-1",0.361713081972631
"NCC-CRC-609-1",0.25984737774438
"NCC-CRC-1332-1",0.227919393535741
"NCC-CRC-1632-1",0.359139231869858
"NCC-CRC-1549-1",0.357221674677076
"NCC-CRC-1227-1",0.320896233197998
"NCC-CRC-1397-1",0.35615482329783
"NCC-CRC-865-1",0.449130587999789
"NCC-CRC-742-1",0.251634038006263
"NCC-CRC-1625-2",0.163919422649033
"NCC-CRC-1262-1",0.184184905335104
"NCC-CRC-420-1",0.27214992070308
"NCC-CRC-1202-1",0.197055349096299
"NCC-CRC-612-1",0.321363344317152
"NCC-CRC-958-1",0.285222022205146
"NCC-CRC-106-1",0.212192304185711
"NCC-CRC-1657-1",0.200151512417858
"NCC-CRC-1276-1",0.490244602374418
"NCC-CRC-1054-1",0.28899701690218
"NCC-CRC-1237-1",0.355661815982262
"NCC-CRC-1465-1",0.44470963337866
"NCC-CRC-1117-1",0.408845675216031
"NCC-CRC-1543-1",0.417771733675327
"NCC-CRC-1053-1",0.438371664177929
"NCC-CRC-1550-1",0.430339604727249
"NCC-CRC-1171-1",0.107206908860484
"NCC-CRC-1313-1",0.147825823577492
"NCC-CRC-1184-1",0.325366633393112
"NCC-CRC-1304-1",0.114713317636546
"NCC-CRC-931-1A",0.289645146433314
"NCC-CRC-1658-1",0.411597777152713
"NCC-CRC-963-2",0.505256537822475
"NCC-CRC-1378-1",0.42987755553879
"NCC-CRC-919-1",0.279020073082521
"NCC-CRC-1164-1",0.194763376654852
"NCC-CRC-1426-1",0.333958688297592
"NCC-CRC-1255-1",0.435226665118672
"NCC-CRC-1502-1",0.155766334193497
"NCC-CRC-1254-2",0.0425338137756727
"NCC-CRC-1194-1",0.205996193822312
"NCC-CRC-153-1",0.0775117716001158
"NCC-CRC-1419-1",0.30967980326398
"NCC-CRC-1665-1",0.454620254365704
"NCC-CRC-935-1A",0.306215027239478
"NCC-CRC-490-1",0.347083634560852
"NCC-CRC-1463-1",0.298387545417504
"NCC-CRC-1456-1",0.263458276045239
"NCC-CRC-1030-1",0.242601442663827
"NCC-CRC-1644-1",0.0208957156827111
"NCC-CRC-1393-1",0.318778361661254
"NCC-CRC-649-1",0.315929416408713
"NCC-CRC-1639-1",0.400902421474933
"NCC-CRC-1664-1",0.0954580618191587
"NCC-CRC-1127-1",0.36136839920565
"NCC-CRC-1315-1",0.463629563561703
"NCC-CRC-1414-1",0.390368939325743
"NCC-CRC-1323-1",0.380117593213272
"NCC-CRC-1646-1",0.359504224710336
"NCC-CRC-1066-1",0.143480158246427
"NCC-CRC-1464-1",0.367567496820664
"NCC-CRC-1165-1",0.209839670598183
"NCC-CRC-1607-1",0.42687031088098
"NCC-CRC-1448-1",0.393898335501787
"NCC-CRC-891-2A",0.145510257557666
"NCC-CRC-858-1",0.295164655383598
"NCC-CRC-1614-1",0.429247589786738
