"","EPIC"
"NCC-CRC-1504-1",0.557594596321848
"NCC-CRC-1603-1",0.753401058883597
"NCC-CRC-1324-1",0.816880825240791
"NCC-CRC-834-1",0.84916673180111
"NCC-CRC-47-1",0.72907069500777
"NCC-CRC-1477-1",0.790605834956508
"NCC-CRC-1298-1",0.665765459001012
"NCC-CRC-1037-1",0.845577965381499
"NCC-CRC-1631-1",0.670648757703682
"NCC-CRC-1677-1",0.681261705411946
"NCC-CRC-948-1",0.771370878966368
"NCC-CRC-1662-1",0.628840698460766
"NCC-CRC-973-1",0.794800891499514
"NCC-CRC-1176-1",0.277474904668856
"NCC-CRC-1592-1",0.624372658889318
"NCC-CRC-1457-1",0.825973633625302
"NCC-CRC-1399-1",0.757888471350335
"NCC-CRC-1177-1",0.776069646139036
"NCC-CRC-1533-1",8.82303889120413e-10
"NCC-CRC-1554-1",0.711872853328581
"NCC-CRC-936-1",0.828887011477864
"NCC-CRC-1317-1",0.727423705134138
"NCC-CRC-326-1",0.633188418308542
"NCC-CRC-1162-1",0.806150096778145
"NCC-CRC-939-1",0.798263721066
"NCC-CRC-1079-1",1.41897074489154e-06
"NCC-CRC-974-2",0.646485155168872
"NCC-CRC-934-1A",0.772444460525382
"NCC-CRC-890-1",0.798123314282612
"NCC-CRC-470-1",0.774421810763862
"NCC-CRC-1341-1",0.509687204495457
"NCC-CRC-814-1",0.739280701338697
"NCC-CRC-363-1",0.638541847951987
"NCC-CRC-1180-1",0.174322269564307
"NCC-CRC-1152-1",0.66031402911943
"NCC-CRC-1627-1",0.519048036296624
"NCC-CRC-665-1",0.602674428031264
"NCC-CRC-1470-2",0.378443256293812
"NCC-CRC-1602-1",0.780930600496017
"NCC-CRC-1634-1",0.584009967669304
"NCC-CRC-1226-1",0.781997009298759
"NCC-CRC-1604-1",0.598210020499954
"NCC-CRC-1539-1",0.741393127604048
"NCC-CRC-1643-1",0.761247260643409
"NCC-CRC-698-1",0.741225152605389
"NCC-CRC-1424-1",0.737603446502183
"NCC-CRC-1196-1",0.771481389439214
"NCC-CRC-976-2",0.827156679403234
"NCC-CRC-1586-1",0.73678666054177
"NCC-CRC-1672-1",0.173124742556067
"NCC-CRC-1312-1",0.76801882054515
"NCC-CRC-1386-1",0.777144989003089
"NCC-CRC-269-1",5.91416300107856e-07
"NCC-CRC-1610-1",0.709696478227691
"NCC-CRC-927-2",0.564628437903669
"NCC-CRC-928-1A",0.795021401817455
"NCC-CRC-1145-1",0.611596416506512
"NCC-CRC-1146-1",0.829768398989037
"NCC-CRC-1280-1",0.840726474662565
"NCC-CRC-1105-1",0.804894205820753
"NCC-CRC-506-1",0.560002186876159
"NCC-CRC-1409-2",0.506172149956281
"NCC-CRC-1649-1",0.78685321274921
"NCC-CRC-1144-1",0.804690288658959
"NCC-CRC-1656-1",0.793511460969447
"NCC-CRC-1388-1",0.817881915408777
"NCC-CRC-1272-1",0.720491863402185
"NCC-CRC-786-1",0.566228248556304
"NCC-CRC-1253-1",0.732890130377991
