	purity
NCC-CRC-1504-1	0.6698971863366353
NCC-CRC-1603-1	0.5083894945011647
NCC-CRC-1324-1	0.651622065788652
NCC-CRC-834-1	0.6991546523831604
NCC-CRC-47-1	0.6458188086161171
NCC-CRC-1477-1	0.5781074560211711
NCC-CRC-1298-1	0.5199886584519918
NCC-CRC-1037-1	0.6161163685654709
NCC-CRC-1631-1	0.6299516376292706
NCC-CRC-1677-1	0.6853421158584038
NCC-CRC-948-1	0.7191635698683451
NCC-CRC-1662-1	0.4963676313048541
NCC-CRC-973-1	0.5791841179413226
NCC-CRC-1176-1	0.5116427503579343
NCC-CRC-1592-1	0.5306970824062129
NCC-CRC-1457-1	0.6422510800708543
NCC-CRC-1399-1	0.5884697674333372
NCC-CRC-1177-1	0.6322890979518118
NCC-CRC-1533-1	0.49854453824684253
NCC-CRC-1554-1	0.5014543042241847
NCC-CRC-936-1	0.644609172524928
NCC-CRC-1317-1	0.6905526940832811
NCC-CRC-326-1	0.44259472344352846
NCC-CRC-1162-1	0.6418697532420654
NCC-CRC-939-1	0.6060297682050388
NCC-CRC-1079-1	0.4828563694763145
NCC-CRC-974-2	0.6938024989040966
NCC-CRC-934-1A	0.6246511384974384
NCC-CRC-890-1	0.637447421148315
NCC-CRC-470-1	0.5716612523372392
NCC-CRC-1341-1	0.6206504935630509
NCC-CRC-814-1	0.5973345849745514
NCC-CRC-363-1	0.6087051702162802
NCC-CRC-1180-1	0.5759063854229647
NCC-CRC-1152-1	0.4686527716964452
NCC-CRC-1627-1	0.43299111185420575
NCC-CRC-665-1	0.5660200541362828
NCC-CRC-1470-2	0.42241418924938406
NCC-CRC-1602-1	0.6165096801622627
NCC-CRC-1634-1	0.45393102764739607
NCC-CRC-1226-1	0.5692326133850047
NCC-CRC-1604-1	0.6181659792322346
NCC-CRC-1539-1	0.5116034669612017
NCC-CRC-1643-1	0.6028337973597954
NCC-CRC-698-1	0.6893623111071636
NCC-CRC-1424-1	0.5862858083869427
NCC-CRC-1196-1	0.5582819915993406
NCC-CRC-976-2	0.6252398959187204
NCC-CRC-1586-1	0.4901886141785288
NCC-CRC-1672-1	0.3882265773787263
NCC-CRC-1312-1	0.5995310428276247
NCC-CRC-1386-1	0.5554189284554937
NCC-CRC-269-1	0.30777762351853155
NCC-CRC-1610-1	0.5930859487243233
NCC-CRC-927-2	0.46660101886382194
NCC-CRC-928-1A	0.6036617510499004
NCC-CRC-1145-1	0.5658556818995772
NCC-CRC-1146-1	0.6216884549699606
NCC-CRC-1280-1	0.5035576453902748
NCC-CRC-1105-1	0.6689246875742031
NCC-CRC-506-1	0.5119389778981136
NCC-CRC-1409-2	0.7388670224192609
NCC-CRC-1649-1	0.636982988918822
NCC-CRC-1144-1	0.5930750153322526
NCC-CRC-1656-1	0.662619997930635
NCC-CRC-1388-1	0.6666029062865748
NCC-CRC-1272-1	0.5083649709554916
NCC-CRC-786-1	0.6006372334903377
NCC-CRC-1253-1	0.5763078354817373
NCC-CRC-1528-1	0.5493565756427237
NCC-CRC-1128-1	0.6563453759872502
NCC-CRC-883-1	0.42547430859293117
NCC-CRC-1138-1	0.5430332856310519
