,CIBERSORTx
TCGA-61-1907-01,0.528751845539565
TCGA-BJ-A2P4-01,0.404815160845222
TCGA-CC-A9FU-01,0.735229682577116
TCGA-B5-A5OE-01,0.886766220533689
TCGA-ZF-A9RL-01,0.977642844247602
TCGA-2F-A9KP-01,0.91610867869758
TCGA-T3-A92M-01,0.418143572685496
TCGA-P5-A5EV-01,0.0898739178364974
TCGA-KK-A8IG-01,0.523024461142171
TCGA-MI-A75H-01,0.270367084279312
TCGA-CS-5394-01,0.130845821947719
TCGA-AZ-5407-01,0.851572407402331
TCGA-99-7458-01,0.526646810808526
TCGA-B4-5844-01,0.0259499206481791
TCGA-97-7547-01,0.740223420511809
TCGA-A3-A8OX-01,0.206163995826822
TCGA-B6-A0WT-01,0.355255192812433
TCGA-A8-A07L-01,0.585900234783813
TCGA-97-7552-01,0.523397642459254
TCGA-F7-A61S-01,0.714719547619939
TCGA-CU-A3YL-01,0.71292170470356
TCGA-D8-A1Y3-01,0.541917322393594
TCGA-DE-A4M8-01,0.37634567609257
TCGA-A7-A4SD-01,0.464633247031681
TCGA-AQ-A7U7-01,0.131571377111411
TCGA-43-A474-01,0.735749635972665
TCGA-A2-A4S0-01,0.622203517357392
TCGA-4A-A93Y-01,0.0762965145119422
TCGA-DD-A39Z-01,0.725414630687669
TCGA-VQ-A8DU-01,0.643233386047409
TCGA-DD-AADW-01,0.628027534401711
TCGA-AC-A62V-01,0.510482208292961
TCGA-VS-A9U7-01,0.624288175374451
TCGA-XQ-A8TA-01,0.910854002840775
TCGA-VS-A9UY-01,0.724625904385308
TCGA-FD-A5BR-01,0.564791056237866
TCGA-QU-A6IO-01,0.789566356567744
TCGA-XK-AAIR-01,0.730354585995939
TCGA-55-A491-01,0.529505003345106
TCGA-09-0364-01,0.89920666174516
TCGA-E2-A14N-01,0.678996257593348
TCGA-75-5147-01,0.563571911069838
TCGA-BP-4795-01,0.160931692417715
TCGA-60-2726-01,0.74949999235115
TCGA-XX-A899-01,0.254905977456977
TCGA-CF-A9FL-01,0.670452307931462
TCGA-DK-A3IT-01,0.643697083302553
TCGA-BH-A0H5-01,0.175525493279735
TCGA-BB-A5HU-01,0.423238538489691
TCGA-68-8250-01,0.633943788984468
TCGA-HC-7821-01,0.427049115274898
TCGA-BP-4961-01,0.0505949468425353
TCGA-YD-A9TA-06,0.444642306948374
TCGA-AJ-A3IA-01,0.574931415886742
TCGA-38-4626-01,0.388277155253109
TCGA-CZ-5451-01,0.0985001233357131
TCGA-3C-AALI-01,0.402892403650722
TCGA-A2-A0SY-01,0.353869701768837
TCGA-NH-A6GA-01,0.827320113355657
TCGA-29-1768-01,0.308796085690245
TCGA-EK-A2RK-01,0.74029357610494
TCGA-2H-A9GQ-01,0.700247120852305
TCGA-5P-A9KE-01,0.68213457838662
TCGA-DJ-A4UL-01,0.714097086872057
TCGA-V1-A8MF-01,0.607292111415704
TCGA-A8-A07Z-01,0.614355768879902
TCGA-S9-A7R3-01,0.0317894445840327
TCGA-DI-A1C3-01,0.337423272380623
TCGA-DJ-A3US-01,0.457576966551787
TCGA-BH-A0GY-01,0.519117605322401
TCGA-IN-AB1V-01,0.857624807335992
TCGA-HP-A5N0-01,0.30192361519978
TCGA-AO-A0J5-01,0.298566884797338
TCGA-EM-A3AJ-01,0.440350288351509
TCGA-G3-A25Z-01,0.517108686067721
TCGA-C5-A8XJ-01,0.725527877085257
TCGA-3A-A9I5-01,0.538013194334773
TCGA-BP-5175-01,0.316584110825958
TCGA-TM-A7CA-01,0.11545557484089
TCGA-AP-A5FX-01,0.70108726812563
TCGA-OL-A5RU-01,0.413546767092417
TCGA-4P-AA8J-01,0.353645256446938
TCGA-95-7944-01,0.393911450474255
TCGA-A2-A0T0-01,0.551017267297424
TCGA-20-0987-01,0.40380524488144
TCGA-VR-A8ET-01,0.811937215564163
TCGA-QH-A6CU-01,0.0584509683213675
TCGA-A8-A08B-01,0.701632404913447
TCGA-C8-A1HM-01,0.416476865981468
TCGA-EL-A3ZQ-01,0.764202542522469
TCGA-EJ-A46B-01,0.790756562195087
TCGA-FB-AAPP-01,0.882752977271572
TCGA-63-A5MJ-01,0.532828651510435
TCGA-EL-A3T8-01,0.651249039784954
TCGA-13-0724-01,0.645983888184137
TCGA-ED-A7PY-01,0.786610970833028
TCGA-D3-A3C3-06,0.0613898065894654
TCGA-YL-A8SH-01,0.70937672488211
TCGA-AN-A0AJ-01,0.466479761916492
TCGA-EI-6508-01,0.803058604974455
TCGA-ET-A3BQ-01,0.696167859482916
