,DeMixT
TCGA-61-1907-01,0.923864817961617
TCGA-BJ-A2P4-01,0.654151365184019
TCGA-CC-A9FU-01,0.832953175657175
TCGA-B5-A5OE-01,0.905378454162598
TCGA-ZF-A9RL-01,0.640401606177852
TCGA-2F-A9KP-01,0.680934372856517
TCGA-T3-A92M-01,0.659183304242105
TCGA-P5-A5EV-01,0.562499854704766
TCGA-KK-A8IG-01,0.251613579629537
TCGA-MI-A75H-01,0.853812320909352
TCGA-CS-5394-01,0.787699340089514
TCGA-AZ-5407-01,0.53743628436131
TCGA-99-7458-01,0.0692622319988686
TCGA-B4-5844-01,0.0446557065260814
TCGA-97-7547-01,0.67124643014157
TCGA-A3-A8OX-01,0.0619849968717292
TCGA-B6-A0WT-01,0.436134940125802
TCGA-A8-A07L-01,0.765967096642211
TCGA-97-7552-01,0.0573754261776517
TCGA-F7-A61S-01,0.680137620984637
TCGA-CU-A3YL-01,0.882429645755789
TCGA-D8-A1Y3-01,0.88909764338139
TCGA-DE-A4M8-01,0.127471467150707
TCGA-A7-A4SD-01,0.655469094990303
TCGA-AQ-A7U7-01,0.305467487853895
TCGA-43-A474-01,0.704329306248444
TCGA-A2-A4S0-01,0.146710842473188
TCGA-4A-A93Y-01,0.139267127475075
TCGA-DD-A39Z-01,0.922732630907778
TCGA-VQ-A8DU-01,0.771440991596657
TCGA-DD-AADW-01,0.728766848925419
TCGA-AC-A62V-01,0.897257665319536
TCGA-VS-A9U7-01,0.762081166168653
TCGA-XQ-A8TA-01,0.919141241239045
TCGA-VS-A9UY-01,0.571447445786973
TCGA-FD-A5BR-01,0.514145386152831
TCGA-QU-A6IO-01,0.911109285831528
TCGA-XK-AAIR-01,0.197240924400809
TCGA-55-A491-01,0.703173356660078
TCGA-09-0364-01,0.899975531440862
TCGA-E2-A14N-01,0.905808384904486
TCGA-75-5147-01,0.804678853519731
TCGA-BP-4795-01,0.0656014976443503
TCGA-60-2726-01,0.833233807966465
TCGA-XX-A899-01,0.25460948643264
TCGA-CF-A9FL-01,0.580647099487292
TCGA-DK-A3IT-01,0.605079451289536
TCGA-BH-A0H5-01,0.263076110452481
TCGA-BB-A5HU-01,0.631831575165802
TCGA-68-8250-01,0.628854630187462
TCGA-HC-7821-01,0.309059852849928
TCGA-BP-4961-01,0.0556775526388227
TCGA-YD-A9TA-06,0.830902229979515
TCGA-AJ-A3IA-01,0.88794279684622
TCGA-38-4626-01,0.114488500050797
TCGA-CZ-5451-01,0.0436337105943848
TCGA-3C-AALI-01,0.799967026321593
TCGA-A2-A0SY-01,0.377042685323813
TCGA-NH-A6GA-01,0.721061551534109
TCGA-29-1768-01,0.86503887991305
TCGA-EK-A2RK-01,0.902698918305929
TCGA-2H-A9GQ-01,0.892988060111592
TCGA-5P-A9KE-01,0.586166104334307
TCGA-DJ-A4UL-01,0.553221636664477
TCGA-V1-A8MF-01,0.354150070726092
TCGA-A8-A07Z-01,0.676372264931214
TCGA-S9-A7R3-01,0.407436290815567
TCGA-DI-A1C3-01,0.846492354352851
TCGA-DJ-A3US-01,0.153737982104276
TCGA-BH-A0GY-01,0.713554257917582
TCGA-IN-AB1V-01,0.604992958514817
TCGA-HP-A5N0-01,0.773477814474363
TCGA-AO-A0J5-01,0.408730915077673
TCGA-EM-A3AJ-01,0.129594155562027
TCGA-G3-A25Z-01,0.876002975122227
TCGA-C5-A8XJ-01,0.631722641598628
TCGA-3A-A9I5-01,0.685223215746831
TCGA-BP-5175-01,0.88223322341669
TCGA-TM-A7CA-01,0.495310461730914
TCGA-AP-A5FX-01,0.921671925767194
TCGA-OL-A5RU-01,0.357997731007669
TCGA-4P-AA8J-01,0.665070747087645
TCGA-95-7944-01,0.692790500950849
TCGA-A2-A0T0-01,0.848136058778988
TCGA-20-0987-01,0.922155128490407
TCGA-VR-A8ET-01,0.880851854178919
TCGA-QH-A6CU-01,0.771869361453068
TCGA-A8-A08B-01,0.823938839034946
TCGA-C8-A1HM-01,0.827476617014256
TCGA-EL-A3ZQ-01,0.93686189674213
TCGA-EJ-A46B-01,0.171751289023226
TCGA-FB-AAPP-01,0.499293379802326
TCGA-63-A5MJ-01,0.797506137855197
TCGA-EL-A3T8-01,0.165938692708166
TCGA-13-0724-01,0.879308740796707
TCGA-ED-A7PY-01,0.932562855250495
TCGA-D3-A3C3-06,0.875199838818346
TCGA-YL-A8SH-01,0.314900111224616
TCGA-AN-A0AJ-01,0.817497571043813
TCGA-EI-6508-01,0.649572954403015
TCGA-ET-A3BQ-01,0.139532594122692
TCGA-18-3409-01,0.426351966850423
TCGA-J8-A4HY-01,0.251564138743312
TCGA-P5-A5F1-01,0.577815669338124
TCGA-IN-A7NT-01,0.777221001745652
TCGA-CR-7379-01,0.72568610368098
TCGA-EE-A2MF-06,0.631949362443449
TCGA-DH-A66D-01,0.461815028587014
TCGA-DK-A1AF-01,0.183812199893244
TCGA-61-2101-01,0.759155158387656
TCGA-G3-AAV6-01,0.902597798751954
TCGA-DU-A7TA-01,0.662620207752233
TCGA-E2-A15P-01,0.522117412248909
TCGA-CN-4735-01,0.677926903328173
TCGA-DD-AADJ-01,0.918987151716243
TCGA-C8-A12P-01,0.725441567973849
TCGA-G4-6321-01,0.92079458602139
TCGA-BJ-A3PU-01,0.541503065667055
TCGA-FS-A1ZY-06,0.908362191055525
TCGA-63-A5MM-01,0.485970448892815
TCGA-91-6831-01,0.611930750011413
TCGA-CJ-4920-01,0.0855189647471033
TCGA-AT-A5NU-01,0.7400862179087
TCGA-HU-A4H3-01,0.623391862601346
TCGA-25-2404-01,0.591583831035692
TCGA-29-1774-01,0.893836055426238
TCGA-QK-A64Z-01,0.622525726574737
TCGA-ED-A7XP-01,0.727469661680331
TCGA-49-4512-01,0.63650784837426
TCGA-A8-A06O-01,0.648954997296005
TCGA-AQ-A1H3-01,0.424478120679896
TCGA-61-2111-01,0.676282022152492
TCGA-EL-A3ZM-01,0.673146461577007
TCGA-EE-A2GM-06,0.711899025411064
TCGA-34-5236-01,0.635304279577603
TCGA-66-2800-01,0.693581552550731
TCGA-J8-A3YD-01,0.165248113494289
TCGA-2Y-A9H8-01,0.878796890701587
TCGA-L5-A4OI-01,0.739150176831494
TCGA-63-A5MS-01,0.57411392855281
TCGA-A8-A08S-01,0.658795860310045
TCGA-BQ-7062-01,0.0598970893875392
TCGA-F4-6569-01,0.356234616326243
TCGA-AK-3436-01,0.918449368598583
TCGA-C8-A1HI-01,0.736719012535408
TCGA-IQ-A6SH-01,0.878713594696137
TCGA-94-7557-01,0.749098802555787
TCGA-B6-A0IN-01,0.583410854210915
TCGA-56-7580-01,0.750702625946212
TCGA-F9-A97G-01,0.556649551565638
TCGA-BR-A4PF-01,0.818753410184847
TCGA-C8-A8HR-01,0.352234471936561
TCGA-VS-A9U6-01,0.700083678265134
TCGA-E7-A678-01,0.581198798472607
TCGA-FD-A3B7-01,0.589290451669696
TCGA-EL-A3T6-01,0.134584936820674
TCGA-DU-8165-01,0.695655611025613
TCGA-ZF-A9R7-01,0.860644815575622
TCGA-DV-5565-01,0.371518012907607
TCGA-G3-A5SI-01,0.834999441390027
TCGA-CJ-6031-01,0.0656455398244322
TCGA-92-8064-01,0.597696313290711
TCGA-CN-6019-01,0.0622606840264225
TCGA-44-7671-01,0.330645420312435
TCGA-63-A5MR-01,0.648654804630103
TCGA-CV-A45U-01,0.554065373747537
TCGA-KB-A93G-01,0.815671083877493
TCGA-2Y-A9HA-01,0.776051832896401
TCGA-HT-7471-01,0.582734762375645
TCGA-B7-A5TI-01,0.593764241763956
TCGA-G2-A2EL-01,0.904431485283457
TCGA-W3-AA21-06,0.88934179023097
TCGA-DK-AA6S-01,0.593920726466501
TCGA-DZ-6134-01,0.62587688413492
TCGA-IA-A40Y-01,0.81078010669656
TCGA-44-6145-01,0.403979246663585
TCGA-ES-A2HS-01,0.943141168952052
TCGA-AC-A3YI-01,0.339700572190192
TCGA-B0-5115-01,0.0713733462527386
TCGA-Z5-AAPL-01,0.406421335812446
TCGA-DJ-A2Q1-01,0.376341247539158
TCGA-B2-A4SR-01,0.0467040123046512
TCGA-23-1111-01,0.719896459157095
TCGA-A5-A7WJ-01,0.56007844931045
TCGA-QB-A6FS-06,0.969990191586655
TCGA-A6-6654-01,0.52077564643137
TCGA-EE-A3AE-06,0.670351065974143
TCGA-G9-6353-01,0.251091701744366
TCGA-CN-A499-01,0.679241702443568
TCGA-D7-A6F2-01,0.807511030981876
TCGA-RC-A6M6-01,0.912491564648447
TCGA-78-7158-01,0.489187442606078
TCGA-R3-A69X-01,0.519715711657618
TCGA-G4-6294-01,0.602928691678718
TCGA-2J-AAB9-01,0.199714867490435
TCGA-UZ-A9PQ-01,0.824405655705727
TCGA-DW-5561-01,0.768383226520022
TCGA-BP-4164-01,0.0593488017177504
TCGA-DQ-5630-01,0.612555835246829
TCGA-BQ-5878-01,0.0570023265189434
TCGA-3A-A9IH-01,0.26756455417493
TCGA-B6-A0RL-01,0.754036649971389
TCGA-10-0926-01,0.923035899513156
TCGA-K7-AAU7-01,0.379645713676717
TCGA-BR-6707-01,0.625581653042625
TCGA-BH-A1F8-01,0.924266496924564
TCGA-ED-A8O5-01,0.843080582081076
TCGA-CQ-6221-01,0.854342639840242
TCGA-EI-6507-01,0.447666326038179
TCGA-TM-A84M-01,0.783869763797284
TCGA-24-1422-01,0.632095419361468
TCGA-CG-4462-01,0.0100647848221249
TCGA-BH-A28Q-01,0.480059332022803
TCGA-56-A4BW-01,0.710859739213006
TCGA-HF-A5NB-01,0.62278357751185
TCGA-HU-8244-01,0.603000390724731
TCGA-A4-8630-01,0.0474406261013799
TCGA-BJ-A0Z0-01,0.055948682799728
TCGA-55-A492-01,0.754688252952384
TCGA-CV-A45P-01,0.474561128655945
TCGA-IQ-A61O-01,0.616830197524953
TCGA-04-1357-01,0.594797909781844
TCGA-B9-A5W8-01,0.843568968151023
TCGA-QK-A8Z8-01,0.680024802655312
TCGA-VQ-A91Y-01,0.511212079099275
TCGA-IB-AAUM-01,0.180586786736429
TCGA-61-2110-01,0.821301896776232
TCGA-XF-A9SJ-01,0.84172576232466
TCGA-A8-A08L-01,0.77755598210088
TCGA-YL-A9WY-01,0.346205650815756
TCGA-PZ-A5RE-01,0.447075366402955
TCGA-D6-6517-01,0.685553132898675
TCGA-FS-A1ZJ-06,0.906966680010263
TCGA-85-8052-01,0.663390265012549
TCGA-EJ-A8FU-01,0.173979952789516
TCGA-G3-A3CJ-01,0.922939563386406
TCGA-QH-A6X3-01,0.474712839093641
TCGA-FY-A3R7-01,0.129017072021731
TCGA-GM-A4E0-01,0.120545619325105
TCGA-HC-7747-01,0.239992708518055
TCGA-G9-6338-01,0.616214688118958
TCGA-F5-6702-01,0.375476370666524
TCGA-G3-A7M9-01,0.869430050473516
TCGA-CS-5397-01,0.0513246640284972
TCGA-B5-A1MS-01,0.878190832463079
TCGA-BR-8683-01,0.826468331424726
TCGA-CD-8535-01,0.81325300644071
TCGA-DB-5274-01,0.892679668298671
TCGA-29-2427-01,0.746988395598919
TCGA-BF-AAP0-06,0.709035405274508
TCGA-YL-A8HL-01,0.499095866541811
TCGA-BH-A0B5-01,0.441765818881441
TCGA-UF-A718-01,0.65114464113187
TCGA-AO-A0JA-01,0.586194121210034
TCGA-56-7822-01,0.668637808379951
TCGA-ET-A3DW-01,0.160852419949797
TCGA-CX-A4AQ-01,0.807808095281093
TCGA-ZF-A9R9-01,0.691084898375626
TCGA-A7-A5ZW-01,0.351682770317638
TCGA-WT-AB41-01,0.899846294238927
TCGA-S9-A7J1-01,0.722328142768746
TCGA-AG-3592-01,0.712824814712683
TCGA-HW-7489-01,0.602265838088803
TCGA-10-0933-01,0.92185946295779
TCGA-E7-A6ME-01,0.721391865922161
TCGA-ZG-A8QW-01,0.340443229692482
TCGA-MP-A4TH-01,0.265209577041915
TCGA-D8-A1JA-01,0.932033842952071
TCGA-E2-A1B0-01,0.676441265193562
TCGA-CS-6188-01,0.438674058096543
TCGA-CV-A6K0-01,0.309633309008371
TCGA-Y8-A895-01,0.733436325278402
TCGA-E2-A1IK-01,0.300527308049932
TCGA-AC-A23C-01,0.655894865450694
TCGA-HT-7607-01,0.775846797694015
TCGA-CV-6953-01,0.654994797330901
TCGA-L4-A4E6-01,0.0596823642863479
TCGA-CH-5739-01,0.0977431555542279
