,EPIC
TCGA-61-1907-01,0.925785975605179
TCGA-BJ-A2P4-01,0.738745346606401
TCGA-CC-A9FU-01,0.839907640673688
TCGA-B5-A5OE-01,0.907095344987271
TCGA-ZF-A9RL-01,0.817642589621365
TCGA-2F-A9KP-01,0.806532278466186
TCGA-T3-A92M-01,0.66693667896805
TCGA-P5-A5EV-01,0.880916333370532
TCGA-KK-A8IG-01,0.871461060673276
TCGA-MI-A75H-01,0.41594556613447
TCGA-CS-5394-01,0.856422864124568
TCGA-AZ-5407-01,0.939295465887593
TCGA-99-7458-01,0.755810505775098
TCGA-B4-5844-01,0.41985109790425
TCGA-97-7547-01,0.812932913064616
TCGA-A3-A8OX-01,0.674866787951391
TCGA-B6-A0WT-01,0.56959872926795
TCGA-A8-A07L-01,0.79166204703349
TCGA-97-7552-01,0.695767397146583
TCGA-F7-A61S-01,0.836981168887449
TCGA-CU-A3YL-01,0.838611854862874
TCGA-D8-A1Y3-01,0.914940957023643
TCGA-DE-A4M8-01,0.644828387026756
TCGA-A7-A4SD-01,0.697840669454786
TCGA-AQ-A7U7-01,0.347212304805486
TCGA-43-A474-01,0.777078928770986
TCGA-A2-A4S0-01,0.825267994535926
TCGA-4A-A93Y-01,0.582999850135668
TCGA-DD-A39Z-01,0.0001552853373559
TCGA-VQ-A8DU-01,0.852507660194755
TCGA-DD-AADW-01,0.855312641915901
TCGA-AC-A62V-01,0.846444501388377
TCGA-VS-A9U7-01,0.847543137670251
TCGA-XQ-A8TA-01,0.93569769201282
TCGA-VS-A9UY-01,0.837500552571345
TCGA-FD-A5BR-01,0.801142632216342
TCGA-QU-A6IO-01,0.931201175599944
TCGA-XK-AAIR-01,0.888127544629303
TCGA-55-A491-01,0.789502996998991
TCGA-09-0364-01,0.930340839432696
TCGA-E2-A14N-01,0.916298610446136
TCGA-75-5147-01,0.889523191258636
TCGA-BP-4795-01,0.587947139376045
TCGA-60-2726-01,0.851521562194334
TCGA-XX-A899-01,0.553358185065833
TCGA-CF-A9FL-01,0.825999294714426
TCGA-DK-A3IT-01,0.738906322132623
TCGA-BH-A0H5-01,0.581338638647014
TCGA-BB-A5HU-01,0.608698415164289
TCGA-68-8250-01,0.773525340162183
TCGA-HC-7821-01,0.770136946735553
TCGA-BP-4961-01,0.522068509386871
TCGA-YD-A9TA-06,0.817518004723097
TCGA-AJ-A3IA-01,0.842707303033399
TCGA-38-4626-01,0.620261290821812
TCGA-CZ-5451-01,0.600761627991122
TCGA-3C-AALI-01,0.739311723927232
TCGA-A2-A0SY-01,0.738016429326028
TCGA-NH-A6GA-01,0.907888732817559
TCGA-29-1768-01,0.804439200218973
TCGA-EK-A2RK-01,0.886155785168297
TCGA-2H-A9GQ-01,0.818228319931019
TCGA-5P-A9KE-01,0.923202890191795
TCGA-DJ-A4UL-01,0.836340263428909
TCGA-V1-A8MF-01,0.867211413252452
TCGA-A8-A07Z-01,0.793202185401659
TCGA-S9-A7R3-01,0.883957994135312
TCGA-DI-A1C3-01,0.82646704605026
TCGA-DJ-A3US-01,0.781319025435246
