,purity
TCGA-4E-A92E-01,0.6495478370242671
TCGA-5B-A90C-01,0.7367839004304608
TCGA-5S-A9Q8-01,0.797157867880729
TCGA-A5-A1OH-01,0.670375104597952
TCGA-A5-A2K2-01,0.635
TCGA-A5-A2K3-01,0.27204005
TCGA-A5-A2K4-01,0.44
TCGA-A5-A2K5-01,0.545
TCGA-A5-A2K7-01,0.645
TCGA-A5-A3LO-01,0.48
TCGA-A5-A3LP-01,0.555
TCGA-A5-A7WJ-01,0.7045201369038171
TCGA-A5-A7WK-01,0.87117465
TCGA-A5-AB3J-01,0.334390965667286
TCGA-AJ-A23N-01,0.5
TCGA-AJ-A2QM-01,0.665
TCGA-AJ-A2QO-01,0.57
TCGA-AJ-A3BD-01,0.605592315565918
TCGA-AJ-A3BF-01,0.785
TCGA-AJ-A3BG-01,0.812858092062846
TCGA-AJ-A3BH-01,0.5345647
TCGA-AJ-A3BI-01,0.71
TCGA-AJ-A3BK-01,0.652420929179898
TCGA-AJ-A3EJ-01,0.5474580695476929
TCGA-AJ-A3EK-01,0.46353469999999997
TCGA-AJ-A3EL-01,0.6734291
TCGA-AJ-A3EM-01,0.69
TCGA-AJ-A3I9-01,0.84912925
TCGA-AJ-A3IA-01,0.52235375
TCGA-AJ-A3NC-01,0.6615817086429979
TCGA-AJ-A3NE-01,0.63394725
TCGA-AJ-A3NF-01,0.29760745
TCGA-AJ-A3NG-01,0.77147115
TCGA-AJ-A3NH-01,0.705
TCGA-AJ-A3OJ-01,0.625
TCGA-AJ-A3OK-01,0.4798298
TCGA-AJ-A3OL-01,0.844350460172004
TCGA-AJ-A3QS-01,0.445
TCGA-AJ-A3TW-01,0.63
TCGA-AJ-A5DV-01,0.485
TCGA-AJ-A5DW-01,0.655
TCGA-AJ-A6NU-01,0.426427287043327
TCGA-AJ-A8CT-01,0.463873022060661
TCGA-AJ-A8CV-01,0.4876410764819071
TCGA-AJ-A8CW-01,0.615339388628884
TCGA-AP-A3K1-01,0.6763608
TCGA-AP-A5FX-01,0.6290283
TCGA-AX-A05W-01,0.619599268732459
TCGA-AX-A1C7-01,0.88886165
TCGA-AX-A2H4-01,0.5162577
TCGA-AX-A2HH-01,0.925
TCGA-AX-A2IN-01,0.59169075
TCGA-AX-A3FS-01,0.7945858
TCGA-AX-A3FT-01,0.56372555
TCGA-AX-A3FV-01,0.8435540000000001
TCGA-AX-A3FW-01,0.8642685999999999
TCGA-AX-A3FX-01,0.635
TCGA-AX-A3FZ-01,0.864769582939209
TCGA-AX-A3G1-01,0.64
TCGA-AX-A3G3-01,0.669474845890007
TCGA-AX-A3G4-01,0.6
TCGA-AX-A3G6-01,0.735
TCGA-AX-A3G7-01,0.72776835
TCGA-AX-A3G8-01,0.8743082
TCGA-AX-A3G9-01,0.791844
TCGA-AX-A3GB-01,0.465
TCGA-AX-A3GI-01,0.896397722675097
TCGA-B5-A0JN-01,0.735
TCGA-B5-A0JR-01,0.647698884416632
TCGA-B5-A0K9-01,0.56297455
TCGA-B5-A11R-01,0.64164285
TCGA-B5-A1MS-01,0.785
TCGA-B5-A1MW-01,0.7041831241591581
TCGA-B5-A3F9-01,0.26
TCGA-B5-A3FA-01,0.7174678141210641
TCGA-B5-A3FB-01,0.624789884579215
TCGA-B5-A3FC-01,0.715362702627365
TCGA-B5-A3FD-01,0.75750485
TCGA-B5-A3FH-01,0.73450685
TCGA-B5-A3S1-01,0.715
TCGA-B5-A5OC-01,0.42971589298272295
TCGA-B5-A5OD-01,0.695
TCGA-B5-A5OE-01,0.8664299999999999
TCGA-BG-A0MK-01,0.6614768
TCGA-BG-A3EW-01,0.72356395
TCGA-BG-A3PP-01,0.5802096
TCGA-BK-A0CA-01,0.44
TCGA-BK-A0CC-01,0.7072946376164619
TCGA-BK-A139-01,0.465
TCGA-BK-A13B-01,0.747616758151957
TCGA-BK-A26L-01,0.562315479893605
TCGA-BK-A4ZD-01,0.675
TCGA-BK-A56F-01,0.77932645
TCGA-BK-A6W3-01,0.6698885764368521
TCGA-BK-A6W4-01,0.303198068804781
TCGA-BS-A0V4-01,0.74575455
TCGA-BS-A0V7-01,0.32
TCGA-D1-A2G0-01,0.69299965
TCGA-D1-A3DA-01,0.79426355
TCGA-D1-A3DG-01,0.8994673000000001
TCGA-D1-A3DH-01,0.859533834143641
TCGA-D1-A3JP-01,0.44
TCGA-D1-A3JQ-01,0.555
TCGA-DF-A2KN-01,0.45425442511102704
TCGA-DF-A2KR-01,0.78112351130345
TCGA-DF-A2KU-01,0.70891955
TCGA-DF-A2KV-01,0.40203995
TCGA-DF-A2KY-01,0.6850997
TCGA-DF-A2KZ-01,0.51668825
TCGA-DF-A2L0-01,0.62515268206068
TCGA-DI-A1BU-01,0.51
TCGA-DI-A1C3-01,0.325
TCGA-DI-A2QT-01,0.81939814865952
TCGA-DI-A2QY-01,0.64
TCGA-E6-A2P8-01,0.429663
TCGA-E6-A2P9-01,0.7879626000000001
TCGA-E6-A8L9-01,0.6670159999999999
TCGA-EO-A1Y7-01,0.84690045
TCGA-EO-A22U-01,0.422475056172156
TCGA-EO-A22X-01,0.7251741
TCGA-EO-A22Y-01,0.690258198461875
TCGA-EO-A3AS-01,0.745
TCGA-EO-A3AU-01,0.555
TCGA-EO-A3AV-01,0.40596859999999996
TCGA-EO-A3AY-01,0.7030886
TCGA-EO-A3AZ-01,0.3743689
TCGA-EO-A3B0-01,0.625637189955882
TCGA-EO-A3B1-01,0.485
TCGA-EO-A3KU-01,0.71
TCGA-EO-A3KW-01,0.67
TCGA-EO-A3KX-01,0.6026671020786
TCGA-EO-A3L0-01,0.5101043
TCGA-EY-A1GL-01,0.765
TCGA-EY-A1GO-01,0.785
TCGA-EY-A1GP-01,0.80581595
TCGA-EY-A1GX-01,0.929301452209383
TCGA-EY-A210-01,0.83416135
TCGA-EY-A2ON-01,0.63123325
TCGA-EY-A2OO-01,0.63146935
TCGA-EY-A2OP-01,0.7169770999999999
