AbsCN.seq	ASCAT	PurBayes	ABSOLUTE	mean	median
TCGA-02-0047-01	0.37	0.68	0.6223894	0.69	0.59059735	0.6511947
TCGA-02-0055-01	0.42	0.49	0.6425278	0.55	0.52563195	0.52
TCGA-02-2483-01	0.55	0.57	0.7322786	0.73	0.64556965	0.65
TCGA-02-2485-01	0.73	0.79	0.8297956	0.87	0.8049489	0.8098978
TCGA-04-1331-01	0.67	0.75	0.87259	0.88	0.7931475	0.811295
TCGA-04-1332-01	0.42	0.44	0.2113354	0.441956160796804	0.378322890199201	0.43
TCGA-04-1341-01	0.72	0.67	0.760995641946954	0.82	0.742748910486739	0.740497820973477
TCGA-04-1343-01	0.47	0.58	0.5415388	0.61	0.5503847	0.5607694
TCGA-04-1347-01	0.72	0.69	0.5288537	0.94	0.719713425	0.705
TCGA-04-1348-01	0.63	0.73	0.6704081	0.76	0.697602025	0.70020405
TCGA-04-1356-01	0.598045260539589	0.67	0.687956964822674	0.71	0.666500556340566	0.678978482411337
TCGA-04-1357-01	0.55	0.51	0.548554235582015	0.52	0.532138558895504	0.534277117791008
TCGA-04-1361-01	0.587759250330679	0.66	0.674389195182502	0.69	0.653037111378295	0.667194597591251
TCGA-04-1362-01	0.83	0.8	0.860210035917481	0.86	0.83755250897937	0.845
TCGA-04-1542-01	0.82	0.8	0.6926953	0.94	0.813173825	0.81
TCGA-04-1648-01	0.54	0.78	0.8315559	0.8	0.737888975	0.79
TCGA-04-1651-01	0.81	0.87	0.8709193	0.92	0.867729825	0.87045965
TCGA-04-1655-01	0.7	0.77	0.1197031	0.94	0.632425775	0.735
TCGA-05-4244-01	0.4	0.45	0.5022582	0.44	0.44806455	0.445
TCGA-05-4250-01	0.47	0.44	0.8229918	0.5	0.55824795	0.485
TCGA-05-4382-01	0.3	0.390867984650782	0.6397457	0.21	0.385153421162696	0.345433992325391
TCGA-05-4384-01	0.29	0.47	0.4491016	0.49	0.4247754	0.4595508
TCGA-05-4389-01	0.43	0.42	0.7087634	0.48	0.50969085	0.455
TCGA-05-4390-01	0.62	0.54	0.598337181078119	0.57	0.58208429526953	0.58416859053906
TCGA-05-4395-01	0.6	0.6	0.628808678669254	0.61	0.609702169667313	0.605
TCGA-05-4396-01	0.74	0.67	0.75325	0.82	0.7458125	0.746625
TCGA-05-4397-01	0.75	0.66	0.8012799	0.87	0.770319975	0.77563995
TCGA-05-4398-01	0.59	0.31	0.420672699981526	0.33	0.412668174995382	0.375336349990763
TCGA-05-4402-01	0.42	0.4	0.4807313	0.44	0.435182825	0.43
TCGA-05-4403-01	0.41	0.46	0.439262	0.46	0.4423155	0.449631
TCGA-05-4405-01	0.45	0.29	0.5245973	0.38	0.411149325	0.415
TCGA-05-4410-01	0.35	0.21	0.3540018	0.24	0.28850045	0.295
TCGA-05-4415-01	0.63	0.59	0.7077653	0.67	0.649441325	0.65
TCGA-05-4417-01	0.41	0.36	0.4022885	0.4	0.393072125	0.40114425
TCGA-05-4418-01	0.28	0.47	0.9381075	0.55	0.559526875	0.51
TCGA-05-4420-01	0.52	0.54	0.573381684958883	0.59	0.555845421239721	0.556690842479441
TCGA-05-4422-01	0.6	0.61	0.635987181020025	0.62	0.616496795255006	0.615
TCGA-05-4424-01	0.29	0.319661802229746	0.2966825	0.24	0.286586075557437	0.29334125
TCGA-05-4425-01	0.44	0.61	0.4996334	0.61	0.53990835	0.5548167
TCGA-05-4426-01	0.64	0.65	0.6105465	0.7	0.650136625	0.645
TCGA-05-4427-01	0.45	0.42	0.9733022	0.47	0.57832555	0.46
TCGA-05-4430-01	0.37	0.29	0.2316549	0.2	0.272913725	0.26082745
TCGA-05-4432-01	0.41	0.43	0.6467846	0.36	0.46169615	0.42
TCGA-05-4433-01	0.72	0.53	0.4918956	0.62	0.5904739	0.575
TCGA-05-4434-01	0.42	0.29	0.2264398	0.45	0.34660995	0.355
TCGA-05-5420-01	0.23	0.27	0.1721653	0.304822534332271	0.244246958583068	0.25
TCGA-05-5423-01	0.58	0.58	0.608192505195592	0.59	0.589548126298898	0.585
TCGA-05-5425-01	0.35	0.55	0.3619449	0.71	0.492986225	0.45597245
TCGA-05-5428-01	0.95	0.55	0.5543896	0.63	0.6710974	0.5921948
TCGA-05-5429-01	0.34	0.59	0.328589	0.82	0.51964725	0.465
TCGA-05-5715-01	0.7	0.72	0.611064	0.73	0.690266	0.71
TCGA-06-0125-01	0.73	0.7	0.8076988	0.9	0.7844247	0.7688494
TCGA-06-0129-01	0.73	0.67	0.904195	0.76	0.76604875	0.745
TCGA-06-0130-01	0.31	0.3	0.3718268	0.27	0.3129567	0.305
TCGA-06-0132-01	0.37	0.31	0.181025	0.28	0.28525625	0.295
TCGA-06-0139-01	0.508271890774099	0.530192635147036	0.569541332710518	0.601926313025793	0.552483042914361	0.549866983928777
TCGA-06-0141-01	0.2	0.45	0.1269811	0.2	0.244245275	0.2
TCGA-06-0157-01	0.71	0.75	0.7865841	0.82	0.766646025	0.76829205
TCGA-06-0158-01	0.49	0.72	0.768657	0.79	0.69216425	0.7443285
TCGA-06-0168-01	0.5	0.61	0.6231664	0.67	0.6007916	0.6165832
TCGA-06-0174-01	0.78	0.88	0.905160306664029	0.95	0.878790076666007	0.892580153332015
TCGA-06-0178-01	0.46	0.3	0.7842548	0.553436869809172	0.524422917452293	0.506718434904586
TCGA-06-0184-01	0.77	0.53	0.5151123	0.62	0.608778075	0.575
TCGA-06-0187-01	0.66	0.82	0.7821463	0.84	0.775536575	0.80107315
TCGA-06-0190-01	0.34	0.36	0.533351	0.57	0.45083775	0.4466755
TCGA-06-0210-01	0.54	0.3	0.409379	0.45	0.42484475	0.4296895
TCGA-06-0211-01	0.56	0.8	0.8199684	0.86	0.7599921	0.8099842
TCGA-06-0219-01	0.41	0.62	0.6047557	0.64	0.568688925	0.61237785
TCGA-06-0238-01	0.3	0.59	0.7693701	0.78	0.609842525	0.67968505
TCGA-06-0644-01	0.47	0.46	0.487625048739678	0.47	0.471906262184919	0.47
TCGA-06-0645-01	0.55	0.62	0.6352031	0.65	0.613800775	0.62760155
TCGA-06-0646-01	0.63	0.75	0.7786722	0.84	0.74966805	0.7643361
TCGA-06-0649-01	0.38	0.59	0.6160118	0.62	0.55150295	0.6030059
TCGA-06-0686-01	0.53	0.62	0.691002417823425	0.85	0.672750604455856	0.655501208911712
TCGA-06-0743-01	0.6	0.78	0.7679122	0.85	0.74947805	0.7739561
TCGA-06-0744-01	0.81	0.82	0.8441659	0.89	0.841041475	0.83208295
TCGA-06-0745-01	0.9	0.75	0.846224614866051	0.81	0.826556153716513	0.828112307433025
TCGA-06-0747-01	0.75	0.85	0.8754068	0.92	0.8488517	0.8627034
TCGA-06-0749-01	0.72	0.57	0.638487836508299	0.56	0.622121959127075	0.60424391825415
TCGA-06-0750-01	0.31	0.68	0.6220745	0.71	0.580518625	0.65103725
TCGA-06-0878-01	0.55	0.71	0.704804978080167	0.76	0.681201244520042	0.707402489040084
TCGA-06-0882-01	0.38	0.52	0.4957074	0.52	0.47892685	0.5078537
