	purity
TCGA-A6-2671-01	0.73
TCGA-A6-2672-01	0.59
TCGA-A6-2676-01	0.69
TCGA-A6-2678-01	0.82
TCGA-A6-2679-01	0.48
TCGA-A6-2680-01	0.58
TCGA-A6-2681-01	0.72
TCGA-A6-2683-01	0.85
TCGA-A6-3807-01	0.52
TCGA-A6-4107-01	0.43
TCGA-A6-6140-01	0.81
TCGA-AA-3488-01	0.82
TCGA-AA-3494-01	0.74
TCGA-AA-3495-01	0.57
TCGA-AA-3510-01	0.58
TCGA-AA-3514-01	0.79
TCGA-AA-3516-01	0.39
TCGA-AA-3517-01	0.79
TCGA-AA-3518-01	0.4
TCGA-AA-3519-01	0.67
TCGA-AA-3520-01	0.69
TCGA-AA-3521-01	0.7
TCGA-AA-3522-01	0.44
TCGA-AA-3524-01	0.8
TCGA-AA-3525-01	0.64
TCGA-AA-3527-01	0.77
TCGA-AA-3529-01	0.6
TCGA-AA-3530-01	0.79
TCGA-AA-3531-01	0.93
TCGA-AA-3532-01	0.38
TCGA-AA-3534-01	0.78
TCGA-AA-3538-01	0.72
TCGA-AA-3542-01	0.87
TCGA-AA-3543-01	0.7
TCGA-AA-3544-01	0.73
TCGA-AA-3548-01	0.62
TCGA-AA-3549-01	0.75
TCGA-AA-3552-01	0.52
TCGA-AA-3553-01	0.58
TCGA-AA-3554-01	0.39
TCGA-AA-3555-01	0.74
TCGA-AA-3556-01	0.78
TCGA-AA-3560-01	0.84
TCGA-AA-3561-01	0.82
TCGA-AA-3562-01	0.58
TCGA-AA-3664-01	0.87
TCGA-AA-3666-01	0.82
TCGA-AA-3667-01	0.84
TCGA-AA-3672-01	0.69
TCGA-AA-3673-01	0.75
TCGA-AA-3678-01	0.65
TCGA-AA-3679-01	0.78
TCGA-AA-3680-01	0.63
TCGA-AA-3681-01	0.57
TCGA-AA-3684-01	0.3
TCGA-AA-3688-01	0.73
TCGA-AA-3692-01	0.82
TCGA-AA-3693-01	0.9
TCGA-AA-3696-01	0.83
TCGA-AA-3710-01	0.43
TCGA-AA-3715-01	0.48
TCGA-AA-3812-01	0.42
TCGA-AA-3814-01	0.6
TCGA-AA-3818-01	0.81
TCGA-AA-3819-01	0.73
TCGA-AA-3821-01	0.73
TCGA-AA-3831-01	0.61
TCGA-AA-3833-01	0.4
TCGA-AA-3837-01	0.53
TCGA-AA-3841-01	0.65
TCGA-AA-3842-01	0.74
TCGA-AA-3844-01	0.83
TCGA-AA-3845-01	0.59
TCGA-AA-3846-01	0.6
TCGA-AA-3848-01	0.86
TCGA-AA-3850-01	0.23
TCGA-AA-3851-01	0.59
TCGA-AA-3852-01	0.65
TCGA-AA-3854-01	0.88
TCGA-AA-3855-01	0.63
TCGA-AA-3856-01	0.55
TCGA-AA-3858-01	0.6
TCGA-AA-3860-01	0.79
TCGA-AA-3864-01	0.75
TCGA-AA-3866-01	0.5
TCGA-AA-3867-01	0.59
TCGA-AA-3869-01	0.7
TCGA-AA-3870-01	0.61
TCGA-AA-3872-01	0.59
TCGA-AA-3875-01	0.35
TCGA-AA-3877-01	0.55
TCGA-AA-3930-01	0.68
TCGA-AA-3941-01	0.82
TCGA-AA-3947-01	0.78
TCGA-AA-3949-01	0.29
TCGA-AA-3950-01	0.39
TCGA-AA-3952-01	0.74
TCGA-AA-3955-01	0.76
TCGA-AA-3956-01	0.35
TCGA-AA-3966-01	0.51
TCGA-AA-3968-01	0.71
TCGA-AA-3971-01	0.54
TCGA-AA-3972-01	0.77
TCGA-AA-3973-01	0.92
TCGA-AA-3975-01	0.79
TCGA-AA-3976-01	0.68
TCGA-AA-3977-01	0.73
TCGA-AA-3979-01	0.92
TCGA-AA-3982-01	0.54
TCGA-AA-3984-01	0.62
TCGA-AA-3986-01	0.58
TCGA-AA-3989-01	0.55
TCGA-AA-3994-01	0.76
TCGA-AA-A004-01	0.55
TCGA-AA-A00A-01	1.0
TCGA-AA-A00D-01	0.52
TCGA-AA-A00E-01	0.54
TCGA-AA-A00F-01	0.45
TCGA-AA-A00J-01	0.82
TCGA-AA-A00K-01	0.67
TCGA-AA-A00L-01	0.79
TCGA-AA-A00N-01	0.43
TCGA-AA-A00O-01	0.61
TCGA-AA-A00Q-01	0.57
TCGA-AA-A00R-01	0.51
TCGA-AA-A00U-01	0.76
TCGA-AA-A00W-01	0.83
TCGA-AA-A00Z-01	0.63
TCGA-AA-A010-01	0.77
TCGA-AA-A017-01	0.58
TCGA-AA-A01C-01	0.6
TCGA-AA-A01D-01	0.4
TCGA-AA-A01F-01	0.89
TCGA-AA-A01G-01	0.52
TCGA-AA-A01I-01	0.72
TCGA-AA-A01K-01	0.54
TCGA-AA-A01Q-01	0.86
TCGA-AA-A01R-01	0.63
TCGA-AA-A01S-01	0.9
TCGA-AA-A01T-01	0.71
TCGA-AA-A01V-01	0.8
TCGA-AA-A022-01	0.71
TCGA-AA-A024-01	0.73
TCGA-AA-A029-01	0.88
TCGA-AA-A02E-01	0.68
TCGA-AA-A02F-01	0.94
TCGA-AA-A02H-01	0.73
TCGA-AA-A02J-01	0.76
TCGA-AA-A02O-01	0.8
TCGA-AA-A02R-01	0.66
TCGA-AA-A02W-01	0.72
TCGA-AA-A03F-01	0.78
TCGA-AA-A03J-01	0.45
TCGA-AF-2691-01	0.43
TCGA-AF-2692-01	0.74
TCGA-AF-3400-01	0.23
TCGA-AF-3913-01	0.76
TCGA-AG-3574-01	0.86
