"","ESTIMATE"
"TCGA-A6-2671-01","0.785394151777862"
"TCGA-A6-2672-01","0.660271031909061"
"TCGA-A6-2676-01","0.718661919143714"
"TCGA-A6-2678-01","0.829219004875999"
"TCGA-A6-2679-01","0.78270025161016"
"TCGA-A6-2680-01","0.839876803345016"
"TCGA-A6-2681-01","0.758603419217939"
"TCGA-A6-2683-01","0.911960844018606"
"TCGA-A6-3807-01","0.789759222460759"
"TCGA-A6-4107-01","0.784684417000359"
"TCGA-A6-6140-01","0.914374641114148"
"TCGA-AA-3488-01","0.901597175392766"
"TCGA-AA-3494-01","0.886044365705137"
"TCGA-AA-3495-01","0.850245621012749"
"TCGA-AA-3510-01","0.804563893272278"
"TCGA-AA-3514-01","0.792674547636152"
"TCGA-AA-3516-01","0.826645504203662"
"TCGA-AA-3517-01","0.847537485650818"
"TCGA-AA-3518-01","0.824473220532923"
"TCGA-AA-3519-01","0.864060722428624"
"TCGA-AA-3520-01","0.787462942586232"
"TCGA-AA-3521-01","0.865113958188983"
"TCGA-AA-3522-01","0.888100111315821"
"TCGA-AA-3524-01","0.866546988425488"
"TCGA-AA-3525-01","0.873084086550633"
"TCGA-AA-3527-01","0.76679430940884"
"TCGA-AA-3529-01","0.898610970855433"
"TCGA-AA-3530-01","0.890483199316528"
"TCGA-AA-3531-01","0.920074958074336"
"TCGA-AA-3532-01","0.726380266560163"
"TCGA-AA-3534-01","0.879329245746533"
"TCGA-AA-3538-01","0.842390620129419"
"TCGA-AA-3542-01","0.886335797446915"
"TCGA-AA-3543-01","0.733265850150178"
"TCGA-AA-3544-01","0.683200902208282"
"TCGA-AA-3548-01","0.819680835022814"
"TCGA-AA-3549-01","0.848144480385341"
"TCGA-AA-3552-01","0.79456988811077"
"TCGA-AA-3553-01","0.784298090494858"
"TCGA-AA-3554-01","0.667610675690586"
"TCGA-AA-3555-01","0.830610025071857"
"TCGA-AA-3556-01","0.861124155454924"
"TCGA-AA-3560-01","0.81607259832644"
"TCGA-AA-3561-01","0.885276879201892"
"TCGA-AA-3562-01","0.829636920543175"
"TCGA-AA-3664-01","0.910101800935487"
"TCGA-AA-3666-01","0.839972172525131"
"TCGA-AA-3667-01","0.844709122172462"
"TCGA-AA-3672-01","0.734801032621753"
"TCGA-AA-3673-01","0.86234015326801"
"TCGA-AA-3678-01","0.84725492770857"
"TCGA-AA-3679-01","0.861288470489591"
"TCGA-AA-3680-01","0.869821505144674"
"TCGA-AA-3681-01","0.829890192045497"
"TCGA-AA-3684-01","0.675273666532597"
"TCGA-AA-3688-01","0.874099218192045"
"TCGA-AA-3692-01","0.791760554008276"
"TCGA-AA-3693-01","0.904060194875739"
"TCGA-AA-3696-01","0.909936641063118"
"TCGA-AA-3710-01","0.658148633698993"
"TCGA-AA-3715-01","0.619377105096546"
"TCGA-AA-3812-01","0.754020290797841"
"TCGA-AA-3814-01","0.717928903043684"
"TCGA-AA-3818-01","0.892740877936764"
"TCGA-AA-3819-01","0.893860990461679"
"TCGA-AA-3821-01","0.81953776764715"
"TCGA-AA-3831-01","0.825705597558326"
"TCGA-AA-3833-01","0.75866295284825"
"TCGA-AA-3837-01","0.856837204017789"
"TCGA-AA-3841-01","0.795210061426085"
"TCGA-AA-3842-01","0.805105104961072"
"TCGA-AA-3844-01","0.871042847636428"
"TCGA-AA-3845-01","0.801295522957582"
"TCGA-AA-3846-01","0.840996313828574"
"TCGA-AA-3848-01","0.883216417008466"
"TCGA-AA-3850-01","0.765966801932785"
"TCGA-AA-3851-01","0.814742561448198"
"TCGA-AA-3852-01","0.777137702551074"
"TCGA-AA-3854-01","0.900890950814326"
"TCGA-AA-3855-01","0.841465786464165"
"TCGA-AA-3856-01","0.794728511310218"
"TCGA-AA-3858-01","0.837258563229953"
"TCGA-AA-3860-01","0.757817877009787"
"TCGA-AA-3864-01","0.847460696289432"
"TCGA-AA-3866-01","0.654264699366541"
"TCGA-AA-3867-01","0.790556764687066"
"TCGA-AA-3869-01","0.774837879760965"
"TCGA-AA-3870-01","0.717415913534137"
"TCGA-AA-3872-01","0.699950905216324"
"TCGA-AA-3875-01","0.797029897918328"
"TCGA-AA-3877-01","0.724231762399138"
"TCGA-AA-3930-01","0.792217596859215"
"TCGA-AA-3941-01","0.918016045394482"
"TCGA-AA-3947-01","0.755880841628218"
"TCGA-AA-3949-01","0.604397169074784"
"TCGA-AA-3950-01","0.61866243764716"
"TCGA-AA-3952-01","0.812830201853539"
"TCGA-AA-3955-01","0.904043703511428"
"TCGA-AA-3956-01","0.832338240929029"
"TCGA-AA-3966-01","0.621327466614495"
"TCGA-AA-3968-01","0.798384566587557"
"TCGA-AA-3971-01","0.805784565228778"
