	purity
TCGA-WB-A81T-01	0.69
TCGA-WB-A81G-01	0.66
TCGA-WB-A815-01	0.73
TCGA-RW-A688-01	0.9
TCGA-SP-A6QF-01	0.69
TCGA-RW-A684-01	0.78
TCGA-WB-A818-01	0.75
TCGA-RW-A67X-01	0.32
TCGA-S7-A7WU-01	0.87
TCGA-WB-A81I-01	0.89
TCGA-W2-A7HC-01	0.69
TCGA-P8-A6RX-01	0.72
TCGA-TT-A6YN-01	0.86
TCGA-QR-A6GX-01	0.67
TCGA-PR-A5PG-01	0.84
TCGA-RW-A67Y-01	0.95
TCGA-W2-A7HE-01	0.5
TCGA-WB-A80N-01	0.76
TCGA-SR-A6MX-05	0.61
TCGA-WB-A816-01	0.59
TCGA-W2-A7H5-01	0.78
TCGA-S7-A7WP-01	0.6
TCGA-S7-A7WM-01	0.65
TCGA-TT-A6YJ-01	0.92
TCGA-SR-A6MU-01	0.79
TCGA-P8-A5KD-01	0.78
TCGA-S7-A7WN-01	0.73
TCGA-S7-A7X2-01	0.75
TCGA-QR-A6GS-01	0.78
TCGA-SR-A6MX-06	0.65
TCGA-XG-A823-01	0.56
TCGA-WB-A80P-01	0.77
TCGA-TT-A6YK-01	0.55
TCGA-RW-A685-01	0.67
TCGA-RW-A681-01	0.98
TCGA-WB-A81S-01	0.69
TCGA-QR-A6H5-01	0.53
TCGA-QT-A5XK-01	0.71
TCGA-QR-A70K-01	0.93
TCGA-QT-A5XM-01	0.56
TCGA-RW-A68C-01	0.54
TCGA-SR-A6MZ-01	0.56
TCGA-PR-A5PH-01	0.72
TCGA-WB-A81D-01	0.76
TCGA-QR-A7IP-01	0.7
TCGA-WB-A81K-01	0.74
TCGA-QR-A6H2-01	0.82
TCGA-PR-A5PF-01	0.87
TCGA-WB-A817-01	0.52
TCGA-SR-A6MQ-01	0.79
TCGA-WB-A81R-01	0.86
TCGA-SR-A6MS-01	0.82
TCGA-QR-A70P-01	0.81
TCGA-WB-A81Q-01	0.88
TCGA-W2-A7H7-01	0.71
TCGA-RW-A7D0-01	0.65
TCGA-QR-A6GT-01	0.59
TCGA-W2-A7HA-01	0.76
TCGA-W2-A7HH-01	0.67
TCGA-QR-A702-01	0.91
TCGA-RW-A67V-01	0.94
TCGA-RX-A8JQ-01	0.75
TCGA-QT-A5XP-01	0.63
TCGA-RT-A6YA-01	0.79
TCGA-QR-A6GO-01	0.77
TCGA-WB-A81F-01	0.77
TCGA-QR-A6GY-01	0.83
TCGA-QR-A700-01	0.74
TCGA-S7-A7WO-01	0.5
TCGA-WB-A81W-01	0.8
TCGA-SP-A6QC-01	0.67
TCGA-W2-A7UY-01	0.84
TCGA-QR-A706-01	0.45
TCGA-QR-A70H-01	0.84
TCGA-RW-A68F-01	0.93
TCGA-QR-A70G-01	0.52
TCGA-QR-A6H3-01	0.51
TCGA-RM-A68W-01	0.61
TCGA-RW-A680-01	0.71
TCGA-WB-A81H-01	0.46
TCGA-QT-A7U0-01	0.7
TCGA-SP-A6QK-01	0.48
TCGA-WB-A80K-01	0.66
TCGA-S7-A7WR-01	0.82
TCGA-WB-A821-01	0.55
TCGA-WB-A822-01	0.57
TCGA-WB-A81A-01	0.89
TCGA-S7-A7WT-01	0.65
TCGA-QT-A5XN-01	0.92
TCGA-RM-A68T-01	0.64
TCGA-WB-A81M-01	0.96
TCGA-QR-A70W-01	0.91
TCGA-QR-A6GR-01	0.7
TCGA-SR-A6MX-01	0.8
TCGA-QR-A70X-01	0.57
TCGA-WB-A81V-01	0.73
TCGA-QT-A69Q-01	0.76
TCGA-S7-A7WV-01	0.23
TCGA-SQ-A6I4-01	0.56
TCGA-WB-A81E-01	0.79
TCGA-WB-A80V-01	0.9
TCGA-W2-A7HB-01	0.34
TCGA-SR-A6MV-01	0.65
TCGA-QR-A70I-01	0.6
TCGA-QR-A7IN-01	0.7
TCGA-SR-A6N0-01	0.51
TCGA-S7-A7WQ-01	0.54
TCGA-RW-A68B-01	0.85
TCGA-P8-A5KC-01	0.33
TCGA-W2-A7HD-01	0.89
TCGA-W2-A7HF-01	0.88
TCGA-SQ-A6I6-01	0.86
TCGA-WB-A81N-01	0.8
TCGA-QT-A5XJ-01	0.91
TCGA-RW-A68G-01	0.71
TCGA-WB-A80Q-01	0.67
TCGA-RT-A6YC-01	0.7
TCGA-WB-A80M-01	0.93
TCGA-RW-A686-01	0.75
TCGA-WB-A80L-01	0.8
TCGA-SP-A6QG-01	0.82
TCGA-TT-A6YO-01	1.0
TCGA-SR-A6MY-01	0.76
TCGA-WB-A80Y-01	0.83
TCGA-QR-A70C-01	0.5
TCGA-RW-A8AZ-01	0.86
TCGA-QR-A70N-01	0.51
TCGA-TT-A6YP-01	0.54
TCGA-WB-A820-01	0.72
TCGA-RW-A689-01	0.8
TCGA-QT-A5XL-01	0.41
TCGA-QR-A70J-01	0.42
TCGA-SP-A6QD-01	0.8
