"","EPCAM"
"TCGA-WB-A81T-01",0.00935794244190826
"TCGA-WB-A81G-01",0.00355250012825187
"TCGA-WB-A815-01",0.0184621346257421
"TCGA-RW-A688-01",0.127540723192999
"TCGA-SP-A6QF-01",0.00893435213304279
"TCGA-RW-A684-01",0.0281456016610949
"TCGA-WB-A818-01",0.00582807741111748
"TCGA-RW-A67X-01",0.00687356145853674
"TCGA-S7-A7WU-01",0.00912556076703034
"TCGA-WB-A81I-01",0.0989172036550143
"TCGA-W2-A7HC-01",0.00312973340874751
"TCGA-P8-A6RX-01",0.00105891850909833
"TCGA-TT-A6YN-01",0.00628623718979992
"TCGA-QR-A6GX-01",0.0063563236039585
"TCGA-PR-A5PG-01",0.0224075459777342
"TCGA-RW-A67Y-01",0.181568038718358
"TCGA-W2-A7HE-01",0.00547515290260378
"TCGA-WB-A80N-01",0.00418262323055071
"TCGA-SR-A6MX-05",0.0133342548629762
"TCGA-WB-A816-01",0.0414795764897385
"TCGA-W2-A7H5-01",0.00508849394531375
"TCGA-S7-A7WP-01",0.00442677784372314
"TCGA-S7-A7WM-01",0.016498290631798
"TCGA-TT-A6YJ-01",0.143516180676634
"TCGA-SR-A6MU-01",0.0588994887466177
"TCGA-P8-A5KD-01",0.00841454427407911
"TCGA-S7-A7WN-01",0.0185882132276601
"TCGA-S7-A7X2-01",0.0198854480636888
"TCGA-QR-A6GS-01",0.0127691597915362
"TCGA-SR-A6MX-06",0.00523101507186526
"TCGA-XG-A823-01",0.0228890987324043
"TCGA-WB-A80P-01",0.00292222707632032
"TCGA-TT-A6YK-01",0.00142857917597078
"TCGA-RW-A685-01",0.0140499930211188
"TCGA-RW-A681-01",0.164961513188751
"TCGA-WB-A81S-01",0.00181502807385694
"TCGA-QR-A6H5-01",0.000214280321935031
"TCGA-QT-A5XK-01",0.0111781388376142
"TCGA-QR-A70K-01",0.137114652886138
"TCGA-QT-A5XM-01",0.000686494467520836
"TCGA-RW-A68C-01",0.00118064295093783
"TCGA-SR-A6MZ-01",0.0235162813545074
"TCGA-PR-A5PH-01",0.00163761500095629
"TCGA-WB-A81D-01",0.00676860140484902
"TCGA-QR-A7IP-01",0.00699462626803454
"TCGA-WB-A81K-01",0.0335165703137152
"TCGA-QR-A6H2-01",0.0183268104737576
"TCGA-PR-A5PF-01",0.106739149029867
"TCGA-WB-A817-01",0.0810995742090257
"TCGA-SR-A6MQ-01",0.014061434143056
"TCGA-WB-A81R-01",0.0305145014800836
"TCGA-SR-A6MS-01",0.125072297891128
"TCGA-QR-A70P-01",0.0144386125108624
"TCGA-WB-A81Q-01",0.0159945253827393
"TCGA-W2-A7H7-01",0.00689764348017723
"TCGA-RW-A7D0-01",0.0105918996716871
"TCGA-QR-A6GT-01",0.00013493298766597
"TCGA-W2-A7HA-01",0.00493569971934099
"TCGA-W2-A7HH-01",0.00443361876163084
"TCGA-QR-A702-01",0.0251789959381068
"TCGA-RW-A67V-01",0.031080163320945
"TCGA-RX-A8JQ-01",0.0140878987010717
"TCGA-QT-A5XP-01",0.0111161012216597
"TCGA-RT-A6YA-01",0.00778876533936714
"TCGA-QR-A6GO-01",0.0164284953971642
"TCGA-WB-A81F-01",0.0168167244602304
"TCGA-QR-A6GY-01",0.00917302497267803
"TCGA-QR-A700-01",0.0552608867875813
"TCGA-S7-A7WO-01",0.0117864525194763
"TCGA-WB-A81W-01",0.0041768279111688
"TCGA-SP-A6QC-01",0.00158399497085334
"TCGA-W2-A7UY-01",0.0157829471290481
"TCGA-QR-A706-01",0.00238613828491677
"TCGA-QR-A70H-01",0.0255527088027291
"TCGA-RW-A68F-01",0.0212211425241311
"TCGA-QR-A70G-01",0.0101977956793938
"TCGA-QR-A6H3-01",0.00367983623080271
"TCGA-RM-A68W-01",0.0068012873639146
"TCGA-RW-A680-01",0.00927572665244962
"TCGA-WB-A81H-01",0.0109483925077283
"TCGA-QT-A7U0-01",0.00478458138744833
"TCGA-SP-A6QK-01",0.0103805862828446
"TCGA-WB-A80K-01",0.00815071512370484
"TCGA-S7-A7WR-01",0.0129651597518596
"TCGA-WB-A821-01",0.0155505033491144
"TCGA-WB-A822-01",0.00269339983492679
"TCGA-WB-A81A-01",0.0229802174614867
"TCGA-S7-A7WT-01",0.00697544088300482
"TCGA-QT-A5XN-01",0.0117642760961003
"TCGA-RM-A68T-01",0.002011644594072
"TCGA-WB-A81M-01",0.0515508098025307
"TCGA-QR-A70W-01",0.0236400716823729
"TCGA-QR-A6GR-01",0.00627112885438777
"TCGA-SR-A6MX-01",0.00364939166480905
"TCGA-QR-A70X-01",0.0157027429558948
"TCGA-WB-A81V-01",0.0191422229655586
"TCGA-QT-A69Q-01",0.00449984029332906
"TCGA-S7-A7WV-01",0
"TCGA-SQ-A6I4-01",0.00478914114748761
"TCGA-WB-A81E-01",0.00137052331393661
"TCGA-WB-A80V-01",0.042058785638677
"TCGA-W2-A7HB-01",0.00412248243023435
"TCGA-SR-A6MV-01",0.0109469819335503
"TCGA-QR-A70I-01",0.0130679294142206
"TCGA-QR-A7IN-01",0.0106951114785063
"TCGA-SR-A6N0-01",0.00988639119241795
"TCGA-S7-A7WQ-01",0
"TCGA-RW-A68B-01",0.00789459818567037
"TCGA-P8-A5KC-01",0.00621138552767085
"TCGA-W2-A7HD-01",0.00374551097817796
"TCGA-W2-A7HF-01",0.0118465816239969
"TCGA-SQ-A6I6-01",0.0148802792257738
"TCGA-WB-A81N-01",0.0120831624190112
"TCGA-QT-A5XJ-01",0.397381468736537
"TCGA-RW-A68G-01",0.00402752522874295
"TCGA-WB-A80Q-01",0.0159321235483067
"TCGA-RT-A6YC-01",0.00319563844972805
"TCGA-WB-A80M-01",0.085571854073326
"TCGA-RW-A686-01",0.00990516753993353
"TCGA-WB-A80L-01",0.00803658234494103
"TCGA-SP-A6QG-01",0.0118485942216079
"TCGA-TT-A6YO-01",0.024535943026169
"TCGA-SR-A6MY-01",0.00478833864440694
"TCGA-WB-A80Y-01",0.00783611646370213
"TCGA-QR-A70C-01",0.0130193131567128
"TCGA-RW-A8AZ-01",0.0397754155204759
"TCGA-QR-A70N-01",0
"TCGA-TT-A6YP-01",0.00320430366543493
"TCGA-WB-A820-01",0.0116596554963031
"TCGA-RW-A689-01",0.0169474643467642
"TCGA-QT-A5XL-01",0.00409058051388039
"TCGA-QR-A70J-01",0.0113582343469435
"TCGA-SP-A6QD-01",0.00369880936685863
"TCGA-RW-A7CZ-01",0.0240931805236927
"TCGA-P7-A5NY-05",0.0159854065773906
"TCGA-S7-A7WW-01",0.00346909066719837
"TCGA-SP-A6QI-01",0.0114207413881551
"TCGA-QR-A6GU-01",0.0146481343403242
"TCGA-SA-A6C2-01",0.0218753431167228
"TCGA-S7-A7X0-01",0.0119570218275156
"TCGA-WB-A81P-01",0.0177859621157898
"TCGA-P8-A6RY-01",0.0128558411023234
"TCGA-RW-A68A-01",0.0123016915865499
"TCGA-QR-A70E-01",0.040556507516995
"TCGA-WB-A81J-01",0.0144933707567878
"TCGA-S7-A7X1-01",0.00241723037230626
"TCGA-WB-A819-01",0.00463620091684069
"TCGA-QR-A6H0-01",0.00286248211620499
"TCGA-S7-A7WL-01",0.0203123960431958
"TCGA-S7-A7WX-01",0.00428089668160191
"TCGA-QR-A6H6-01",0.0131602267399818
"TCGA-P7-A5NY-01",0.0172339154764938
"TCGA-RW-A686-06",0.00267478732463309
"TCGA-SR-A6MT-01",0.0166214818449507
"TCGA-QR-A6H1-01",0.014605024815736
"TCGA-SP-A6QJ-01",0.0184153132739678
"TCGA-QR-A70D-01",0.0125840141310259
"TCGA-RW-A68D-01",0.0220670237452445
"TCGA-QT-A5XO-01",0.0117379308842168
"TCGA-WB-A80O-01",0
"TCGA-RT-A6Y9-01",0.0196938397442603
"TCGA-SR-A6MP-01",0.0112583016150421
"TCGA-RW-A67W-01",0.0122494272482796
"TCGA-WB-A814-01",0.013328711203402
