"","DeconRNASeq"
"TCGA-WB-A81T-01",0.209683018254819
"TCGA-WB-A81G-01",0.149641427816527
"TCGA-WB-A815-01",0.0927919420673347
"TCGA-RW-A688-01",0.34374516078259
"TCGA-SP-A6QF-01",0.188419291563545
"TCGA-RW-A684-01",0.248814152224417
"TCGA-WB-A818-01",0.245470439739145
"TCGA-RW-A67X-01",0.0638645746081558
"TCGA-S7-A7WU-01",0.169247773377123
"TCGA-WB-A81I-01",0.254304925619429
"TCGA-W2-A7HC-01",0.204265020727517
"TCGA-P8-A6RX-01",0.0755009979735359
"TCGA-TT-A6YN-01",0.246489595402541
"TCGA-QR-A6GX-01",0.196832098853625
"TCGA-PR-A5PG-01",0.258331554148782
"TCGA-RW-A67Y-01",0.305230208615664
"TCGA-W2-A7HE-01",0.250560896060758
"TCGA-WB-A80N-01",0.198233116169046
"TCGA-SR-A6MX-05",0.16413873332215
"TCGA-WB-A816-01",0.217298980026085
"TCGA-W2-A7H5-01",0.269724101721495
"TCGA-S7-A7WP-01",0.119505379517367
"TCGA-S7-A7WM-01",0.161391254104741
"TCGA-TT-A6YJ-01",0.312163849609515
"TCGA-SR-A6MU-01",0.242281931447656
"TCGA-P8-A5KD-01",0.207987687213503
"TCGA-S7-A7WN-01",0.241735148152994
"TCGA-S7-A7X2-01",0.204798624559544
"TCGA-QR-A6GS-01",0.120026741805752
"TCGA-SR-A6MX-06",0.236941220880176
"TCGA-XG-A823-01",0.108686741540502
"TCGA-WB-A80P-01",0.124319026673351
"TCGA-TT-A6YK-01",0.0920009563303389
"TCGA-RW-A685-01",0.198416731189265
"TCGA-RW-A681-01",0.331968697168451
"TCGA-WB-A81S-01",0.187800152694168
"TCGA-QR-A6H5-01",0.072159356313242
"TCGA-QT-A5XK-01",0.188236557902351
"TCGA-QR-A70K-01",0.248296003128788
"TCGA-QT-A5XM-01",0.201895212680108
"TCGA-RW-A68C-01",0.0799533227783908
"TCGA-SR-A6MZ-01",0.193374385668134
"TCGA-PR-A5PH-01",0.15890007985454
"TCGA-WB-A81D-01",0.25705313383074
"TCGA-QR-A7IP-01",0.244962919065204
"TCGA-WB-A81K-01",0.152518951128381
"TCGA-QR-A6H2-01",0.260601036890537
"TCGA-PR-A5PF-01",0.262353395665836
"TCGA-WB-A817-01",0.215521819609062
"TCGA-SR-A6MQ-01",0.255219833985123
"TCGA-WB-A81R-01",0.261849376114136
"TCGA-SR-A6MS-01",0.221865702528942
"TCGA-QR-A70P-01",0.239949535142412
"TCGA-WB-A81Q-01",0.251528354400257
"TCGA-W2-A7H7-01",0.147997876876712
"TCGA-RW-A7D0-01",0.218512165010433
"TCGA-QR-A6GT-01",0.0204332686369744
"TCGA-W2-A7HA-01",0.126552956388243
"TCGA-W2-A7HH-01",0.265829182226281
"TCGA-QR-A702-01",0.306723284930161
"TCGA-RW-A67V-01",0.21392168634947
"TCGA-RX-A8JQ-01",0.188746887478388
"TCGA-QT-A5XP-01",0.198022378180887
"TCGA-RT-A6YA-01",0.15779648768013
"TCGA-QR-A6GO-01",0.201138146869492
"TCGA-WB-A81F-01",0.143242613371633
"TCGA-QR-A6GY-01",0.228240478341922
"TCGA-QR-A700-01",0.145543735374831
"TCGA-S7-A7WO-01",0.240756247108125
"TCGA-WB-A81W-01",0.273238256438551
"TCGA-SP-A6QC-01",0.164796596166859
"TCGA-W2-A7UY-01",0.125816678166589
"TCGA-QR-A706-01",0.0890978319001045
"TCGA-QR-A70H-01",0.257257604557292
"TCGA-RW-A68F-01",0.246604864092094
"TCGA-QR-A70G-01",0.179603742195343
"TCGA-QR-A6H3-01",0.123062174184639
"TCGA-RM-A68W-01",0.131137321873701
"TCGA-RW-A680-01",0.154644270023215
"TCGA-WB-A81H-01",0.136907031595485
"TCGA-QT-A7U0-01",0.232438470679452
"TCGA-SP-A6QK-01",0.164657124195946
"TCGA-WB-A80K-01",0.170826627915631
"TCGA-S7-A7WR-01",0.256575261054251
"TCGA-WB-A821-01",0.182417617366497
"TCGA-WB-A822-01",0.0554971608737192
"TCGA-WB-A81A-01",0.235584241490837
"TCGA-S7-A7WT-01",0.260083288476618
"TCGA-QT-A5XN-01",0.273388701777686
"TCGA-RM-A68T-01",0.0467543568856079
"TCGA-WB-A81M-01",0.321039562609951
"TCGA-QR-A70W-01",0.240646207966053
"TCGA-QR-A6GR-01",0.132624390005753
"TCGA-SR-A6MX-01",0.180046169527593
"TCGA-QR-A70X-01",0.164521929153033
"TCGA-WB-A81V-01",0.225623283499207
"TCGA-QT-A69Q-01",0.195949334426416
"TCGA-S7-A7WV-01",0
"TCGA-SQ-A6I4-01",0.137204329447089
"TCGA-WB-A81E-01",0.217009114585412
"TCGA-WB-A80V-01",0.275869432926395
"TCGA-W2-A7HB-01",0.28280768825353
"TCGA-SR-A6MV-01",0.151322556683941
"TCGA-QR-A70I-01",0.149192346546326
"TCGA-QR-A7IN-01",0.172031349119913
"TCGA-SR-A6N0-01",0.252267729726476
"TCGA-S7-A7WQ-01",0.0244744834549239
"TCGA-RW-A68B-01",0.255409987401293
"TCGA-P8-A5KC-01",0.0794705327712628
"TCGA-W2-A7HD-01",0.250966450935701
"TCGA-W2-A7HF-01",0.256748398418637
"TCGA-SQ-A6I6-01",0.279545730385578
"TCGA-WB-A81N-01",0.192095560661637
"TCGA-QT-A5XJ-01",0.214509235344432
"TCGA-RW-A68G-01",0.147418816902026
"TCGA-WB-A80Q-01",0.166615715624789
"TCGA-RT-A6YC-01",0.175334496068997
"TCGA-WB-A80M-01",0.268381043399315
"TCGA-RW-A686-01",0.175144859738233
"TCGA-WB-A80L-01",0.178018623706542
"TCGA-SP-A6QG-01",0.190434688967684
"TCGA-TT-A6YO-01",0.314489222598733
"TCGA-SR-A6MY-01",0.157702394368615
"TCGA-WB-A80Y-01",0.228264396884766
"TCGA-QR-A70C-01",0.10825937984746
"TCGA-RW-A8AZ-01",0.19385146654081
"TCGA-QR-A70N-01",0.0850237499356339
"TCGA-TT-A6YP-01",0.103316037057142
"TCGA-WB-A820-01",0.197917817608104
"TCGA-RW-A689-01",0.226840500077668
"TCGA-QT-A5XL-01",0.0375684046218944
"TCGA-QR-A70J-01",0.0713007072615396
"TCGA-SP-A6QD-01",0.114440527949229
"TCGA-RW-A7CZ-01",0.183804479957213
"TCGA-P7-A5NY-05",0.133087175680485
"TCGA-S7-A7WW-01",0.0976466285555138
