"","x"
"TCGA-WB-A81T-01",0.618751157310649
"TCGA-WB-A81G-01",0.416205765801662
"TCGA-WB-A815-01",0.444920255300439
"TCGA-RW-A688-01",0.662713986142152
"TCGA-SP-A6QF-01",0.7931012228465
"TCGA-RW-A684-01",0.747313487953358
"TCGA-WB-A818-01",0.679371067250502
"TCGA-RW-A67X-01",0.465676527630784
"TCGA-S7-A7WU-01",0.643245245397797
"TCGA-WB-A81I-01",0.737475783501575
"TCGA-W2-A7HC-01",0.65572705082116
"TCGA-P8-A6RX-01",0.428988461525559
"TCGA-TT-A6YN-01",0.501440655208771
"TCGA-QR-A6GX-01",0.395772110954491
"TCGA-PR-A5PG-01",0.77296946481885
"TCGA-RW-A67Y-01",0.636025030113257
"TCGA-W2-A7HE-01",0.590054351081397
"TCGA-WB-A80N-01",0.62427267844038
"TCGA-SR-A6MX-05",0.690544280655338
"TCGA-WB-A816-01",0.645075857027441
"TCGA-W2-A7H5-01",0.668823773231027
"TCGA-S7-A7WP-01",0.653269167397993
"TCGA-S7-A7WM-01",0.683261705855713
"TCGA-TT-A6YJ-01",0.773281128998083
"TCGA-SR-A6MU-01",0.813814069135296
"TCGA-P8-A5KD-01",0.718714030220487
"TCGA-S7-A7WN-01",0.759122542699155
"TCGA-S7-A7X2-01",0.630855811787303
"TCGA-QR-A6GS-01",0.424386594451696
"TCGA-SR-A6MX-06",0.681656032881885
"TCGA-XG-A823-01",0.525786467196665
"TCGA-WB-A80P-01",0.588330718284248
"TCGA-TT-A6YK-01",0.63477607553072
"TCGA-RW-A685-01",0.724634858467089
"TCGA-RW-A681-01",0.788392344262384
"TCGA-WB-A81S-01",0.681989754696718
"TCGA-QR-A6H5-01",0.344419927673475
"TCGA-QT-A5XK-01",0.587875289118316
"TCGA-QR-A70K-01",0.776466577542883
"TCGA-QT-A5XM-01",0.603973207167246
"TCGA-RW-A68C-01",0.533300239263605
"TCGA-SR-A6MZ-01",0.631670844346514
"TCGA-PR-A5PH-01",0.443053216888334
"TCGA-WB-A81D-01",0.640151589157998
"TCGA-QR-A7IP-01",0.656741251523447
"TCGA-WB-A81K-01",0.700820869249348
"TCGA-QR-A6H2-01",0.777897686141393
"TCGA-PR-A5PF-01",0.457454862277918
"TCGA-WB-A817-01",0.666482071251054
"TCGA-SR-A6MQ-01",0.66300623400869
"TCGA-WB-A81R-01",0.822391566696772
"TCGA-SR-A6MS-01",0.765285518363228
"TCGA-QR-A70P-01",0.648476095960892
"TCGA-WB-A81Q-01",0.72084713409426
"TCGA-W2-A7H7-01",0.556753882742398
"TCGA-RW-A7D0-01",0.728681183421774
"TCGA-QR-A6GT-01",0.159676023403904
"TCGA-W2-A7HA-01",0.483694640686203
"TCGA-W2-A7HH-01",0.612203193376388
"TCGA-QR-A702-01",0.785305668154431
"TCGA-RW-A67V-01",0.873376834252637
"TCGA-RX-A8JQ-01",0.67022693943676
"TCGA-QT-A5XP-01",0.639442886438127
"TCGA-RT-A6YA-01",0.66945641486767
"TCGA-QR-A6GO-01",0.651457782419021
"TCGA-WB-A81F-01",0.549489808698969
"TCGA-QR-A6GY-01",0.697256919465409
"TCGA-QR-A700-01",0.671724585314846
"TCGA-S7-A7WO-01",0.647476047144465
"TCGA-WB-A81W-01",0.717108048726681
"TCGA-SP-A6QC-01",0.617250536967031
"TCGA-W2-A7UY-01",0.73506098850306
"TCGA-QR-A706-01",0.418315997391572
"TCGA-QR-A70H-01",0.636121364642113
"TCGA-RW-A68F-01",0.633164940257478
"TCGA-QR-A70G-01",0.600731210735428
"TCGA-QR-A6H3-01",0.487661430479495
"TCGA-RM-A68W-01",0.608800740425919
"TCGA-RW-A680-01",0.579720745030271
"TCGA-WB-A81H-01",0.569576215909942
"TCGA-QT-A7U0-01",0.578026186341516
"TCGA-SP-A6QK-01",0.650265560024724
"TCGA-WB-A80K-01",0.450500068059229
"TCGA-S7-A7WR-01",0.677586241560449
"TCGA-WB-A821-01",0.556541368587279
"TCGA-WB-A822-01",0.414172898410355
"TCGA-WB-A81A-01",0.772936456955424
"TCGA-S7-A7WT-01",0.702828385370731
"TCGA-QT-A5XN-01",0.752168701015061
"TCGA-RM-A68T-01",0.30402573652371
"TCGA-WB-A81M-01",0.686802495689754
"TCGA-QR-A70W-01",0.846858096848574
"TCGA-QR-A6GR-01",0.639014951694596
"TCGA-SR-A6MX-01",0.469592831118797
"TCGA-QR-A70X-01",0.655597138776352
"TCGA-WB-A81V-01",0.719167455852501
"TCGA-QT-A69Q-01",0.609745504785028
"TCGA-S7-A7WV-01",1.3279802297147e-08
"TCGA-SQ-A6I4-01",0.701012265158682
"TCGA-WB-A81E-01",0.518276425863973
"TCGA-WB-A80V-01",0.793354850217655
"TCGA-W2-A7HB-01",0.567941720106297
"TCGA-SR-A6MV-01",0.765166552019687
"TCGA-QR-A70I-01",0.405329666983177
"TCGA-QR-A7IN-01",0.73276910850792
"TCGA-SR-A6N0-01",0.638073960156494
"TCGA-S7-A7WQ-01",0.316685884864252
"TCGA-RW-A68B-01",0.676940312757681
"TCGA-P8-A5KC-01",0.297882259184453
"TCGA-W2-A7HD-01",0.65283199246011
"TCGA-W2-A7HF-01",0.679469165121536
"TCGA-SQ-A6I6-01",0.623739281730362
"TCGA-WB-A81N-01",0.65542203833249
"TCGA-QT-A5XJ-01",0.734339915905263
"TCGA-RW-A68G-01",0.780620603809653
"TCGA-WB-A80Q-01",0.772316960240797
"TCGA-RT-A6YC-01",0.5460525033156
"TCGA-WB-A80M-01",0.759348998467369
"TCGA-RW-A686-01",0.643343192865323
"TCGA-WB-A80L-01",0.690233147520109
"TCGA-SP-A6QG-01",0.594905943700304
"TCGA-TT-A6YO-01",0.725498664749133
"TCGA-SR-A6MY-01",0.730881216728123
"TCGA-WB-A80Y-01",0.688846392965179
"TCGA-QR-A70C-01",0.692986214523779
"TCGA-RW-A8AZ-01",0.660308243959332
"TCGA-QR-A70N-01",0.725169636521555
"TCGA-TT-A6YP-01",0.538498899218972
"TCGA-WB-A820-01",0.721315860487708
"TCGA-RW-A689-01",0.648635907098318
"TCGA-QT-A5XL-01",0.264946275240134
"TCGA-QR-A70J-01",0.505679168132144
"TCGA-SP-A6QD-01",0.590854531446319
"TCGA-RW-A7CZ-01",0.520884019323671
"TCGA-P7-A5NY-05",0.500537525838064
"TCGA-S7-A7WW-01",0.573749142742032
"TCGA-SP-A6QI-01",0.652078946128033
"TCGA-QR-A6GU-01",0.463836477833036
"TCGA-SA-A6C2-01",0.588623269337009
"TCGA-S7-A7X0-01",0.307964692385799
"TCGA-WB-A81P-01",0.59882541055921
"TCGA-P8-A6RY-01",0.580624060373953
"TCGA-RW-A68A-01",0.618005810432313
"TCGA-QR-A70E-01",0.673039328767351
"TCGA-WB-A81J-01",0.714028385698719
"TCGA-S7-A7X1-01",0.566159013543625
"TCGA-WB-A819-01",0.724107058464739
"TCGA-QR-A6H0-01",0.215887038221298
"TCGA-S7-A7WL-01",0.714352406374706
"TCGA-S7-A7WX-01",0.533556151306764
"TCGA-QR-A6H6-01",0.452863484018705
"TCGA-P7-A5NY-01",0.541903606845484
"TCGA-RW-A686-06",0.590181867217562
"TCGA-SR-A6MT-01",0.709762950509356
"TCGA-QR-A6H1-01",0.724521135394929
"TCGA-SP-A6QJ-01",0.691467755029291
"TCGA-QR-A70D-01",0.561919458080407
"TCGA-RW-A68D-01",0.587083498055557
"TCGA-QT-A5XO-01",0.658996229760024
"TCGA-WB-A80O-01",0.551548633934809
"TCGA-RT-A6Y9-01",0.600829540427493
"TCGA-SR-A6MP-01",0.638988950691366
"TCGA-RW-A67W-01",0.801546186449317
"TCGA-WB-A814-01",0.718251641532147
