	purity
TCGA-WB-A81T-01	0.5838627690866293
TCGA-WB-A81G-01	0.6359131243586551
TCGA-WB-A815-01	0.6643165462100231
TCGA-RW-A688-01	0.862542606415953
TCGA-SP-A6QF-01	0.6168515502916946
TCGA-RW-A684-01	0.7281376266550182
TCGA-WB-A818-01	0.7061080994242539
TCGA-RW-A67X-01	0.5166896230914335
TCGA-S7-A7WU-01	0.7560574314530681
TCGA-WB-A81I-01	0.7904974597881871
TCGA-W2-A7HC-01	0.6323319282512263
TCGA-P8-A6RX-01	0.653674477742826
TCGA-TT-A6YN-01	0.7704749507787862
TCGA-QR-A6GX-01	0.7407096941263069
TCGA-PR-A5PG-01	0.766885638992634
TCGA-RW-A67Y-01	0.8647574883923678
TCGA-W2-A7HE-01	0.47543542365242897
TCGA-WB-A80N-01	0.6666943052703885
TCGA-SR-A6MX-05	0.7482947819893904
TCGA-WB-A816-01	0.49516628378028643
TCGA-W2-A7H5-01	0.7398528215849649
TCGA-S7-A7WP-01	0.6638850351810411
TCGA-S7-A7WM-01	0.6284637200268968
TCGA-TT-A6YJ-01	0.7798371703416425
TCGA-SR-A6MU-01	0.658624515816228
TCGA-P8-A5KD-01	0.6588850602458506
TCGA-S7-A7WN-01	0.6906929048015096
TCGA-S7-A7X2-01	0.6625555806842858
TCGA-QR-A6GS-01	0.6124663995349842
TCGA-SR-A6MX-06	0.7699200258744577
TCGA-XG-A823-01	0.5189132882597479
TCGA-WB-A80P-01	0.7372634931283218
TCGA-TT-A6YK-01	0.6323522727983043
TCGA-RW-A685-01	0.5727135510334118
TCGA-RW-A681-01	0.9804822757880864
TCGA-WB-A81S-01	0.7257168840927329
TCGA-QR-A6H5-01	0.5695614140203117
TCGA-QT-A5XK-01	0.6750932475743089
TCGA-QR-A70K-01	0.8658428264078422
TCGA-QT-A5XM-01	0.5701193209203252
TCGA-RW-A68C-01	0.5527061351616173
TCGA-SR-A6MZ-01	0.5264983462740378
TCGA-PR-A5PH-01	0.6504687275291107
TCGA-WB-A81D-01	0.6501227490648549
TCGA-QR-A7IP-01	0.7622936058183392
TCGA-WB-A81K-01	0.5501588009713356
TCGA-QR-A6H2-01	0.8488484205694001
TCGA-PR-A5PF-01	0.6652185286567679
TCGA-WB-A817-01	0.5375856021366642
TCGA-SR-A6MQ-01	0.7196990328385766
TCGA-WB-A81R-01	0.7828222727887307
TCGA-SR-A6MS-01	0.7896631180235215
TCGA-QR-A70P-01	0.8712657219722347
TCGA-WB-A81Q-01	0.839543555687602
TCGA-W2-A7H7-01	0.6204460576058374
TCGA-RW-A7D0-01	0.6213528840366801
TCGA-QR-A6GT-01	0.5807300922776955
TCGA-W2-A7HA-01	0.687252172243552
TCGA-W2-A7HH-01	0.7103586252403998
TCGA-QR-A702-01	0.8401990822612014
TCGA-RW-A67V-01	0.8605705919193799
TCGA-RX-A8JQ-01	0.7097102437797391
TCGA-QT-A5XP-01	0.6248705660171765
TCGA-RT-A6YA-01	0.7072839995429702
TCGA-QR-A6GO-01	0.633423791184957
TCGA-WB-A81F-01	0.7106846786682198
TCGA-QR-A6GY-01	0.7287789395861244
TCGA-QR-A700-01	0.6413931681321139
TCGA-S7-A7WO-01	0.4706209743689696
TCGA-WB-A81W-01	0.8026342368690685
TCGA-SP-A6QC-01	0.5622725272190074
TCGA-W2-A7UY-01	0.6572654236795948
TCGA-QR-A706-01	0.495618931058404
TCGA-QR-A70H-01	0.7694503630169789
TCGA-RW-A68F-01	0.897677242460131
TCGA-QR-A70G-01	0.5298217636883242
TCGA-QR-A6H3-01	0.6776085627510003
TCGA-RM-A68W-01	0.706786962055502
TCGA-RW-A680-01	0.7980101516194731
TCGA-WB-A81H-01	0.5211428919667329
TCGA-QT-A7U0-01	0.7223347482551911
TCGA-SP-A6QK-01	0.513339867635807
TCGA-WB-A80K-01	0.579288786272612
TCGA-S7-A7WR-01	0.6987387188302654
TCGA-WB-A821-01	0.7171360698745091
