	purity
TCGA-2G-AAGF-01	0.83
TCGA-XE-AANJ-01	0.59
TCGA-2G-AAF6-01	0.57
TCGA-2G-AAM2-01	0.8
TCGA-2G-AAM4-01	0.86
TCGA-2G-AAG7-01	0.81
TCGA-XE-AAOC-01	0.9
TCGA-XE-A8H1-01	0.47
TCGA-2G-AAKG-05	0.4
TCGA-2G-AAFL-01	0.24
TCGA-2G-AAGE-01	0.82
TCGA-ZM-AA0N-01	0.33
TCGA-2G-AAH0-01	0.46
TCGA-2G-AAFM-01	0.39
TCGA-2G-AAF4-01	0.42
TCGA-2G-AAGG-01	0.71
TCGA-SO-A8JP-01	0.76
TCGA-2G-AAL5-01	0.93
TCGA-2G-AAG8-01	0.35
TCGA-2G-AAKO-01	0.13
TCGA-2G-AALW-01	0.84
TCGA-2G-AAHL-01	0.6
TCGA-2G-AAG6-01	0.76
TCGA-2G-AAFY-01	0.29
TCGA-YU-A90Q-01	0.8
TCGA-2G-AAEX-01	0.41
TCGA-WZ-A8D5-01	0.26
TCGA-VF-A8AD-01	0.43
TCGA-YU-AA61-01	0.6
TCGA-2G-AALP-01	0.82
TCGA-2G-AAFZ-01	0.91
TCGA-WZ-A7V3-01	0.57
TCGA-2G-AAGY-01	0.83
TCGA-2G-AAHG-01	0.76
TCGA-2G-AAGW-01	0.92
TCGA-2G-AAEW-01	0.42
TCGA-2G-AAGP-01	0.36
TCGA-2G-AAHP-01	0.88
TCGA-2G-AAGS-01	0.88
TCGA-2G-AALX-01	0.84
TCGA-2G-AALS-01	0.3
TCGA-S6-A8JY-01	0.74
TCGA-2G-AAGI-01	0.83
TCGA-SN-A84X-01	0.75
TCGA-ZM-AA0F-01	0.26
TCGA-2G-AAHP-05	0.42
TCGA-2G-AAGY-05	0.79
TCGA-2G-AAFJ-01	0.91
TCGA-W4-A7U2-01	0.62
TCGA-2G-AAKM-01	0.75
TCGA-WZ-A7V5-01	0.38
TCGA-XE-A9SE-01	0.5
TCGA-SB-A6J6-01	0.28
TCGA-2G-AAF8-01	0.45
TCGA-SB-A76C-01	0.64
TCGA-2G-AALZ-01	0.29
TCGA-XE-A8H4-01	0.27
TCGA-2G-AAKL-01	0.63
TCGA-S6-A8JX-01	0.89
TCGA-2G-AAKD-01	0.59
TCGA-XE-AANV-01	0.45
TCGA-2G-AAGC-01	0.66
TCGA-XE-AAOB-01	0.37
TCGA-XY-A8S3-01	0.87
TCGA-YU-AA4L-01	0.84
TCGA-2G-AALQ-01	0.81
TCGA-2G-AAFI-01	0.79
TCGA-2G-AAG0-01	0.43
TCGA-VF-A8A9-01	0.36
TCGA-SN-A84Y-01	0.77
TCGA-2G-AAHC-01	0.3
TCGA-ZM-AA05-01	0.33
TCGA-2G-AAGM-01	0.85
TCGA-2G-AAGO-01	0.66
TCGA-2G-AALO-01	0.75
TCGA-2G-AAG3-01	0.83
TCGA-2G-AAKO-05	0.41
TCGA-2G-AAGX-01	0.92
TCGA-2G-AAGA-01	0.64
TCGA-2G-AAGN-01	0.52
TCGA-2G-AAGI-05	0.29
TCGA-2G-AALG-01	0.62
TCGA-2G-AAG5-01	0.78
TCGA-XE-AAOJ-01	0.84
TCGA-4K-AA1I-01	0.28
TCGA-2G-AAH8-01	0.74
TCGA-2G-AALT-01	0.66
TCGA-2G-AALF-01	0.66
TCGA-XE-AANI-01	0.81
TCGA-ZM-AA0B-01	0.48
TCGA-2G-AAFG-01	0.45
TCGA-XE-AAOF-01	0.34
TCGA-XY-A9T9-01	0.37
TCGA-W4-A7U3-01	0.72
TCGA-4K-AA1H-01	0.27
TCGA-2G-AAG9-01	0.55
TCGA-XY-A8S2-01	0.73
TCGA-2G-AAM3-01	0.78
TCGA-YU-A912-01	0.67
TCGA-YU-A94I-01	0.88
TCGA-XE-AAO3-01	0.7
TCGA-4K-AAAL-01	0.4
TCGA-XE-AAO4-01	0.43
TCGA-VF-A8AA-01	0.32
TCGA-S6-A8JW-01	0.68
TCGA-SN-A6IS-01	0.51
TCGA-XY-A89B-01	0.35
TCGA-2G-AAGT-01	0.81
TCGA-ZM-AA0H-01	0.26
TCGA-2G-AAH3-01	0.69
TCGA-YU-A94D-01	0.83
TCGA-2G-AALY-01	0.69
TCGA-SN-A84W-01	0.9
TCGA-YU-A90S-01	0.44
TCGA-2G-AAH2-01	0.77
TCGA-YU-A90W-01	0.51
TCGA-WZ-A7V4-01	0.27
TCGA-ZM-AA0D-01	0.32
TCGA-2G-AAFG-05	0.26
TCGA-2G-AAF1-01	0.18
TCGA-XE-A8H5-01	0.67
TCGA-2X-A9D6-01	0.32
TCGA-2G-AAGV-01	0.84
TCGA-ZM-AA0E-01	0.28
TCGA-2X-A9D5-01	0.46
TCGA-2G-AAFO-01	0.24
TCGA-2G-AAHT-01	0.52
TCGA-2G-AALR-01	0.97
