"","EPCAM"
"TCGA-2G-AAGF-01",0.276769557256628
"TCGA-XE-AANJ-01",0.274190515164199
"TCGA-2G-AAF6-01",0.144336911579007
"TCGA-2G-AAM2-01",0.770021804160381
"TCGA-2G-AAM4-01",0.650550742973645
"TCGA-2G-AAG7-01",0.55074818294267
"TCGA-XE-AAOC-01",0.428725373728151
"TCGA-XE-A8H1-01",0.293497830901135
"TCGA-2G-AAKG-05",0.0872448550716395
"TCGA-2G-AAFL-01",0.251429343925578
"TCGA-2G-AAGE-01",0.340687877325267
"TCGA-ZM-AA0N-01",0.131184200653655
"TCGA-2G-AAH0-01",0.124569119231394
"TCGA-2G-AAFM-01",0.212081248124181
"TCGA-2G-AAF4-01",0.0845894841102188
"TCGA-2G-AAGG-01",0.304256502240655
"TCGA-SO-A8JP-01",0.30088510313929
"TCGA-2G-AAL5-01",0.401938863029351
"TCGA-2G-AAG8-01",0.356640656699217
"TCGA-2G-AAKO-01",0.0619147336302006
"TCGA-2G-AALW-01",0.193515373515036
"TCGA-2G-AAHL-01",0.180498431966117
"TCGA-2G-AAG6-01",0.137086180804001
"TCGA-2G-AAFY-01",0.146630704331959
"TCGA-YU-A90Q-01",0.473542725041961
"TCGA-2G-AAEX-01",0.182175598054083
"TCGA-WZ-A8D5-01",0.0424328047033343
"TCGA-VF-A8AD-01",0.175751585119824
"TCGA-YU-AA61-01",0.211915607287761
"TCGA-2G-AALP-01",0.622832398433638
"TCGA-2G-AAFZ-01",0.434044608428092
"TCGA-WZ-A7V3-01",0.369116861000703
"TCGA-2G-AAGY-01",0.048590676571049
"TCGA-2G-AAHG-01",0.419612947184631
"TCGA-2G-AAGW-01",0.853863740020296
"TCGA-2G-AAEW-01",0.0400839744811394
"TCGA-2G-AAGP-01",0.124796916469016
"TCGA-2G-AAHP-01",0.498465469944617
"TCGA-2G-AAGS-01",0.372390423207538
"TCGA-2G-AALX-01",0.0828365367932685
"TCGA-2G-AALS-01",0.101905517374769
"TCGA-S6-A8JY-01",0.414416031664497
"TCGA-2G-AAGI-01",0.196715512465325
"TCGA-SN-A84X-01",0.389034642695941
"TCGA-ZM-AA0F-01",0.0921843708529665
"TCGA-2G-AAHP-05",0.113823306119838
"TCGA-2G-AAGY-05",0.536322683889154
"TCGA-2G-AAFJ-01",0.239921927939842
"TCGA-W4-A7U2-01",0.30024666518241
"TCGA-2G-AAKM-01",0.229018438537496
"TCGA-WZ-A7V5-01",0.0698293232485883
"TCGA-XE-A9SE-01",0.121588957403339
"TCGA-SB-A6J6-01",0.155775364217991
"TCGA-2G-AAF8-01",0.187234963056525
"TCGA-SB-A76C-01",0.379589052389961
"TCGA-2G-AALZ-01",0.00624917561717818
"TCGA-XE-A8H4-01",0.0392477606776029
"TCGA-2G-AAKL-01",0.301889217381423
"TCGA-S6-A8JX-01",0.34616480170621
"TCGA-2G-AAKD-01",0.356116540648074
"TCGA-XE-AANV-01",0.166318899842226
"TCGA-2G-AAGC-01",0.26744145202502
"TCGA-XE-AAOB-01",0.024782125611213
"TCGA-XY-A8S3-01",0.495534729703546
"TCGA-YU-AA4L-01",0.634296468279172
"TCGA-2G-AALQ-01",0.34124390522469
"TCGA-2G-AAFI-01",0.503042409475858
"TCGA-2G-AAG0-01",0.270506363003048
"TCGA-VF-A8A9-01",0.117260213768655
"TCGA-SN-A84Y-01",0.581167322580903
"TCGA-2G-AAHC-01",0.0390145470224107
"TCGA-ZM-AA05-01",0.0257009515127266
"TCGA-2G-AAGM-01",0.432450980255443
"TCGA-2G-AAGO-01",0.522052243085879
"TCGA-2G-AALO-01",0.116045226080112
"TCGA-2G-AAG3-01",0.249444374325287
"TCGA-2G-AAKO-05",0.0138255147688869
"TCGA-2G-AAGX-01",0.233125290506258
"TCGA-2G-AAGA-01",0.647078338673811
"TCGA-2G-AAGN-01",0.332656432252826
"TCGA-2G-AAGI-05",0.121425738724005
"TCGA-2G-AALG-01",0.278254745260707
"TCGA-2G-AAG5-01",0.0596521318701694
"TCGA-XE-AAOJ-01",0.185673004667943
"TCGA-4K-AA1I-01",0.0412355588055486
"TCGA-2G-AAH8-01",0.342894721268315
"TCGA-2G-AALT-01",0.0645286253316459
"TCGA-2G-AALF-01",0.488258011633534
"TCGA-XE-AANI-01",0.0484358328957521
"TCGA-ZM-AA0B-01",0.0603999484107296
"TCGA-2G-AAFG-01",0.123558197940456
"TCGA-XE-AAOF-01",0.0670337467980149
"TCGA-XY-A9T9-01",0.113305359866393
"TCGA-W4-A7U3-01",0.143785293651414
"TCGA-4K-AA1H-01",0.0121936690877148
"TCGA-2G-AAG9-01",0.0862375272661827
"TCGA-XY-A8S2-01",0.50478498746255
"TCGA-2G-AAM3-01",0.385491384767008
"TCGA-YU-A912-01",0.148771206930522
"TCGA-YU-A94I-01",0.660924027916965
"TCGA-XE-AAO3-01",0.500121619052209
"TCGA-4K-AAAL-01",0.155331188442651
"TCGA-XE-AAO4-01",0.116849876141629
"TCGA-VF-A8AA-01",0.184282138074399
"TCGA-S6-A8JW-01",0.162950921562107
"TCGA-SN-A6IS-01",0.244455480230161
"TCGA-XY-A89B-01",0.017314565532567
"TCGA-2G-AAGT-01",0.526702334276547
"TCGA-ZM-AA0H-01",0.0191811338166001
"TCGA-2G-AAH3-01",0.304215045971134
"TCGA-YU-A94D-01",0.2630217994858
"TCGA-2G-AALY-01",0.26827704478118
"TCGA-SN-A84W-01",0.216851937881417
"TCGA-YU-A90S-01",0.00571914059622802
"TCGA-2G-AAH2-01",0.0386080706002157
"TCGA-YU-A90W-01",0.249072516014942
"TCGA-WZ-A7V4-01",0.0727370998354677
"TCGA-ZM-AA0D-01",0.0444494975035208
"TCGA-2G-AAFG-05",0.0681775238330984
"TCGA-2G-AAF1-01",0.0801029628268944
"TCGA-XE-A8H5-01",0.212447797955584
"TCGA-2X-A9D6-01",0.0852188133293146
"TCGA-2G-AAGV-01",0.269621979186173
"TCGA-ZM-AA0E-01",0.0566899120894883
"TCGA-2X-A9D5-01",0.103030197016295
"TCGA-2G-AAFO-01",0.308035019820801
"TCGA-2G-AAHT-01",0.112805121160435
"TCGA-2G-AALR-01",0.474499166119318
"TCGA-X3-A8G4-01",0.174974547760611
"TCGA-2G-AAGZ-01",0.260452907418205
"TCGA-2G-AAGK-01",0.507308691217271
"TCGA-2G-AALN-01",0.372702216410875
"TCGA-XE-AAO6-01",0.129466497747259
"TCGA-YU-A90P-01",0.216083518763053
"TCGA-2G-AAFN-01",0.422671238996502
"TCGA-VF-A8AC-01",0.0549937857372677
"TCGA-4K-AA1G-01",0.312596035253163
"TCGA-W4-A7U4-01",0.467922510626701
"TCGA-XE-AAOD-01",0.0615517478800915
"TCGA-VF-A8AB-01",0.0164839167562313
"TCGA-2G-AAHA-01",0.0281854039860553
"TCGA-VF-A8AE-01",0.0475385453464627
"TCGA-XE-AANR-01",0.118803040750117
"TCGA-XE-AAOL-01",0.415342336538966
"TCGA-2G-AAKG-01",0.350296866157132
"TCGA-2G-AAHN-01",0.0340622148515043
"TCGA-2G-AAL7-01",0.464681061838371
"TCGA-ZM-AA06-01",0.267290247276231
"TCGA-2G-AAKH-01",0.254223374402775
