"","DeconRNASeq"
"TCGA-2G-AAGF-01",0.0963567864149049
"TCGA-XE-AANJ-01",0.333562603537496
"TCGA-2G-AAF6-01",0.251750039867309
"TCGA-2G-AAM2-01",0.431753770213608
"TCGA-2G-AAM4-01",0.372334141758574
"TCGA-2G-AAG7-01",0.200101074617768
"TCGA-XE-AAOC-01",0.246387677189251
"TCGA-XE-A8H1-01",0.203554296549931
"TCGA-2G-AAKG-05",0.206894443050908
"TCGA-2G-AAFL-01",0.166776913211307
"TCGA-2G-AAGE-01",0.156147897937256
"TCGA-ZM-AA0N-01",0.161810808061403
"TCGA-2G-AAH0-01",0.231356986481047
"TCGA-2G-AAFM-01",0.18934926510222
"TCGA-2G-AAF4-01",0.263411856063012
"TCGA-2G-AAGG-01",0.0922158878071448
"TCGA-SO-A8JP-01",0.299673296495438
"TCGA-2G-AAL5-01",0.105400695092134
"TCGA-2G-AAG8-01",0.246514612700998
"TCGA-2G-AAKO-01",0.151898609806112
"TCGA-2G-AALW-01",0.0467449530137138
"TCGA-2G-AAHL-01",0.280937235971779
"TCGA-2G-AAG6-01",0.0384421076273977
"TCGA-2G-AAFY-01",0.0686178502967373
"TCGA-YU-A90Q-01",0.342081545659756
"TCGA-2G-AAEX-01",0.239371629935562
"TCGA-WZ-A8D5-01",0.213679133816557
"TCGA-VF-A8AD-01",0.209442744652562
"TCGA-YU-AA61-01",0.0539752798458043
"TCGA-2G-AALP-01",0.35872702378198
"TCGA-2G-AAFZ-01",0.103943307207912
"TCGA-WZ-A7V3-01",0.353697534346015
"TCGA-2G-AAGY-01",0.0306345316105902
"TCGA-2G-AAHG-01",0.363440087138604
"TCGA-2G-AAGW-01",0.429602879259231
"TCGA-2G-AAEW-01",0.164121825444142
"TCGA-2G-AAGP-01",0.0181524069145645
"TCGA-2G-AAHP-01",0.3456053363554
"TCGA-2G-AAGS-01",0.145364633070885
"TCGA-2G-AALX-01",0.0389884430498989
"TCGA-2G-AALS-01",0.0503915980246904
"TCGA-S6-A8JY-01",0.355442926058812
"TCGA-2G-AAGI-01",0.0712986529896378
"TCGA-SN-A84X-01",0.203372130659522
"TCGA-ZM-AA0F-01",0.107013224846116
"TCGA-2G-AAHP-05",0.216556207540422
"TCGA-2G-AAGY-05",0.394714204429552
"TCGA-2G-AAFJ-01",0.0573119337003605
"TCGA-W4-A7U2-01",0.309777479367744
"TCGA-2G-AAKM-01",0.0837298883375133
"TCGA-WZ-A7V5-01",0.235901787379954
"TCGA-XE-A9SE-01",0.204462597688045
"TCGA-SB-A6J6-01",0.302557775495973
"TCGA-2G-AAF8-01",0.289494333467572
"TCGA-SB-A76C-01",0.393111015650682
"TCGA-2G-AALZ-01",0.0309139036367369
"TCGA-XE-A8H4-01",0.178716717211915
"TCGA-2G-AAKL-01",0.302160466189005
"TCGA-S6-A8JX-01",0.348037985120419
"TCGA-2G-AAKD-01",0.263649806767924
"TCGA-XE-AANV-01",0.22627965408143
"TCGA-2G-AAGC-01",0.123152925871421
"TCGA-XE-AAOB-01",0.0134329656826298
"TCGA-XY-A8S3-01",0.264191404899706
"TCGA-YU-AA4L-01",0.325975207991096
"TCGA-2G-AALQ-01",0.0949693310098786
"TCGA-2G-AAFI-01",0.200324868882687
"TCGA-2G-AAG0-01",0.265416126637268
"TCGA-VF-A8A9-01",0.241100358229445
"TCGA-SN-A84Y-01",0.416485098012002
"TCGA-2G-AAHC-01",0.140779284246608
"TCGA-ZM-AA05-01",0.107574720064671
"TCGA-2G-AAGM-01",0.158888160252045
"TCGA-2G-AAGO-01",0.390482893060039
"TCGA-2G-AALO-01",0.0702489971838562
"TCGA-2G-AAG3-01",0.0570037710113517
"TCGA-2G-AAKO-05",0.109102918795752
"TCGA-2G-AAGX-01",0.0560742890658227
"TCGA-2G-AAGA-01",0.366068400117052
"TCGA-2G-AAGN-01",0.309836398964343
"TCGA-2G-AAGI-05",0.238925636456979
"TCGA-2G-AALG-01",0.0925155731710436
"TCGA-2G-AAG5-01",0.0333636850352198
"TCGA-XE-AAOJ-01",0.055543276690384
"TCGA-4K-AA1I-01",0.149484211679971
"TCGA-2G-AAH8-01",0.38849846245791
"TCGA-2G-AALT-01",0.0294705513154632
"TCGA-2G-AALF-01",0.330829284973579
"TCGA-XE-AANI-01",0.0414866759507032
"TCGA-ZM-AA0B-01",0.174682488092093
"TCGA-2G-AAFG-01",0.189063056951456
"TCGA-XE-AAOF-01",0.264277543977754
"TCGA-XY-A9T9-01",0.289725461455748
"TCGA-W4-A7U3-01",0.0571430779364692
"TCGA-4K-AA1H-01",0.0186496622364233
"TCGA-2G-AAG9-01",0.175723746576278
"TCGA-XY-A8S2-01",0.31873410547366
"TCGA-2G-AAM3-01",0.0670269384953181
"TCGA-YU-A912-01",0.258518230279264
"TCGA-YU-A94I-01",0.232320133787169
"TCGA-XE-AAO3-01",0.373195941346441
"TCGA-4K-AAAL-01",0.15163693503505
"TCGA-XE-AAO4-01",0.283709973014094
"TCGA-VF-A8AA-01",0.23375840206115
"TCGA-S6-A8JW-01",0.294390837239067
"TCGA-SN-A6IS-01",0.274686403072844
"TCGA-XY-A89B-01",0.143646998611196
"TCGA-2G-AAGT-01",0.29644054211499
"TCGA-ZM-AA0H-01",0.095743039548966
"TCGA-2G-AAH3-01",0.251359482616618
"TCGA-YU-A94D-01",0.134765837280046
"TCGA-2G-AALY-01",0.0764364541918979
"TCGA-SN-A84W-01",0.0635159001041689
"TCGA-YU-A90S-01",0.0957257602080601
"TCGA-2G-AAH2-01",0.027410914265688
"TCGA-YU-A90W-01",0.350257659105432
"TCGA-WZ-A7V4-01",0.231979874272031
"TCGA-ZM-AA0D-01",0.072478824837438
"TCGA-2G-AAFG-05",0.12653186376816
"TCGA-2G-AAF1-01",0.212916870097651
"TCGA-XE-A8H5-01",0.335272291848936
"TCGA-2X-A9D6-01",0.13278289728701
"TCGA-2G-AAGV-01",0.10086915155862
"TCGA-ZM-AA0E-01",0.0909910434288354
"TCGA-2X-A9D5-01",0.224324703515683
"TCGA-2G-AAFO-01",0.182753566939137
"TCGA-2G-AAHT-01",0.218706928799914
"TCGA-2G-AALR-01",0.190843499315507
"TCGA-X3-A8G4-01",0.0965883747409216
"TCGA-2G-AAGZ-01",0.148748764507346
"TCGA-2G-AAGK-01",0.32372738614674
"TCGA-2G-AALN-01",0.146259083481782
"TCGA-XE-AAO6-01",0.228173781360829
"TCGA-YU-A90P-01",0.262515903103021
"TCGA-2G-AAFN-01",0.352982086842134
"TCGA-VF-A8AC-01",0.166075434150987
"TCGA-4K-AA1G-01",0.322852609746779
"TCGA-W4-A7U4-01",0.357106484035287
"TCGA-XE-AAOD-01",0.130486148807515
"TCGA-VF-A8AB-01",0.109919609327161
"TCGA-2G-AAHA-01",0.145891536740148
"TCGA-VF-A8AE-01",0.137083389077787
"TCGA-XE-AANR-01",0.156203448612316
"TCGA-XE-AAOL-01",0.312771074473077
"TCGA-2G-AAKG-01",0.208020154190327
"TCGA-2G-AAHN-01",0.120419777951804
"TCGA-2G-AAL7-01",0.36955164443366
"TCGA-ZM-AA06-01",0.218789402415703
"TCGA-2G-AAKH-01",0.261537175200872
"TCGA-2G-AAFH-01",0.198236471847461
"TCGA-VF-A8A8-01",0.393928633513284
"TCGA-2G-AAGJ-01",0.278459338652057
"TCGA-2G-AAH4-01",0.0616141882253782
"TCGA-2G-AAFV-01",0.161404406397615
"TCGA-YU-A90Y-01",0.125309190672723
