"","ESTIMATE"
"TCGA-2G-AAGF-01","0.780574117724063"
"TCGA-XE-AANJ-01","0.820763664314247"
"TCGA-2G-AAF6-01","0.757268792332264"
"TCGA-2G-AAM2-01","0.929979161320352"
"TCGA-2G-AAM4-01","0.90504705209487"
"TCGA-2G-AAG7-01","0.892379141154709"
"TCGA-XE-AAOC-01","0.850790585105264"
"TCGA-XE-A8H1-01","0.830343902975095"
"TCGA-2G-AAKG-05","0.653215663165514"
"TCGA-2G-AAFL-01","0.733132291839703"
"TCGA-2G-AAGE-01","0.830223268739926"
"TCGA-ZM-AA0N-01","0.727247230338959"
"TCGA-2G-AAH0-01","0.747857293954576"
"TCGA-2G-AAFM-01","0.646392030219156"
"TCGA-2G-AAF4-01","0.735884626547434"
"TCGA-2G-AAGG-01","0.710110593103653"
"TCGA-SO-A8JP-01","0.92236163628858"
"TCGA-2G-AAL5-01","0.907473592229216"
"TCGA-2G-AAG8-01","0.811105518490897"
"TCGA-2G-AAKO-01","0.629842193952172"
"TCGA-2G-AALW-01","0.670894160003751"
"TCGA-2G-AAHL-01","0.78096699318846"
"TCGA-2G-AAG6-01","0.703443568516173"
"TCGA-2G-AAFY-01","0.579795656543469"
"TCGA-YU-A90Q-01","0.940104030448048"
"TCGA-2G-AAEX-01","0.748193486942906"
"TCGA-WZ-A8D5-01","0.617790712151289"
"TCGA-VF-A8AD-01","0.689709519292128"
"TCGA-YU-AA61-01","0.660886612526736"
"TCGA-2G-AALP-01","0.905989686471808"
"TCGA-2G-AAFZ-01","0.916345108108378"
"TCGA-WZ-A7V3-01","0.861475054420374"
"TCGA-2G-AAGY-01","0.769366092081209"
"TCGA-2G-AAHG-01","0.88381890055045"
"TCGA-2G-AAGW-01","0.981434554192502"
"TCGA-2G-AAEW-01","0.679630892152484"
"TCGA-2G-AAGP-01","0.538469253473024"
"TCGA-2G-AAHP-01","0.913724950454711"
"TCGA-2G-AAGS-01","0.884226083130677"
"TCGA-2G-AALX-01","0.700029064060293"
"TCGA-2G-AALS-01","0.511896138640077"
"TCGA-S6-A8JY-01","0.880271563534155"
"TCGA-2G-AAGI-01","0.70976011358583"
"TCGA-SN-A84X-01","0.741220211534425"
"TCGA-ZM-AA0F-01","0.564731553356342"
"TCGA-2G-AAHP-05","0.757920095635881"
"TCGA-2G-AAGY-05","0.910744485075994"
"TCGA-2G-AAFJ-01","0.860159080242149"
"TCGA-W4-A7U2-01","0.833817934002299"
"TCGA-2G-AAKM-01","0.77659697059575"
