	purity
TCGA-2G-AAGF-01	0.6237769039227913
TCGA-XE-AANJ-01	0.6321366351137834
TCGA-2G-AAF6-01	0.5865041449278113
TCGA-2G-AAM2-01	0.6471424902261383
TCGA-2G-AAM4-01	0.6650349214704708
TCGA-2G-AAG7-01	0.7063804126766531
TCGA-XE-AAOC-01	0.6252857468528832
TCGA-XE-A8H1-01	0.5990699936344661
TCGA-2G-AAKG-05	0.5556819179817505
TCGA-2G-AAFL-01	0.43959160513051704
TCGA-2G-AAGE-01	0.6999617922582699
TCGA-ZM-AA0N-01	0.6126877442044939
TCGA-2G-AAH0-01	0.629527990462714
TCGA-2G-AAFM-01	0.454204381835489
TCGA-2G-AAF4-01	0.6834455155467926
TCGA-2G-AAGG-01	0.5446666185165933
TCGA-SO-A8JP-01	0.8193042976459699
TCGA-2G-AAL5-01	0.7804251534359588
TCGA-2G-AAG8-01	0.5134768196442169
TCGA-2G-AAKO-01	0.5202944057793039
TCGA-2G-AALW-01	0.5716769306547568
TCGA-2G-AAHL-01	0.6472877615749157
TCGA-2G-AAG6-01	0.5298341135073085
TCGA-2G-AAFY-01	0.4334275083431323
TCGA-YU-A90Q-01	0.8277967709600215
TCGA-2G-AAEX-01	0.6780951383311439
TCGA-WZ-A8D5-01	0.5176802539076608
TCGA-VF-A8AD-01	0.49866090028105586
TCGA-YU-AA61-01	0.5005646870186505
TCGA-2G-AALP-01	0.60255946662358
TCGA-2G-AAFZ-01	0.6900698388533895
TCGA-WZ-A7V3-01	0.6654792485323344
TCGA-2G-AAGY-01	0.6639088654394323
TCGA-2G-AAHG-01	0.7357889122625438
TCGA-2G-AAGW-01	0.8532990578332824
TCGA-2G-AAEW-01	0.5922395713121118
TCGA-2G-AAGP-01	0.3627861536770785
TCGA-2G-AAHP-01	0.8387757206051661
TCGA-2G-AAGS-01	0.7020645840428097
TCGA-2G-AALX-01	0.620955191551684
TCGA-2G-AALS-01	0.3896736921429049
TCGA-S6-A8JY-01	0.7193178133787742
TCGA-2G-AAGI-01	0.5398997985865643
TCGA-SN-A84X-01	0.46340113197924837
TCGA-ZM-AA0F-01	0.4700244511889958
TCGA-2G-AAHP-05	0.6807664931036916
TCGA-2G-AAGY-05	0.7663864099074864
TCGA-2G-AAFJ-01	0.6348157427443224
TCGA-W4-A7U2-01	0.7520092600539646
TCGA-2G-AAKM-01	0.6333968085081324
TCGA-WZ-A7V5-01	0.5723900392005451
TCGA-XE-A9SE-01	0.6535848946862363
TCGA-SB-A6J6-01	0.6073374732694699
TCGA-2G-AAF8-01	0.5821275435741208
TCGA-SB-A76C-01	0.7844392321860084
TCGA-2G-AALZ-01	0.4366552209515492
TCGA-XE-A8H4-01	0.5169607235357466
TCGA-2G-AAKL-01	0.643224818498695
TCGA-S6-A8JX-01	0.9373197327611493
TCGA-2G-AAKD-01	0.5090832813513142
TCGA-XE-AANV-01	0.572272980663407
TCGA-2G-AAGC-01	0.5865516151781791
TCGA-XE-AAOB-01	0.36012679211020254
TCGA-XY-A8S3-01	0.7155189284442971
TCGA-YU-AA4L-01	0.7166399003090712
TCGA-2G-AALQ-01	0.5835163517079066
TCGA-2G-AAFI-01	0.6832327937876366
TCGA-2G-AAG0-01	0.5754608292315359
TCGA-VF-A8A9-01	0.5789073815286054
TCGA-SN-A84Y-01	0.699786439712476
TCGA-2G-AAHC-01	0.513874564139063
TCGA-ZM-AA05-01	0.5270095225699543
TCGA-2G-AAGM-01	0.6983369257768238
TCGA-2G-AAGO-01	0.7339323525536853
TCGA-2G-AALO-01	0.48504204823292196
TCGA-2G-AAG3-01	0.5515658792494835
TCGA-2G-AAKO-05	0.47036258955262605
TCGA-2G-AAGX-01	0.7009912027823136
TCGA-2G-AAGA-01	0.6517982717992219
TCGA-2G-AAGN-01	0.6363977217429366
TCGA-2G-AAGI-05	0.5744453721286366
TCGA-2G-AALG-01	0.519005733606184
TCGA-2G-AAG5-01	0.465876196305846
TCGA-XE-AAOJ-01	0.6137378390140829
TCGA-4K-AA1I-01	0.49359208304188673
TCGA-2G-AAH8-01	0.7495300095599312
TCGA-2G-AALT-01	0.47202954714828155
TCGA-2G-AALF-01	0.608950066487976
TCGA-XE-AANI-01	0.6021133276270684
TCGA-ZM-AA0B-01	0.5613063454318404
TCGA-2G-AAFG-01	0.555679917901139
TCGA-XE-AAOF-01	0.5254848036632305
TCGA-XY-A9T9-01	0.5716908489095885
TCGA-W4-A7U3-01	0.5109029052369174
TCGA-4K-AA1H-01	0.3678048899452157
TCGA-2G-AAG9-01	0.6028897420616778
TCGA-XY-A8S2-01	0.701935719899618
TCGA-2G-AAM3-01	0.49869155652276836
TCGA-YU-A912-01	0.610701191451285
TCGA-YU-A94I-01	0.8030145713176757
TCGA-XE-AAO3-01	0.7914518338898495
TCGA-4K-AAAL-01	0.5002836439874127
TCGA-XE-AAO4-01	0.6587586883233925
TCGA-VF-A8AA-01	0.5906337213607741
TCGA-S6-A8JW-01	0.7771565845623718
TCGA-SN-A6IS-01	0.6899393327573285
TCGA-XY-A89B-01	0.5636978666679736
TCGA-2G-AAGT-01	0.7416903358858937
TCGA-ZM-AA0H-01	0.4812079762959048
TCGA-2G-AAH3-01	0.7213275624033536
TCGA-YU-A94D-01	0.7430654571470661
TCGA-2G-AALY-01	0.55650659992012
TCGA-SN-A84W-01	0.6904754567843354
TCGA-YU-A90S-01	0.412759437674549
TCGA-2G-AAH2-01	0.6085943159334393
TCGA-YU-A90W-01	0.7593683112847859
TCGA-WZ-A7V4-01	0.5496522683969709
TCGA-ZM-AA0D-01	0.5085669336034826
TCGA-2G-AAFG-05	0.4944326869800027
TCGA-2G-AAF1-01	0.5387029290773464
TCGA-XE-A8H5-01	0.8304699907300359
TCGA-2X-A9D6-01	0.6094286856222375
TCGA-2G-AAGV-01	0.5395271040213441
TCGA-ZM-AA0E-01	0.4940067080971703
TCGA-2X-A9D5-01	0.6178471670246618
TCGA-2G-AAFO-01	0.4297583822388854
TCGA-2G-AAHT-01	0.6463217056641295
TCGA-2G-AALR-01	0.7818852070115881
