	purity
TCGA-2E-A9G8-01	0.93
TCGA-A5-A0G2-01	0.42
TCGA-A5-A0G5-01	0.5
TCGA-A5-A0G9-01	0.9
TCGA-A5-A0GA-01	0.49
TCGA-A5-A0GB-01	0.81
TCGA-A5-A0GD-01	0.67
TCGA-A5-A0GE-01	0.6
TCGA-A5-A0GG-01	0.41
TCGA-A5-A0GH-01	0.93
TCGA-A5-A0GI-01	0.96
TCGA-A5-A0GJ-01	0.81
TCGA-A5-A0GM-01	0.81
TCGA-A5-A0GN-01	0.87
TCGA-A5-A0GP-01	0.66
TCGA-A5-A0GQ-01	0.4
TCGA-A5-A0GR-01	0.5
TCGA-A5-A0GU-01	0.77
TCGA-A5-A0GV-01	0.88
TCGA-A5-A0GW-01	0.52
TCGA-A5-A0GX-01	0.31
TCGA-A5-A0R6-01	0.46
TCGA-A5-A0R7-01	0.72
TCGA-A5-A0R8-01	0.45
TCGA-A5-A0R9-01	0.82
TCGA-A5-A0RA-01	0.55
TCGA-A5-A0VP-01	0.85
TCGA-A5-A0VQ-01	0.84
TCGA-A5-A1OF-01	0.52
TCGA-A5-A1OG-01	0.59
TCGA-A5-A1OJ-01	0.59
TCGA-A5-A1OK-01	0.31
TCGA-AJ-A23M-01	0.78
TCGA-AJ-A23O-01	0.63
TCGA-AJ-A2QK-01	0.65
TCGA-AJ-A2QL-01	0.75
TCGA-AJ-A2QN-01	0.66
TCGA-AP-A051-01	0.66
TCGA-AP-A052-01	0.89
TCGA-AP-A053-01	0.92
TCGA-AP-A054-01	0.95
TCGA-AP-A056-01	0.65
TCGA-AP-A059-01	0.46
TCGA-AP-A05A-01	0.95
TCGA-AP-A05D-01	0.68
TCGA-AP-A05H-01	0.9
TCGA-AP-A05J-01	0.95
TCGA-AP-A05N-01	0.92
TCGA-AP-A05O-01	0.63
TCGA-AP-A05P-01	0.46
TCGA-AP-A0L8-01	0.88
TCGA-AP-A0L9-01	0.84
TCGA-AP-A0LD-01	0.8
TCGA-AP-A0LE-01	0.9
TCGA-AP-A0LF-01	0.38
TCGA-AP-A0LG-01	0.85
TCGA-AP-A0LH-01	0.93
TCGA-AP-A0LI-01	0.43
TCGA-AP-A0LJ-01	0.61
TCGA-AP-A0LL-01	0.94
TCGA-AP-A0LM-01	0.57
TCGA-AP-A0LN-01	0.79
TCGA-AP-A0LO-01	0.6
TCGA-AP-A0LP-01	0.81
TCGA-AP-A0LS-01	0.92
TCGA-AP-A0LT-01	0.89
TCGA-AP-A0LV-01	0.66
TCGA-AP-A1DH-01	0.64
TCGA-AP-A1DK-01	0.6
TCGA-AP-A1DM-01	0.75
TCGA-AP-A1DO-01	0.86
TCGA-AP-A1DP-01	0.91
TCGA-AP-A1DQ-01	0.58
TCGA-AP-A1DR-01	0.77
TCGA-AP-A1DV-01	0.88
TCGA-AP-A1E0-01	0.73
TCGA-AP-A1E1-01	0.57
TCGA-AP-A1E3-01	0.32
TCGA-AP-A1E4-01	0.9
TCGA-AW-A1PO-01	0.96
TCGA-AX-A05S-01	0.68
TCGA-AX-A05T-01	0.87
TCGA-AX-A05U-01	1.0
TCGA-AX-A05Y-01	0.98
TCGA-AX-A05Z-01	0.6
TCGA-AX-A060-01	0.97
TCGA-AX-A062-01	0.94
TCGA-AX-A063-01	0.78
TCGA-AX-A064-01	0.75
TCGA-AX-A06B-01	0.68
TCGA-AX-A06D-01	0.88
TCGA-AX-A06F-01	0.82
TCGA-AX-A06H-01	0.59
TCGA-AX-A06J-01	0.72
TCGA-AX-A06L-01	0.67
TCGA-AX-A0IS-01	0.84
TCGA-AX-A0IU-01	0.79
