"","DeconRNASeq"
"TCGA-2E-A9G8-01",0.56715866181704
"TCGA-A5-A0G2-01",0.288362959023092
"TCGA-A5-A0G5-01",0.243964476498067
"TCGA-A5-A0G9-01",0.494317573708251
"TCGA-A5-A0GA-01",0.418078722346138
"TCGA-A5-A0GB-01",0.535411930240267
"TCGA-A5-A0GD-01",0.514424939170811
"TCGA-A5-A0GE-01",0.330968684313262
"TCGA-A5-A0GG-01",0.418945695830294
"TCGA-A5-A0GH-01",0.41711000718727
"TCGA-A5-A0GI-01",0.457013331847576
"TCGA-A5-A0GJ-01",0.461015583855296
"TCGA-A5-A0GM-01",0.434804358782242
"TCGA-A5-A0GN-01",0.462322300414892
"TCGA-A5-A0GP-01",0.519297115552876
"TCGA-A5-A0GQ-01",0.493457749917024
"TCGA-A5-A0GR-01",0.363385147794283
"TCGA-A5-A0GU-01",0.49871810086609
"TCGA-A5-A0GV-01",0.513254526796806
"TCGA-A5-A0GW-01",0.185495257656578
"TCGA-A5-A0GX-01",0.44536969229096
"TCGA-A5-A0R6-01",0.377223128877096
"TCGA-A5-A0R7-01",0.31364085508445
"TCGA-A5-A0R8-01",0.475610754236581
"TCGA-A5-A0R9-01",0.447122355001802
"TCGA-A5-A0RA-01",0.512260584646573
"TCGA-A5-A0VP-01",0.491527055725718
"TCGA-A5-A0VQ-01",0.481986358880804
"TCGA-A5-A1OF-01",0.46551531447027
"TCGA-A5-A1OG-01",0.513500254171544
"TCGA-A5-A1OJ-01",0.29333060055252
"TCGA-A5-A1OK-01",0.455481327709578
"TCGA-AJ-A23M-01",0.506530351089637
"TCGA-AJ-A23O-01",0.41932766405684
"TCGA-AJ-A2QK-01",0.457108197705901
"TCGA-AJ-A2QL-01",0.49566823590284
"TCGA-AJ-A2QN-01",0.475185583557474
"TCGA-AP-A051-01",0.4654784961216
"TCGA-AP-A052-01",0.461291668721497
"TCGA-AP-A053-01",0.51606335073832
"TCGA-AP-A054-01",0.384810450154461
"TCGA-AP-A056-01",0.244501767215264
"TCGA-AP-A059-01",0.335774146215145
"TCGA-AP-A05A-01",0.488431021655608
"TCGA-AP-A05D-01",0.477152676232017
"TCGA-AP-A05H-01",0.299980668743979
"TCGA-AP-A05J-01",0.535342460440016
"TCGA-AP-A05N-01",0.360391431811026
"TCGA-AP-A05O-01",0.510147652805331
"TCGA-AP-A05P-01",0.391682970273906
"TCGA-AP-A0L8-01",0.530309368922316
"TCGA-AP-A0L9-01",0.544393325742363
"TCGA-AP-A0LD-01",0.343698036260991
"TCGA-AP-A0LE-01",0.348512601328559
"TCGA-AP-A0LF-01",0.247446492306284
"TCGA-AP-A0LG-01",0.523063693510311
"TCGA-AP-A0LH-01",0.524688588774969
"TCGA-AP-A0LI-01",0.367879481585895
"TCGA-AP-A0LJ-01",0.465533261575587
"TCGA-AP-A0LL-01",0.317493526428984
"TCGA-AP-A0LM-01",0.150476013860794
"TCGA-AP-A0LN-01",0.480189855412071
"TCGA-AP-A0LO-01",0.509500408151634
"TCGA-AP-A0LP-01",0.496649883085989
"TCGA-AP-A0LS-01",0.395616131296762
"TCGA-AP-A0LT-01",0.552129147298898
"TCGA-AP-A0LV-01",0.420118486135642
"TCGA-AP-A1DH-01",0.350530216534247
"TCGA-AP-A1DK-01",0.313771088218305
"TCGA-AP-A1DM-01",0.474366127038858
"TCGA-AP-A1DO-01",0.48876437232641
"TCGA-AP-A1DP-01",0.502053564800719
"TCGA-AP-A1DQ-01",0.464683515637703
"TCGA-AP-A1DR-01",0.509804099873679
"TCGA-AP-A1DV-01",0.467652687677593
"TCGA-AP-A1E0-01",0.355000857720323
"TCGA-AP-A1E1-01",0.505228722339776
"TCGA-AP-A1E3-01",0.114292318229466
"TCGA-AP-A1E4-01",0.424358102365429
"TCGA-AW-A1PO-01",0.540664778699949
"TCGA-AX-A05S-01",0.463232119701237
"TCGA-AX-A05T-01",0.49940857153573
"TCGA-AX-A05U-01",0.472055629601076
"TCGA-AX-A05Y-01",0.514103116465206
"TCGA-AX-A05Z-01",0.472265001149487
"TCGA-AX-A060-01",0.52867685300003
"TCGA-AX-A062-01",0.379899958062002
"TCGA-AX-A063-01",0.398851354716071
"TCGA-AX-A064-01",0.494131824190842
"TCGA-AX-A06B-01",0.433258237590226
"TCGA-AX-A06D-01",0.501133598458736
"TCGA-AX-A06F-01",0.438376208644608
"TCGA-AX-A06H-01",0.412310067020644
"TCGA-AX-A06J-01",0.455816605435963
"TCGA-AX-A06L-01",0.376105054998412
"TCGA-AX-A0IS-01",0.48233928675319
"TCGA-AX-A0IU-01",0.521398962217483
"TCGA-AX-A0IW-01",0.459166509014869
"TCGA-AX-A0IZ-01",0.403776017395856
"TCGA-AX-A0J0-01",0.460621477604423
"TCGA-AX-A0J1-01",0.403298475168808
"TCGA-AX-A1C4-01",0.513263651227962
"TCGA-AX-A1C5-01",0.540375175433147
"TCGA-AX-A1C8-01",0.270772773314457
"TCGA-AX-A1C9-01",0.49173993951557
"TCGA-AX-A1CA-01",0.499585921617585
"TCGA-AX-A1CC-01",0.0631751608709741
"TCGA-AX-A1CE-01",0.449953667857049
"TCGA-AX-A1CF-01",0.471178186655014
"TCGA-AX-A1CI-01",0.489752005890164
"TCGA-AX-A1CJ-01",0.471258996731745
"TCGA-AX-A1CK-01",0.481712082086193
"TCGA-AX-A1CN-01",0.325061079036958
"TCGA-AX-A1CP-01",0.434469513565992
"TCGA-AX-A1CR-01",0.481972130229921
"TCGA-AX-A2H2-01",0.473240634028155
"TCGA-AX-A2H5-01",0.472697309979687
"TCGA-AX-A2H7-01",0.494061008641637
"TCGA-AX-A2H8-01",0.511017202542249
"TCGA-AX-A2HA-01",0.52126027606122
"TCGA-AX-A2HC-01",0.268598724171905
"TCGA-AX-A2HD-01",0.488579898493051
"TCGA-AX-A2HF-01",0.49107058003459
"TCGA-AX-A2HG-01",0.326860875953396
"TCGA-AX-A2HJ-01",0.35136952776579
"TCGA-AX-A2HK-01",0.422157691170808
"TCGA-AX-A2IO-01",0.447235085217898
"TCGA-B5-A0JS-01",0.478958155668735
"TCGA-B5-A0JT-01",0.514213911354497
"TCGA-B5-A0JU-01",0.47711046399985
"TCGA-B5-A0JV-01",0.506636448611311
"TCGA-B5-A0JX-01",0.448615921964287
"TCGA-B5-A0JY-01",0.17849083583713
"TCGA-B5-A0JZ-01",0.378115525540826
"TCGA-B5-A0K0-01",0.254188364035935
"TCGA-B5-A0K1-01",0.510889703017943
"TCGA-B5-A0K2-01",0.472187134556772
"TCGA-B5-A0K3-01",0.509337561924824
"TCGA-B5-A0K4-01",0.406924660389478
"TCGA-B5-A0K6-01",0.46496123596389
"TCGA-B5-A0K7-01",0.480794081688586
"TCGA-B5-A0K8-01",0.465839098177299
"TCGA-B5-A0KB-01",0.483240802323443
"TCGA-B5-A11E-01",0.36542792503401
"TCGA-B5-A11F-01",0.400444473760925
"TCGA-B5-A11G-01",0.407387207702808
"TCGA-B5-A11H-01",0.446329962295977
"TCGA-B5-A11I-01",0.51043039897157
"TCGA-B5-A11J-01",0.538488778732197
"TCGA-B5-A11L-01",0.495021547592049
"TCGA-B5-A11N-01",0.452658010067544
"TCGA-B5-A11O-01",0.3533893821623
"TCGA-B5-A11P-01",0.497842946256916
"TCGA-B5-A11Q-01",0.486186684284253
"TCGA-B5-A11S-01",0.465920791241391
"TCGA-B5-A11U-01",0.07106681626089
"TCGA-B5-A11V-01",0.471146040885827
"TCGA-B5-A11W-01",0.41324161326987
"TCGA-B5-A11Y-01",0.497724453152724
"TCGA-B5-A11Z-01",0.495413913284601
"TCGA-B5-A121-01",0.503194146493029
"TCGA-B5-A1MR-01",0.154698987497814
"TCGA-B5-A1MU-01",0.138790839077547
"TCGA-B5-A1MV-01",0.488406905955929
"TCGA-B5-A1MX-01",0.417467997615115
"TCGA-B5-A1MY-01",0.326048286402396
"TCGA-B5-A1MZ-01",0.494438570307477
"TCGA-B5-A1N2-01",0.442075120019409
"TCGA-BG-A0LW-01",0.454860861812481
"TCGA-BG-A0LX-01",0.22474263461536
"TCGA-BG-A0M0-01",0.409290981102618
"TCGA-BG-A0M2-01",0.48741441388444
"TCGA-BG-A0M3-01",0.502270610146508
"TCGA-BG-A0M4-01",0.376935492242685
"TCGA-BG-A0M6-01",0.415019887700873
"TCGA-BG-A0M7-01",0.498387175570168
"TCGA-BG-A0M8-01",0.331298351687632
"TCGA-BG-A0MA-01",0.310761504809401
"TCGA-BG-A0MC-01",0.467849485233344
"TCGA-BG-A0MG-01",0.540393010684247
"TCGA-BG-A0MI-01",0.498694893794273
"TCGA-BG-A0MO-01",0.506983539635597
"TCGA-BG-A0MQ-01",0.511980817033882
"TCGA-BG-A0MS-01",0.490783756284335
"TCGA-BG-A0MT-01",0.506006933800574
"TCGA-BG-A0MU-01",0.492431271943064
"TCGA-BG-A0RY-01",0.511171187146367
"TCGA-BG-A0VT-01",0.440366071230171
"TCGA-BG-A0VV-01",0.492001624277365
"TCGA-BG-A0VW-01",0.474507909551833
"TCGA-BG-A0VX-01",0.456610019962387
"TCGA-BG-A0VZ-01",0.474364725614336
"TCGA-BG-A0W1-01",0.492114511812619
"TCGA-BG-A0W2-01",0.427768392729743
"TCGA-BG-A0YU-01",0.487239356494833
"TCGA-BG-A0YV-01",0.505238831216145
"TCGA-BG-A186-01",0.483752573653004
"TCGA-BG-A187-01",0.485529541129439
"TCGA-BG-A18A-01",0.46622267543638
"TCGA-BG-A18B-01",0.496367144551568
"TCGA-BG-A18C-01",0.499862016122976
"TCGA-BG-A221-01",0.418070700268385
"TCGA-BG-A222-01",0.515420485025975
"TCGA-BG-A2AE-01",0.774480741365209
"TCGA-BG-A2L7-01",0.264559545528504
"TCGA-BK-A0C9-01",0.46834951676444
"TCGA-BK-A0CB-01",0.286204710858032
"TCGA-BK-A139-02",0.338691808466854
"TCGA-BK-A13C-01",0.378390985866244
"TCGA-BS-A0T9-01",0.247120998677908
"TCGA-BS-A0TA-01",0.277523840008779
"TCGA-BS-A0TC-01",0.50141401660736
"TCGA-BS-A0TD-01",0.499038163215209
"TCGA-BS-A0TE-01",0.358127736379419
"TCGA-BS-A0TG-01",0.300536767216752
"TCGA-BS-A0TI-01",0.457758319220161
"TCGA-BS-A0TJ-01",0.331464989933697
"TCGA-BS-A0U5-01",0.4998426135329
"TCGA-BS-A0U7-01",0.219796825132357
"TCGA-BS-A0U8-01",0.338138788577463
"TCGA-BS-A0U9-01",0.542640340348707
