"","ESTIMATE"
"TCGA-2E-A9G8-01","0.924850576957163"
"TCGA-A5-A0G2-01","0.840116066055006"
"TCGA-A5-A0G5-01","0.582261692346894"
"TCGA-A5-A0G9-01","0.88100490584014"
"TCGA-A5-A0GA-01","0.883137188962834"
"TCGA-A5-A0GB-01","0.944793127244895"
"TCGA-A5-A0GD-01","0.897802965801739"
"TCGA-A5-A0GE-01","0.835717269851013"
"TCGA-A5-A0GG-01","0.809948376046227"
"TCGA-A5-A0GH-01","0.971639343233344"
"TCGA-A5-A0GI-01","0.891881501552136"
"TCGA-A5-A0GJ-01","0.775862832971104"
"TCGA-A5-A0GM-01","0.893347491989597"
"TCGA-A5-A0GN-01","0.745156880077068"
"TCGA-A5-A0GP-01","0.916670990174702"
"TCGA-A5-A0GQ-01","0.796410624608806"
"TCGA-A5-A0GR-01","0.666815527033376"
"TCGA-A5-A0GU-01","0.871592645759486"
"TCGA-A5-A0GV-01","0.971877176454859"
"TCGA-A5-A0GW-01","0.668963701257025"
"TCGA-A5-A0GX-01","0.759266617474239"
"TCGA-A5-A0R6-01","0.863876780129084"
"TCGA-A5-A0R7-01","0.727732375634716"
"TCGA-A5-A0R8-01","0.765005849365493"
"TCGA-A5-A0R9-01","0.815000385820749"
"TCGA-A5-A0RA-01","0.897705247051047"
"TCGA-A5-A0VP-01","0.919538600699412"
"TCGA-A5-A0VQ-01","0.872216075480036"
"TCGA-A5-A1OF-01","0.746321848323404"
"TCGA-A5-A1OG-01","0.898616235018834"
"TCGA-A5-A1OJ-01","0.649063816727912"
"TCGA-A5-A1OK-01","0.867585343086848"
"TCGA-AJ-A23M-01","0.913173297117201"
"TCGA-AJ-A23O-01","0.763961239508677"
"TCGA-AJ-A2QK-01","0.736242119695237"
"TCGA-AJ-A2QL-01","0.815175353110221"
"TCGA-AJ-A2QN-01","0.917269635911881"
"TCGA-AP-A051-01","0.883534005509685"
"TCGA-AP-A052-01","0.856387771256873"
"TCGA-AP-A053-01","0.951518599554563"
"TCGA-AP-A054-01","0.973793214971416"
"TCGA-AP-A056-01","0.761917755474123"
