"","Cell type 1","Cell type 2"
"TCGA-2E-A9G8-01",0.177171136663403,1.05335837522777
"TCGA-A5-A0G2-01",0.151087320156241,0.910897783179082
"TCGA-A5-A0G5-01",0.581026014379169,0.408585334558392
"TCGA-A5-A0G9-01",0.171014600326835,0.496668789470742
"TCGA-A5-A0GA-01",0.101817614940037,0.965450341723907
"TCGA-A5-A0GB-01",0.0357811501216218,0.969102294871971
"TCGA-A5-A0GD-01",0.202120496082347,0.8355939188463
"TCGA-A5-A0GE-01",0.212035233753026,0.811582463311969
"TCGA-A5-A0GG-01",0.290872959536248,0.927458312705142
"TCGA-A5-A0GH-01",0.0352742336403335,1.10048839753544
"TCGA-A5-A0GI-01",0.155022568703547,0.602807975423273
"TCGA-A5-A0GJ-01",0.206642574914756,0.384883684145361
"TCGA-A5-A0GM-01",0.135896744736594,0.626370158953124
"TCGA-A5-A0GN-01",0.23566448597203,0.471806547587064
"TCGA-A5-A0GP-01",0.0875647848718095,0.767904653346547
"TCGA-A5-A0GQ-01",0.305939506195086,0.655679133075607
"TCGA-A5-A0GR-01",0.350014001769524,0.486697173294135
"TCGA-A5-A0GU-01",0.162761093348477,0.808546669172671
"TCGA-A5-A0GV-01",0.0729231980923342,0.770415343541908
"TCGA-A5-A0GW-01",0.318059957446617,0.760840779971547
"TCGA-A5-A0GX-01",0.273686040556264,0.349471195473535
"TCGA-A5-A0R6-01",0.165539362130944,0.646679101510165
"TCGA-A5-A0R7-01",0.227003039053961,0.600275608155313
"TCGA-A5-A0R8-01",0.338765448833914,0.678551063564907
"TCGA-A5-A0R9-01",0.208718425369666,0.584125783166121
"TCGA-A5-A0RA-01",0.244592819740245,1.03128552750056
"TCGA-A5-A0VP-01",0.106449280293356,0.694921491156366
"TCGA-A5-A0VQ-01",0.159287999814082,0.579535855150127
"TCGA-A5-A1OF-01",0.383816764148744,0.679347712057118
"TCGA-A5-A1OG-01",0.142882562621464,0.942879820754676
"TCGA-A5-A1OJ-01",0.337006848833509,0.574111311946351
"TCGA-A5-A1OK-01",0.239103158029338,0.886633067612573
"TCGA-AJ-A23M-01",0.113988247430149,0.946571952878031
"TCGA-AJ-A23O-01",0.25805947189872,0.825480042879
"TCGA-AJ-A2QK-01",0.274778886222575,0.800668084216299
"TCGA-AJ-A2QL-01",0.288063719703542,0.973826324550964
"TCGA-AJ-A2QN-01",0.151604422866099,0.873302196043947
"TCGA-AP-A051-01",0.172416154661759,1.1165919714377
"TCGA-AP-A052-01",0.166240240045257,0.782084586380206
"TCGA-AP-A053-01",0.0409905421192382,1.0373726700977
"TCGA-AP-A054-01",3.5580924117451e-06,1.56242594567079
"TCGA-AP-A056-01",0.212284666082623,0.825773554033313
"TCGA-AP-A059-01",0.51053953132042,0.859629346886299
"TCGA-AP-A05A-01",0.0606162625545467,0.488219484574153
"TCGA-AP-A05D-01",0.235978388904928,0.460814930977446
"TCGA-AP-A05H-01",0.0789097671742915,0.375290546690606
"TCGA-AP-A05J-01",0.0516377199506495,0.408156921086761
"TCGA-AP-A05N-01",0.118231820631691,0.829410558603477
"TCGA-AP-A05O-01",0.235057425251019,0.850251275611038
"TCGA-AP-A05P-01",0.153355654502629,0.810417720778808
"TCGA-AP-A0L8-01",0.0508218301269747,0.940412043248326
"TCGA-AP-A0L9-01",0.0946553188845924,0.90992403670532
"TCGA-AP-A0LD-01",0.11116185337591,0.666952004313816
"TCGA-AP-A0LE-01",0.11664594991785,0.625966391122726
"TCGA-AP-A0LF-01",0.30933331102768,0.602438252771801
"TCGA-AP-A0LG-01",0.0503750252518188,0.937473558844041
"TCGA-AP-A0LH-01",0.100732596921807,0.824821710912738
"TCGA-AP-A0LI-01",0.322088334794455,0.561842455700729
"TCGA-AP-A0LJ-01",0.309201576023158,0.573200960348428
"TCGA-AP-A0LL-01",0.145781143900882,0.363896948660106
"TCGA-AP-A0LM-01",0.44145473642568,0.63537494034313
"TCGA-AP-A0LN-01",0.190544288079473,0.498713039553247
"TCGA-AP-A0LO-01",0.100112643333398,0.773589962466982
