	purity
TCGA-2E-A9G8-01	0.7678787148375522
TCGA-A5-A0G2-01	0.7714374265065177
TCGA-A5-A0G5-01	0.5511100835828605
TCGA-A5-A0G9-01	0.681285020321605
TCGA-A5-A0GA-01	0.7128286885047501
TCGA-A5-A0GB-01	0.8237597377255236
TCGA-A5-A0GD-01	0.7177960945854545
TCGA-A5-A0GE-01	0.6454768974692802
TCGA-A5-A0GG-01	0.5097893377174141
TCGA-A5-A0GH-01	0.8839965522926707
TCGA-A5-A0GI-01	0.7984894037526766
TCGA-A5-A0GJ-01	0.6938255443110032
TCGA-A5-A0GM-01	0.7886373495719741
TCGA-A5-A0GN-01	0.7085980147873245
TCGA-A5-A0GP-01	0.7051361770653227
TCGA-A5-A0GQ-01	0.5492652812774469
TCGA-A5-A0GR-01	0.45504258936090697
TCGA-A5-A0GU-01	0.7532067428572783
TCGA-A5-A0GV-01	0.9320241193965899
TCGA-A5-A0GW-01	0.5686306418853878
TCGA-A5-A0GX-01	0.5698503265049846
TCGA-A5-A0R6-01	0.6320333882675458
TCGA-A5-A0R7-01	0.66644377058973
TCGA-A5-A0R8-01	0.5625674439736614
TCGA-A5-A0R9-01	0.7139407781126252
TCGA-A5-A0RA-01	0.6209465448644851
TCGA-A5-A0VP-01	0.748093165172278
TCGA-A5-A0VQ-01	0.7367958219744756
TCGA-A5-A1OF-01	0.6063512746900345
TCGA-A5-A1OG-01	0.8064474422671003
TCGA-A5-A1OJ-01	0.4270106395713946
TCGA-A5-A1OK-01	0.7390375115158674
TCGA-AJ-A23M-01	0.8432039613727984
TCGA-AJ-A23O-01	0.630646895176778
TCGA-AJ-A2QK-01	0.6057367839213617
TCGA-AJ-A2QL-01	0.7629044206046433
TCGA-AJ-A2QN-01	0.7346902186219084
TCGA-AP-A051-01	0.7468777556592282
TCGA-AP-A052-01	0.765531531711687
TCGA-AP-A053-01	0.8337632467122963
TCGA-AP-A054-01	0.9687131388120135
TCGA-AP-A056-01	0.6954197267303379
TCGA-AP-A059-01	0.545228314855911
TCGA-AP-A05A-01	0.8398204878511908
TCGA-AP-A05D-01	0.6685259042225246
TCGA-AP-A05H-01	0.7852125130704829
TCGA-AP-A05J-01	0.8809473563790889
TCGA-AP-A05N-01	0.8323875441049136
TCGA-AP-A05O-01	0.7399282243373142
TCGA-AP-A05P-01	0.7240485887602611
TCGA-AP-A0L8-01	0.9186179707304728
TCGA-AP-A0L9-01	0.8120981248775322
TCGA-AP-A0LD-01	0.7980118057387646
TCGA-AP-A0LE-01	0.8940043445681419
TCGA-AP-A0LF-01	0.5815742357805858
TCGA-AP-A0LG-01	0.8774373126357427
TCGA-AP-A0LH-01	0.7606295945883101
TCGA-AP-A0LI-01	0.4837378920511163
TCGA-AP-A0LJ-01	0.6110966818027259
TCGA-AP-A0LL-01	0.8148683465066963
TCGA-AP-A0LM-01	0.5132972815784416
TCGA-AP-A0LN-01	0.7343012121828841
TCGA-AP-A0LO-01	0.6843967622137147
TCGA-AP-A0LP-01	0.6326636170789153
TCGA-AP-A0LS-01	0.7969401414644576
TCGA-AP-A0LT-01	0.8752091388658949
TCGA-AP-A0LV-01	0.7561916472599327
TCGA-AP-A1DH-01	0.7448758334974921
TCGA-AP-A1DK-01	0.6564120875142545
TCGA-AP-A1DM-01	0.789578845832335
TCGA-AP-A1DO-01	0.9973609609250558
TCGA-AP-A1DP-01	0.8248168242269621
TCGA-AP-A1DQ-01	0.7216293873871059
TCGA-AP-A1DR-01	0.7789041770977447
TCGA-AP-A1DV-01	0.8133636019799393
TCGA-AP-A1E0-01	0.7438896790348096
TCGA-AP-A1E1-01	0.7784988726239686
TCGA-AP-A1E3-01	0.675920669400735
TCGA-AP-A1E4-01	0.9550336238696053
TCGA-AW-A1PO-01	0.9478449795285642
TCGA-AX-A05S-01	0.5942111623091029
TCGA-AX-A05T-01	0.8587971915258277
TCGA-AX-A05U-01	0.9083209724797571
TCGA-AX-A05Y-01	0.8178606009178109
TCGA-AX-A05Z-01	0.5348184655492099
TCGA-AX-A060-01	0.8642470380286345
TCGA-AX-A062-01	0.8543711492171636
TCGA-AX-A063-01	0.5726197851243308
TCGA-AX-A064-01	0.7663413400958404
TCGA-AX-A06B-01	0.5682539535834308
TCGA-AX-A06D-01	0.7901033664706753
TCGA-AX-A06F-01	0.6897316067034428
TCGA-AX-A06H-01	0.5200066995400143
TCGA-AX-A06J-01	0.8047711979450448
TCGA-AX-A06L-01	0.5925272731907301
TCGA-AX-A0IS-01	0.7546702203860736
TCGA-AX-A0IU-01	0.8123988414273265
TCGA-AX-A0IW-01	0.8063004915617866
TCGA-AX-A0IZ-01	0.6031806148595646
TCGA-AX-A0J0-01	0.8567535855715249
TCGA-AX-A0J1-01	0.7128070101304099
TCGA-AX-A1C4-01	0.9546594704277066
TCGA-AX-A1C5-01	0.8668447997863824
TCGA-AX-A1C8-01	0.8435703783224524
TCGA-AX-A1C9-01	0.7105885955838632
TCGA-AX-A1CA-01	0.7492558012233309
TCGA-AX-A1CC-01	0.43681408467965427
TCGA-AX-A1CE-01	0.7698566448573871
TCGA-AX-A1CF-01	0.773957823341446
TCGA-AX-A1CI-01	0.8833486198543292
TCGA-AX-A1CJ-01	0.6935037709111526
TCGA-AX-A1CK-01	0.852844380255401
TCGA-AX-A1CN-01	0.8084564764228483
TCGA-AX-A1CP-01	0.7482619143412986
TCGA-AX-A1CR-01	0.7120608255421387
TCGA-AX-A2H2-01	0.8123179841954299
TCGA-AX-A2H5-01	0.9594678450664297
TCGA-AX-A2H7-01	0.8660560528199864
TCGA-AX-A2H8-01	0.8495610271122797
TCGA-AX-A2HA-01	0.7274480144594805
TCGA-AX-A2HC-01	0.9217182816324176
TCGA-AX-A2HD-01	0.8091952637097382
TCGA-AX-A2HF-01	0.8424021221987977
TCGA-AX-A2HG-01	0.7669841203149262
TCGA-AX-A2HJ-01	0.76127565942642
TCGA-AX-A2HK-01	0.8628109558662596
TCGA-AX-A2IO-01	0.6736007838721694
TCGA-B5-A0JS-01	0.6551178798497067
TCGA-B5-A0JT-01	0.741212584125233
TCGA-B5-A0JU-01	0.9317127028119915
TCGA-B5-A0JV-01	0.7844433689159314
TCGA-B5-A0JX-01	0.6963796229823559
TCGA-B5-A0JY-01	0.7112854489572342
TCGA-B5-A0JZ-01	0.642567607067186
TCGA-B5-A0K0-01	0.6918306024033061
TCGA-B5-A0K1-01	0.8587347116702435
TCGA-B5-A0K2-01	0.5738148010039352
TCGA-B5-A0K3-01	0.8329536137216857
TCGA-B5-A0K4-01	0.761536319796586
TCGA-B5-A0K6-01	0.6706598474951837
TCGA-B5-A0K7-01	0.7125953966238245
TCGA-B5-A0K8-01	0.7195296015870345
TCGA-B5-A0KB-01	0.5836182985822305
TCGA-B5-A11E-01	0.8435199984545904
TCGA-B5-A11F-01	0.808717367632603
TCGA-B5-A11G-01	0.7290374558298603
TCGA-B5-A11H-01	0.6793237022754791
TCGA-B5-A11I-01	0.7571463464044853
TCGA-B5-A11J-01	0.7563949787494217
TCGA-B5-A11L-01	0.5053199287732502
TCGA-B5-A11N-01	0.46187637528111647
TCGA-B5-A11O-01	0.536053135237401
TCGA-B5-A11P-01	0.9026227003783982
TCGA-B5-A11Q-01	1.0
TCGA-B5-A11S-01	0.7289931796422973
TCGA-B5-A11U-01	0.6705805772756536
TCGA-B5-A11V-01	0.770170358410881
TCGA-B5-A11W-01	0.7510860840527952
TCGA-B5-A11Y-01	0.5580406980147028
TCGA-B5-A11Z-01	0.832992581232365
TCGA-B5-A121-01	0.7255498119709589
TCGA-B5-A1MR-01	0.45839644720453737
TCGA-B5-A1MU-01	0.5710264412956849
TCGA-B5-A1MV-01	0.6379424497870608
TCGA-B5-A1MX-01	0.706705853745096
TCGA-B5-A1MY-01	0.6796711980509492
TCGA-B5-A1MZ-01	0.6813327094838879
TCGA-B5-A1N2-01	0.7964651188052051
TCGA-BG-A0LW-01	0.8214497614599282
TCGA-BG-A0LX-01	0.7443538741235753
TCGA-BG-A0M0-01	0.8740275193683592
TCGA-BG-A0M2-01	0.7644321311739359
TCGA-BG-A0M3-01	0.8414018211581896
TCGA-BG-A0M4-01	0.7085402723640264
TCGA-BG-A0M6-01	0.8493508722667973
TCGA-BG-A0M7-01	0.632163728827797
TCGA-BG-A0M8-01	0.4502155739377222
TCGA-BG-A0MA-01	0.8194765089513267
TCGA-BG-A0MC-01	0.5594546542775742
TCGA-BG-A0MG-01	0.7749259342653179
TCGA-BG-A0MI-01	0.7442818030774427
TCGA-BG-A0MO-01	0.866876016904425
TCGA-BG-A0MQ-01	0.8856505945314966
TCGA-BG-A0MS-01	0.7656199907422379
TCGA-BG-A0MT-01	0.7200629102096203
TCGA-BG-A0MU-01	0.8023242928380296
TCGA-BG-A0RY-01	0.7017318639060048
TCGA-BG-A0VT-01	0.7577475643977754
TCGA-BG-A0VV-01	0.6917720857490914
TCGA-BG-A0VW-01	0.5942537345487551
TCGA-BG-A0VX-01	0.6253547087542268
TCGA-BG-A0VZ-01	0.7145604286107895
TCGA-BG-A0W1-01	0.7929089303865162
TCGA-BG-A0W2-01	0.745249042029048
TCGA-BG-A0YU-01	0.7378772576277188
TCGA-BG-A0YV-01	0.8089937519191605
TCGA-BG-A186-01	0.750434204644991
TCGA-BG-A187-01	0.6964839958827772
TCGA-BG-A18A-01	0.543326506385543
TCGA-BG-A18B-01	0.7940839565300646
TCGA-BG-A18C-01	0.7565282099096453
TCGA-BG-A221-01	0.5799203689908765
TCGA-BG-A222-01	0.7151355117535876
TCGA-BG-A2AE-01	0.7346488881248492
TCGA-BG-A2L7-01	0.7429424992897865
TCGA-BK-A0C9-01	0.6611980498554981
TCGA-BK-A0CB-01	0.6649385198323023
TCGA-BK-A139-02	0.6319219849060433
TCGA-BK-A13C-01	0.8329039313139123
TCGA-BS-A0T9-01	0.637601994075913
TCGA-BS-A0TA-01	0.5222326824703967
TCGA-BS-A0TC-01	0.7597116397072017
TCGA-BS-A0TD-01	0.6960734692606636
TCGA-BS-A0TE-01	0.6360166274706323
TCGA-BS-A0TG-01	0.6428331684438396
TCGA-BS-A0TI-01	0.6482617733934422
TCGA-BS-A0TJ-01	0.8209376307477125
TCGA-BS-A0U5-01	0.8014626156614015
TCGA-BS-A0U7-01	0.49378564506966804
TCGA-BS-A0U8-01	0.8254202253756323
TCGA-BS-A0U9-01	0.8319151744009525
TCGA-BS-A0UA-01	0.5748196899176778
TCGA-BS-A0UF-01	0.6828662650795139
TCGA-BS-A0UJ-01	0.7117075788424043
TCGA-BS-A0UL-01	0.4503617359660505
TCGA-BS-A0UT-01	0.8266302311147419
TCGA-BS-A0UV-01	0.7281968266526304
TCGA-BS-A0V6-01	0.6172459257836695
TCGA-BS-A0V8-01	0.6339116917264398
TCGA-BS-A0VI-01	0.7289750491890512
TCGA-BS-A0WQ-01	0.8905554853952545
TCGA-D1-A0ZN-01	0.7192736866059628
TCGA-D1-A0ZO-01	0.5690601055827358
TCGA-D1-A0ZP-01	0.7645139228195418
TCGA-D1-A0ZQ-01	0.7041049870464134
TCGA-D1-A0ZR-01	0.7673982523617628
TCGA-D1-A0ZS-01	0.7448406788367503
TCGA-D1-A0ZV-01	0.5453549766924155
TCGA-D1-A0ZZ-01	0.8787795160651151
TCGA-D1-A101-01	0.5144740184927893
TCGA-D1-A102-01	0.7565641695312755
TCGA-D1-A103-01	0.6951719491685686
TCGA-D1-A15V-01	0.8070615034388429
TCGA-D1-A15W-01	0.6337748857590225
TCGA-D1-A15X-01	0.6490582777183151
TCGA-D1-A15Z-01	0.9182210293474693
TCGA-D1-A160-01	0.6941730716994818
TCGA-D1-A161-01	0.6952925675499185
TCGA-D1-A163-01	0.7456460508869894
TCGA-D1-A165-01	0.7616748895537828
TCGA-D1-A167-01	0.911206948742878
TCGA-D1-A168-01	0.7300931281515238
TCGA-D1-A169-01	0.5571577154384457
TCGA-D1-A16B-01	0.7107756149958765
TCGA-D1-A16D-01	0.5857756065396282
TCGA-D1-A16E-01	0.6103111361423308
TCGA-D1-A16G-01	0.5511195729206513
TCGA-D1-A16I-01	0.7167648144906972
TCGA-D1-A16J-01	0.6207522013575407
TCGA-D1-A16N-01	0.7596785255441221
TCGA-D1-A16O-01	0.7910756593391146
TCGA-D1-A16Q-01	0.677257560257535
TCGA-D1-A16R-01	0.6653381381022353
TCGA-D1-A16S-01	0.7624670533900252
TCGA-D1-A16V-01	0.8211729917471907
TCGA-D1-A16X-01	0.5194948057515949
TCGA-D1-A16Y-01	0.842916431335343
TCGA-D1-A174-01	0.5107460917811979
TCGA-D1-A175-01	0.7981311411206357
TCGA-D1-A176-01	0.6953677469858593
TCGA-D1-A177-01	0.9242411249162095
TCGA-D1-A179-01	0.8409531661087493
TCGA-D1-A17A-01	0.5691683612559546
TCGA-D1-A17B-01	0.4435412727075281
TCGA-D1-A17C-01	0.5204204631512199
TCGA-D1-A17D-01	0.6153966849995961
TCGA-D1-A17F-01	0.5995220844119182
TCGA-D1-A17H-01	0.5400562293642237
TCGA-D1-A17K-01	0.8215224122521172
TCGA-D1-A17L-01	0.621672869389225
