,mean_z_high,Cell type,mean_z_low
HN23_P11_A04_S4_comb,-0.22789294166398333,Non-malignant,0.21453775488392013
HN23_P11_A07_S7_comb,-0.17232059793159873,Non-malignant,-0.21442794881427454
HN23_P11_A08_S8_comb,-0.374422093718495,Non-malignant,0.24114909587428035
HN23_P11_A09_S9_comb,-0.07839678000235958,Non-malignant,0.020369817520375047
HN23_P11_A12_S12_comb,-0.26780201509666707,Non-malignant,0.05283589752604664
HN23_P11_B01_S13_comb,-0.2590848680861667,Non-malignant,-0.1546540757486538
HN23_P11_B04_S16_comb,-0.26963381974731415,Non-malignant,0.17520906867791466
HN23_P11_B05_S17_comb,-0.3826553531224271,Non-malignant,-0.17213068076065913
HN23_P11_B06_S18_comb,-0.3655161491586734,Non-malignant,0.020401682501042323
HN23_P11_B07_S19_comb,-0.37775755621641294,Non-malignant,-0.013435723026729983
HN23_P11_B08_S20_comb,-0.23964298522437277,Non-malignant,0.08841335174582533
HN23_P11_B10_S22_comb,-0.11979305843687005,Non-malignant,-0.1249436272360344
HN23_P11_B11_S23_comb,-0.3753585855392579,Non-malignant,0.08969497705494657
HN23_P11_B12_S24_comb,-0.3119913779959835,Non-malignant,-0.009021664766435523
HN23_P11_C01_S25_comb,-0.3221457649500659,Non-malignant,0.32895775679209766
HN23_P11_C03_S27_comb,-0.3907924597502932,Non-malignant,-0.00810153023911175
HN23_P11_C04_S28_comb,-0.2084336813495868,Non-malignant,-0.06941021434336567
HN23_P11_C07_S31_comb,0.017150772266591393,Non-malignant,-0.0640219849564221
HN23_P11_C09_S33_comb,-0.3845689073223104,Non-malignant,-0.19508593050519224
HN23_P11_D03_S39_comb,-0.2800784506957765,Non-malignant,-0.04538532477823725
HN23_P11_D04_S40_comb,0.32012105732789864,Non-malignant,0.1661752240576304
HN23_P11_D07_S43_comb,-0.2674864579382491,Non-malignant,0.11551557051287803
HN23_P11_D09_S45_comb,0.47917812449799047,Non-malignant,0.05399005541159608
HN23_P11_D10_S46_comb,-0.1563737481212721,Non-malignant,0.007981529547975387
HN23_P11_D11_S47_comb,-0.36745737255074984,Non-malignant,-0.01595945709517132
HN23_P11_E01_S49_comb,-0.3845476167240357,Non-malignant,-0.1392966946215193
HN23_P11_E03_S51_comb,-0.11573320031327389,Non-malignant,0.012316080980436059
HN23_P11_E04_S52_comb,-0.3907924597502932,Non-malignant,0.028395117382903276
HN23_P11_E07_S55_comb,-0.28085283673253103,Non-malignant,0.13465115504680314
HN23_P11_E08_S56_comb,-0.19225370860443794,Non-malignant,0.06283412542126396
HN23_P11_E09_S57_comb,-0.0071228836609591875,Non-malignant,-0.012261826550079784
HN23_P11_E10_S58_comb,-0.15084938686450702,Non-malignant,0.07342307327667517
HN23_P11_E11_S59_comb,-0.2252443358275483,Non-malignant,-0.10386340659070983
HN23_P11_E12_S60_comb,-0.3409025061408162,Non-malignant,-0.09099532361383474
HN23_P11_F01_S61_comb,0.6116702620318004,Non-malignant,0.15441073165675928
HN23_P11_F03_S63_comb,-0.21000336586178944,Non-malignant,0.2642750224711831
HN23_P11_F09_S69_comb,-0.16697780514151597,Non-malignant,0.1164748590901241
HN23_P11_G02_S74_comb,-0.3679847679693922,Non-malignant,-0.18584628336717632
HN23_P11_G05_S77_comb,-0.370462965835956,Non-malignant,-0.012882774712689348
HN23_P11_G06_S78_comb,-0.3772745950059691,Non-malignant,0.05454509166537522
HN23_P11_G07_S79_comb,-0.3907924597502932,Non-malignant,-0.11483908503812416
HN23_P11_G08_S80_comb,-0.37574861370361845,Non-malignant,-0.03474900127023636
HN23_P11_G09_S81_comb,-0.31451573647546727,Non-malignant,-0.14032818250175746
HN23_P11_G10_S82_comb,0.2957561928304005,Non-malignant,0.14246381278292267
HN23_P11_G11_S83_comb,-0.12261008161018551,Non-malignant,0.1993315468832159
HN23_P11_G12_S84_comb,-0.20343357503653442,Non-malignant,0.07200397022165109
HN23_P11_H03_S87_comb,-0.26399873701722776,Non-malignant,0.3057102294068558
HN23_P11_H04_S88_comb,-0.23971638509134216,Non-malignant,-0.0035977257176262037
HN23_P11_H10_S94_comb,-0.3506069043321612,Non-malignant,-0.05440521863003617
HN23_P11_H11_S95_comb,-0.149770358877181,Non-malignant,0.17158153886198804
HN23_P11_H12_S96_comb,-0.24223923716773454,Non-malignant,0.3469655295088292
HN25_P13P30_A01_S193_comb,-0.34921802704165394,Non-malignant,-0.18725138454981444
HN25_P13P30_A03_S195_comb,-0.26588356558591436,Non-malignant,0.1098931384074936
HN25_P13P30_A05_S197_comb,-0.3907924597502932,Non-malignant,-0.11613067535394105
HN25_P13P30_A08_S200_comb,-0.16167700078225816,Non-malignant,0.24837388123486862
HN25_P13P30_A09_S201_comb,-0.3675948556512595,Non-malignant,-0.07788498630020901
HN25_P13P30_A10_S202_comb,0.3355475642914329,Non-malignant,0.029846580236080156
HN25_P13P30_A12_S204_comb,-0.36982097053617896,Non-malignant,-0.14058921647499711
HN25_P13P30_B03_S207_comb,-0.36993827058559875,Non-malignant,0.01910729290716485
HN25_P13P30_B04_S208_comb,-0.1350097349450184,Non-malignant,0.15407352189726806
HN25_P13P30_B05_S209_comb,-0.372409618145925,Non-malignant,0.04515490988142888
HN25_P13P30_B08_S212_comb,0.0859473240697891,Non-malignant,0.13953470445411803
HN25_P13P30_B09_S213_comb,-0.3715139091330156,Non-malignant,0.04175032344699265
HN25_P13P30_B10_S214_comb,-0.011631376962768298,Non-malignant,0.15718316121726864
HN25_P13P30_C03_S219_comb,-0.3216648064977,Non-malignant,-0.14795765459759233
HN25_P13P30_C04_S220_comb,-0.384211350880437,Non-malignant,0.10725040509089168
HN25_P13P30_C05_S221_comb,0.11393353530651137,Non-malignant,0.36668074866357003
HN25_P13P30_C06_S222_comb,-0.29910987889773266,Non-malignant,0.003968941868936027
HN25_P13P30_C07_S223_comb,-0.348784574043851,Non-malignant,-0.04023145697119448
HN25_P13P30_C08_S224_comb,-0.3726665642169205,Non-malignant,-0.24996693746846937
HN25_P13P30_C10_S226_comb,-0.30210449922901766,Non-malignant,0.254071381973462
HN25_P13P30_C11_S227_comb,-0.17537823993711535,Non-malignant,0.27189852614961185
HN25_P13P30_D03_S231_comb,-0.20729381796335342,Non-malignant,0.12332675798768437
HN25_P13P30_D06_S234_comb,0.06889189127392552,Non-malignant,-0.09768106409888398
HN25_P13P30_D07_S235_comb,-0.2167800563589943,Non-malignant,-0.026389395353056618
HN25_P13P30_D10_S238_comb,-0.10756748048681526,Non-malignant,0.08411629839802541
HN25_P13P30_D11_S239_comb,-0.3907924597502932,Non-malignant,0.0216665750923659
HN25_P13P30_E01_S241_comb,-0.2934092568590187,Non-malignant,0.03043838408116381
HN25_P13P30_E05_S245_comb,-0.3509405140612983,Non-malignant,-0.20111172456728246
HN25_P13P30_E07_S247_comb,-0.3907924597502932,Non-malignant,0.13618217353221018
HN25_P13P30_F01_S253_comb,-0.353279361586148,Non-malignant,0.14554528539239955
HN25_P13P30_F07_S259_comb,-0.36180899003679146,Non-malignant,0.3995223032721514
HN25_P13P30_F09_S261_comb,-0.17433120760533163,Non-malignant,-0.2569504925191459
HN25_P13P30_F12_S264_comb,-0.38692796338567026,Non-malignant,-0.0692021659370672
HN25_P13P30_G03_S267_comb,-0.34105111167802815,Non-malignant,0.10874437662943652
HN25_P13P30_G05_S269_comb,-0.383342388293856,Non-malignant,-0.14185891721451124
HN25_P13P30_H02_S278_comb,-0.3651072631575201,Non-malignant,-0.18007001082986587
HN25_P23_A02_S194_comb,-0.26359042891582585,Non-malignant,0.001349458308458562
HN25_P23_A08_S200_comb,-0.2264225464082562,Non-malignant,1.095850780718235
HN25_P23_A12_S204_comb,-0.023072228049253848,Non-malignant,-0.20037198963993205
HN25_P23_B02_S206_comb,-0.21152271482066773,Non-malignant,-0.038333789583243835
HN25_P23_B03_S207_comb,-0.24317907671245614,Non-malignant,0.12798743090717474
HN25_P23_B06_S210_comb,-0.37824366871552795,Non-malignant,0.3222527974341659
HN25_P23_B08_S212_comb,-0.08029048645184457,Non-malignant,0.12295196607131398
HN25_P23_B11_S215_comb,-0.23205743241140908,Non-malignant,-0.0857835191896324
HN25_P23_C01_S217_comb,0.030117546251781185,Non-malignant,-0.07094804061596093
HN25_P23_C04_S220_comb,0.227992283513093,Non-malignant,-0.19895113028125408
HN25_P23_C05_S221_comb,0.02148634658462117,Non-malignant,-0.01210929683372734
HN25_P23_C06_S222_comb,-0.3685160654091542,Non-malignant,0.1310080572825074
HN25_P23_D02_S230_comb,0.5188962121593094,Non-malignant,0.6792532219258737
HN25_P23_D03_S231_comb,0.14268808980982015,Non-malignant,-0.025703345682792093
HN25_P23_D04_S232_comb,0.09558906718980859,Non-malignant,0.10412608064074744
HN25_P23_D12_S240_comb,0.009910466708672409,Non-malignant,-0.07344493239422284
