,mean_z_low,Cell type
HN23_P11_A04_S4_comb,0.21453775488392013,Non-malignant
HN23_P11_A07_S7_comb,-0.21442794881427454,Non-malignant
HN23_P11_A08_S8_comb,0.24114909587428035,Non-malignant
HN23_P11_A09_S9_comb,0.020369817520375047,Non-malignant
HN23_P11_A12_S12_comb,0.05283589752604664,Non-malignant
HN23_P11_B01_S13_comb,-0.1546540757486538,Non-malignant
HN23_P11_B04_S16_comb,0.17520906867791466,Non-malignant
HN23_P11_B05_S17_comb,-0.17213068076065913,Non-malignant
HN23_P11_B06_S18_comb,0.020401682501042323,Non-malignant
HN23_P11_B07_S19_comb,-0.013435723026729983,Non-malignant
HN23_P11_B08_S20_comb,0.08841335174582533,Non-malignant
HN23_P11_B10_S22_comb,-0.1249436272360344,Non-malignant
HN23_P11_B11_S23_comb,0.08969497705494657,Non-malignant
HN23_P11_B12_S24_comb,-0.009021664766435523,Non-malignant
HN23_P11_C01_S25_comb,0.32895775679209766,Non-malignant
HN23_P11_C03_S27_comb,-0.00810153023911175,Non-malignant
HN23_P11_C04_S28_comb,-0.06941021434336567,Non-malignant
HN23_P11_C07_S31_comb,-0.0640219849564221,Non-malignant
HN23_P11_C09_S33_comb,-0.19508593050519224,Non-malignant
HN23_P11_D03_S39_comb,-0.04538532477823725,Non-malignant
HN23_P11_D04_S40_comb,0.1661752240576304,Non-malignant
HN23_P11_D07_S43_comb,0.11551557051287803,Non-malignant
HN23_P11_D09_S45_comb,0.05399005541159608,Non-malignant
HN23_P11_D10_S46_comb,0.007981529547975387,Non-malignant
HN23_P11_D11_S47_comb,-0.01595945709517132,Non-malignant
HN23_P11_E01_S49_comb,-0.1392966946215193,Non-malignant
HN23_P11_E03_S51_comb,0.012316080980436059,Non-malignant
HN23_P11_E04_S52_comb,0.028395117382903276,Non-malignant
HN23_P11_E07_S55_comb,0.13465115504680314,Non-malignant
HN23_P11_E08_S56_comb,0.06283412542126396,Non-malignant
HN23_P11_E09_S57_comb,-0.012261826550079784,Non-malignant
HN23_P11_E10_S58_comb,0.07342307327667517,Non-malignant
HN23_P11_E11_S59_comb,-0.10386340659070983,Non-malignant
HN23_P11_E12_S60_comb,-0.09099532361383474,Non-malignant
HN23_P11_F01_S61_comb,0.15441073165675928,Non-malignant
HN23_P11_F03_S63_comb,0.2642750224711831,Non-malignant
HN23_P11_F09_S69_comb,0.1164748590901241,Non-malignant
HN23_P11_G02_S74_comb,-0.18584628336717632,Non-malignant
HN23_P11_G05_S77_comb,-0.012882774712689348,Non-malignant
HN23_P11_G06_S78_comb,0.05454509166537522,Non-malignant
HN23_P11_G07_S79_comb,-0.11483908503812416,Non-malignant
HN23_P11_G08_S80_comb,-0.03474900127023636,Non-malignant
HN23_P11_G09_S81_comb,-0.14032818250175746,Non-malignant
HN23_P11_G10_S82_comb,0.14246381278292267,Non-malignant
HN23_P11_G11_S83_comb,0.1993315468832159,Non-malignant
HN23_P11_G12_S84_comb,0.07200397022165109,Non-malignant
HN23_P11_H03_S87_comb,0.3057102294068558,Non-malignant
HN23_P11_H04_S88_comb,-0.0035977257176262037,Non-malignant
HN23_P11_H10_S94_comb,-0.05440521863003617,Non-malignant
HN23_P11_H11_S95_comb,0.17158153886198804,Non-malignant
HN23_P11_H12_S96_comb,0.3469655295088292,Non-malignant
HN25_P13P30_A01_S193_comb,-0.18725138454981444,Non-malignant
HN25_P13P30_A03_S195_comb,0.1098931384074936,Non-malignant
HN25_P13P30_A05_S197_comb,-0.11613067535394105,Non-malignant
HN25_P13P30_A08_S200_comb,0.24837388123486862,Non-malignant
HN25_P13P30_A09_S201_comb,-0.07788498630020901,Non-malignant
HN25_P13P30_A10_S202_comb,0.029846580236080156,Non-malignant
HN25_P13P30_A12_S204_comb,-0.14058921647499711,Non-malignant
HN25_P13P30_B03_S207_comb,0.01910729290716485,Non-malignant
HN25_P13P30_B04_S208_comb,0.15407352189726806,Non-malignant
HN25_P13P30_B05_S209_comb,0.04515490988142888,Non-malignant
HN25_P13P30_B08_S212_comb,0.13953470445411803,Non-malignant
HN25_P13P30_B09_S213_comb,0.04175032344699265,Non-malignant
HN25_P13P30_B10_S214_comb,0.15718316121726864,Non-malignant
HN25_P13P30_C03_S219_comb,-0.14795765459759233,Non-malignant
HN25_P13P30_C04_S220_comb,0.10725040509089168,Non-malignant
HN25_P13P30_C05_S221_comb,0.36668074866357003,Non-malignant
HN25_P13P30_C06_S222_comb,0.003968941868936027,Non-malignant
HN25_P13P30_C07_S223_comb,-0.04023145697119448,Non-malignant
HN25_P13P30_C08_S224_comb,-0.24996693746846937,Non-malignant
HN25_P13P30_C10_S226_comb,0.254071381973462,Non-malignant
HN25_P13P30_C11_S227_comb,0.27189852614961185,Non-malignant
HN25_P13P30_D03_S231_comb,0.12332675798768437,Non-malignant
HN25_P13P30_D06_S234_comb,-0.09768106409888398,Non-malignant
HN25_P13P30_D07_S235_comb,-0.026389395353056618,Non-malignant
HN25_P13P30_D10_S238_comb,0.08411629839802541,Non-malignant
HN25_P13P30_D11_S239_comb,0.0216665750923659,Non-malignant
HN25_P13P30_E01_S241_comb,0.03043838408116381,Non-malignant
HN25_P13P30_E05_S245_comb,-0.20111172456728246,Non-malignant
HN25_P13P30_E07_S247_comb,0.13618217353221018,Non-malignant
HN25_P13P30_F01_S253_comb,0.14554528539239955,Non-malignant
HN25_P13P30_F07_S259_comb,0.3995223032721514,Non-malignant
HN25_P13P30_F09_S261_comb,-0.2569504925191459,Non-malignant
